A,B,Label
ath-miR5020a,CNT2086271,1
ath-miR403-5p,CNT2084906,0
mtr-miR5280,lcl_Mtruncatula_Medtr1g110950.1,1
mtr-miR2086-3p,lcl_Mtruncatula_Medtr1g095390.2,0
gma-miR395a,lcl_Gmax_Glyma.14G142000.1,1
gma-miR169e,lcl_Gmax_Glyma.02G160000.1,0
ath-miR164c-5p,CNT2086832,1
ath-miR824-5p,CNT2086209,0
mtr-miR5562-3p,lcl_Mtruncatula_Medtr1g077720.1,1
mtr-miR2604,lcl_Mtruncatula_Medtr0016s0040.1,0
gma-miR164b,lcl_Gmax_Glyma.01G037000.1,1
gma-miR5044,lcl_Gmax_Glyma.17G261400.1,0
ath-miR834,CNT2086194,1
ath-miR865-5p,CNT2088349,0
mtr-miR2586a,lcl_Mtruncatula_Medtr6g087860.1,1
mtr-miR2592bl-5p,lcl_Mtruncatula_Medtr4g053180.2,0
gma-miR2118a-3p,lcl_Gmax_Glyma.06G202800.1,1
gma-miR9729,lcl_Gmax_Glyma.01G175700.1,0
ath-miR8177,CNT2088549,1
ath-miR8170-3p,lcl_Athaliana_AT4G08120.1,0
mtr-miR5281a,lcl_Mtruncatula_Medtr5g067270.1,1
mtr-miR2629h,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR5044,lcl_Gmax_Glyma.05G095800.1,1
gma-miR5368,lcl_Gmax_Glyma.17G142500.4,0
ath-miR823,NONATHT001245,1
ath-miR780.2,lcl_Athaliana_AT4G08035.2,0
mtr-miR5254,lcl_Mtruncatula_Medtr4g013735.1,1
mtr-miR319c-5p,lcl_Mtruncatula_Medtr1g054150.1,0
gma-miR2118a-3p,lcl_Gmax_Glyma.11G006500.1,1
gma-miR169l-3p,lcl_Gmax_Glyma.18G290700.3,0
ath-miR158b,CNT2085592,1
ath-miR10515,CNT2086538,0
mtr-miR2673a,lcl_Mtruncatula_Medtr6g038630.1,1
mtr-miR398a-3p,lcl_Mtruncatula_Medtr7g090430.1,0
gma-miR9740,lcl_Gmax_Glyma.07G017200.2,1
gma-miR4380b,lcl_Gmax_Glyma.01G015700.1,0
ath-miR399c-5p,lcl_Athaliana_AT1G10865.1,1
ath-miR864-5p,lcl_Athaliana_AT1G43320.1,0
mtr-miR2654,lcl_Mtruncatula_Medtr3g035965.1,1
mtr-miR2592bm-5p,lcl_Mtruncatula_Medtr0101s0020.2,0
gma-miR5043,lcl_Gmax_Glyma.01G086500.1,1
gma-miR1514a-5p,lcl_Gmax_Glyma.17G251800.2,0
ath-miR851-5p,CNT2084895,1
ath-miR866-5p,CNT2085765,0
mtr-miR2592bm-5p,lcl_Mtruncatula_Medtr5g033860.1,1
mtr-miR5251,lcl_Mtruncatula_Medtr8g087480.1,0
gma-miR156z,lcl_Gmax_Glyma.10G293100.1,1
gma-miR10413a,lcl_Gmax_Glyma.07G094600.1,0
ath-miR8181,CNT2087004,1
ath-miR5645c,CNT2086474,0
mtr-miR169j,lcl_Mtruncatula_Medtr8g092980.1,1
mtr-miR2640,lcl_Mtruncatula_Medtr8g087480.1,0
gma-miR398b-5p,lcl_Gmax_Glyma.12G187800.1,1
gma-miR10420,lcl_Gmax_Glyma.06G137500.1,0
ath-miR402,lcl_Athaliana_AT2G10410.1,1
ath-miR1887,lcl_Athaliana_AT2G30945.1,0
mtr-miR2086-5p,lcl_Mtruncatula_Medtr0212s0010.1,1
mtr-miR5562-3p,lcl_Mtruncatula_Medtr5g081650.3,0
gma-miR159b-5p,lcl_Gmax_Glyma.12G201000.1,1
gma-miR172k,lcl_Gmax_Glyma.02G310500.1,0
ath-miR8181,CNT2085063,1
ath-miR840-3p,NONATHT001927,0
mtr-miR166d,lcl_Mtruncatula_Medtr5g023950.1,1
mtr-miR2675,lcl_Mtruncatula_Medtr8g043400.3,0
gma-miR159c,lcl_Gmax_Glyma.18G006400.2,1
gma-miR10436,lcl_Gmax_Glyma.11G154900.1,0
ath-miR5660,CNT2087551,1
ath-miR1887,lcl_Athaliana_AT3G45275.1,0
mtr-miR2586a,lcl_Mtruncatula_Medtr5g095640.1,1
mtr-miR2592br-5p,lcl_Mtruncatula_Medtr3g117730.1,0
gma-miR167g,lcl_Gmax_Glyma.18G189400.1,1
gma-miR394b-3p,lcl_Gmax_Glyma.20G010700.1,0
ath-miR831-3p,lcl_Athaliana_AT4G39404.1,1
ath-miR830-3p,lcl_Athaliana_AT3G42792.1,0
mtr-miR169d-3p,lcl_Mtruncatula_Medtr5g092710.1,1
mtr-miR2626,lcl_Mtruncatula_Medtr2g009910.2,0
gma-miR4387c,lcl_Gmax_Glyma.01G067500.1,1
gma-miR9735,lcl_Gmax_Glyma.13G278900.4,0
ath-miR858b,lcl_Athaliana_AT2G34120.1,1
ath-miR780.2,lcl_Athaliana_AT3G42316.1,0
mtr-miR168a,lcl_Mtruncatula_Medtr8g469250.1,1
mtr-miR2672,lcl_Mtruncatula_Medtr8g051620.3,0
gma-miR5225,lcl_Gmax_Glyma.18G144300.1,1
gma-miR9738,lcl_Gmax_Glyma.04G237800.1,0
ath-miR834,lcl_Athaliana_AT5G04080.1,1
ath-miR5650,CNT2084940,0
mtr-miR2668,lcl_Mtruncatula_Medtr7g102805.1,1
mtr-miR5274a,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR396f,lcl_Gmax_Glyma.08G320400.2,1
gma-miR4391,lcl_Gmax_Glyma.18G297000.1,0
ath-miR5658,lcl_Athaliana_AT3G22240.1,1
ath-miR2939,NONATHT003169,0
mtr-miR319c-5p,lcl_Mtruncatula_Medtr8g036030.1,1
mtr-miR2598,lcl_Mtruncatula_Medtr0101s0020.4,0
gma-miR5037d,lcl_Gmax_Glyma.14G127700.1,1
gma-miR5030b,lcl_Gmax_Glyma.16G020900.3,0
ath-miR162a-5p,CNT2086564,1
ath-miR395a,CNT2087411,0
mtr-miR5561-3p,lcl_Mtruncatula_Medtr2g076020.1,1
mtr-miR2592ap,lcl_Mtruncatula_Medtr5g084410.2,0
gma-miR319a,lcl_Gmax_Glyma.18G279100.1,1
gma-miR396h,lcl_Gmax_Glyma.01G133700.1,0
ath-miR319c,NONATHT000860,1
ath-miR418,CNT2087724,0
mtr-miR168c-3p,lcl_Mtruncatula_Medtr4g072920.1,1
mtr-miR5749,lcl_Mtruncatula_Medtr8g087480.1,0
gma-miR5225,lcl_Gmax_Glyma.13G068400.2,1
gma-miR828a,lcl_Gmax_Glyma.17G142500.4,0
ath-miR5654-3p,CNT2086891,1
ath-miR8121,lcl_Athaliana_AT1G68700.1,0
mtr-miR2675,lcl_Mtruncatula_Medtr2g087985.1,1
mtr-miR2619b-5p,lcl_Mtruncatula_Medtr3g053460.2,0
gma-miR9730,lcl_Gmax_Glyma.08G280100.1,1
gma-miR4392,lcl_Gmax_Glyma.03G243300.1,0
ath-miR8165,lcl_Athaliana_AT5G11630.1,1
ath-miR830-3p,CNT2085967,0
