,A,B,Label
0,>ath-miR5020a,>CNT2086271,1
1,>ath-miR403-5p,>CNT2084906,0
2,>mtr-miR5280,>lcl|Mtruncatula_Medtr1g110950.1,1
3,>mtr-miR2086-3p,>lcl|Mtruncatula_Medtr1g095390.2,0
4,>gma-miR395a,>lcl|Gmax_Glyma.14G142000.1,1
5,>gma-miR169e,>lcl|Gmax_Glyma.02G160000.1,0
6,>ath-miR164c-5p,>CNT2086832,1
7,>ath-miR824-5p,>CNT2086209,0
8,>mtr-miR5562-3p,>lcl|Mtruncatula_Medtr1g077720.1,1
9,>mtr-miR2604,>lcl|Mtruncatula_Medtr0016s0040.1,0
10,>gma-miR164b,>lcl|Gmax_Glyma.01G037000.1,1
11,>gma-miR5044,>lcl|Gmax_Glyma.17G261400.1,0
12,>ath-miR834,>CNT2086194,1
13,>ath-miR865-5p,>CNT2088349,0
14,>mtr-miR2586a,>lcl|Mtruncatula_Medtr6g087860.1,1
15,>mtr-miR2592bl-5p,>lcl|Mtruncatula_Medtr4g053180.2,0
16,>gma-miR2118a-3p,>lcl|Gmax_Glyma.06G202800.1,1
17,>gma-miR9729,>lcl|Gmax_Glyma.01G175700.1,0
18,>ath-miR8177,>CNT2088549,1
19,>ath-miR8170-3p,>lcl|Athaliana_AT4G08120.1,0
20,>mtr-miR5281a,>lcl|Mtruncatula_Medtr5g067270.1,1
21,>mtr-miR2629h,>lcl|Mtruncatula_Medtr1g054150.1,0
22,>gma-miR5044,>lcl|Gmax_Glyma.05G095800.1,1
23,>gma-miR5368,>lcl|Gmax_Glyma.17G142500.4,0
24,>ath-miR823,>NONATHT001245,1
25,>ath-miR780.2,>lcl|Athaliana_AT4G08035.2,0
26,>mtr-miR5254,>lcl|Mtruncatula_Medtr4g013735.1,1
27,>mtr-miR319c-5p,>lcl|Mtruncatula_Medtr1g054150.1,0
28,>gma-miR2118a-3p,>lcl|Gmax_Glyma.11G006500.1,1
29,>gma-miR169l-3p,>lcl|Gmax_Glyma.18G290700.3,0
30,>ath-miR158b,>CNT2085592,1
31,>ath-miR10515,>CNT2086538,0
32,>mtr-miR2673a,>lcl|Mtruncatula_Medtr6g038630.1,1
33,>mtr-miR398a-3p,>lcl|Mtruncatula_Medtr7g090430.1,0
34,>gma-miR9740,>lcl|Gmax_Glyma.07G017200.2,1
35,>gma-miR4380b,>lcl|Gmax_Glyma.01G015700.1,0
36,>ath-miR399c-5p,>lcl|Athaliana_AT1G10865.1,1
37,>ath-miR864-5p,>lcl|Athaliana_AT1G43320.1,0
38,>mtr-miR2654,>lcl|Mtruncatula_Medtr3g035965.1,1
39,>mtr-miR2592bm-5p,>lcl|Mtruncatula_Medtr0101s0020.2,0
40,>gma-miR5043,>lcl|Gmax_Glyma.01G086500.1,1
41,>gma-miR1514a-5p,>lcl|Gmax_Glyma.17G251800.2,0
42,>ath-miR851-5p,>CNT2084895,1
43,>ath-miR866-5p,>CNT2085765,0
44,>mtr-miR2592bm-5p,>lcl|Mtruncatula_Medtr5g033860.1,1
45,>mtr-miR5251,>lcl|Mtruncatula_Medtr8g087480.1,0
46,>gma-miR156z,>lcl|Gmax_Glyma.10G293100.1,1
47,>gma-miR10413a,>lcl|Gmax_Glyma.07G094600.1,0
48,>ath-miR8181,>CNT2087004,1
49,>ath-miR5645c,>CNT2086474,0
50,>mtr-miR169j,>lcl|Mtruncatula_Medtr8g092980.1,1
51,>mtr-miR2640,>lcl|Mtruncatula_Medtr8g087480.1,0
52,>gma-miR398b-5p,>lcl|Gmax_Glyma.12G187800.1,1
53,>gma-miR10420,>lcl|Gmax_Glyma.06G137500.1,0
54,>ath-miR402,>lcl|Athaliana_AT2G10410.1,1
55,>ath-miR1887,>lcl|Athaliana_AT2G30945.1,0
56,>mtr-miR2086-5p,>lcl|Mtruncatula_Medtr0212s0010.1,1
57,>mtr-miR5562-3p,>lcl|Mtruncatula_Medtr5g081650.3,0
58,>gma-miR159b-5p,>lcl|Gmax_Glyma.12G201000.1,1
59,>gma-miR172k,>lcl|Gmax_Glyma.02G310500.1,0
60,>ath-miR8181,>CNT2085063,1
61,>ath-miR840-3p,>NONATHT001927,0
62,>mtr-miR166d,>lcl|Mtruncatula_Medtr5g023950.1,1
63,>mtr-miR2675,>lcl|Mtruncatula_Medtr8g043400.3,0
64,>gma-miR159c,>lcl|Gmax_Glyma.18G006400.2,1
65,>gma-miR10436,>lcl|Gmax_Glyma.11G154900.1,0
66,>ath-miR5660,>CNT2087551,1
67,>ath-miR1887,>lcl|Athaliana_AT3G45275.1,0
68,>mtr-miR2586a,>lcl|Mtruncatula_Medtr5g095640.1,1
69,>mtr-miR2592br-5p,>lcl|Mtruncatula_Medtr3g117730.1,0
70,>gma-miR167g,>lcl|Gmax_Glyma.18G189400.1,1
71,>gma-miR394b-3p,>lcl|Gmax_Glyma.20G010700.1,0
72,>ath-miR831-3p,>lcl|Athaliana_AT4G39404.1,1
73,>ath-miR830-3p,>lcl|Athaliana_AT3G42792.1,0
74,>mtr-miR169d-3p,>lcl|Mtruncatula_Medtr5g092710.1,1
75,>mtr-miR2626,>lcl|Mtruncatula_Medtr2g009910.2,0
76,>gma-miR4387c,>lcl|Gmax_Glyma.01G067500.1,1
77,>gma-miR9735,>lcl|Gmax_Glyma.13G278900.4,0
78,>ath-miR858b,>lcl|Athaliana_AT2G34120.1,1
79,>ath-miR780.2,>lcl|Athaliana_AT3G42316.1,0
80,>mtr-miR168a,>lcl|Mtruncatula_Medtr8g469250.1,1
81,>mtr-miR2672,>lcl|Mtruncatula_Medtr8g051620.3,0
82,>gma-miR5225,>lcl|Gmax_Glyma.18G144300.1,1
83,>gma-miR9738,>lcl|Gmax_Glyma.04G237800.1,0
84,>ath-miR834,>lcl|Athaliana_AT5G04080.1,1
85,>ath-miR5650,>CNT2084940,0
86,>mtr-miR2668,>lcl|Mtruncatula_Medtr7g102805.1,1
87,>mtr-miR5274a,>lcl|Mtruncatula_Medtr5g084410.2,0
88,>gma-miR396f,>lcl|Gmax_Glyma.08G320400.2,1
89,>gma-miR4391,>lcl|Gmax_Glyma.18G297000.1,0
90,>ath-miR5658,>lcl|Athaliana_AT3G22240.1,1
91,>ath-miR2939,>NONATHT003169,0
92,>mtr-miR319c-5p,>lcl|Mtruncatula_Medtr8g036030.1,1
93,>mtr-miR2598,>lcl|Mtruncatula_Medtr0101s0020.4,0
94,>gma-miR5037d,>lcl|Gmax_Glyma.14G127700.1,1
95,>gma-miR5030b,>lcl|Gmax_Glyma.16G020900.3,0
96,>ath-miR162a-5p,>CNT2086564,1
97,>ath-miR395a,>CNT2087411,0
98,>mtr-miR5561-3p,>lcl|Mtruncatula_Medtr2g076020.1,1
99,>mtr-miR2592ap,>lcl|Mtruncatula_Medtr5g084410.2,0
100,>gma-miR319a,>lcl|Gmax_Glyma.18G279100.1,1
101,>gma-miR396h,>lcl|Gmax_Glyma.01G133700.1,0
102,>ath-miR319c,>NONATHT000860,1
103,>ath-miR418,>CNT2087724,0
104,>mtr-miR168c-3p,>lcl|Mtruncatula_Medtr4g072920.1,1
105,>mtr-miR5749,>lcl|Mtruncatula_Medtr8g087480.1,0
106,>gma-miR5225,>lcl|Gmax_Glyma.13G068400.2,1
107,>gma-miR828a,>lcl|Gmax_Glyma.17G142500.4,0
108,>ath-miR5654-3p,>CNT2086891,1
109,>ath-miR8121,>lcl|Athaliana_AT1G68700.1,0
110,>mtr-miR2675,>lcl|Mtruncatula_Medtr2g087985.1,1
111,>mtr-miR2619b-5p,>lcl|Mtruncatula_Medtr3g053460.2,0
112,>gma-miR9730,>lcl|Gmax_Glyma.08G280100.1,1
113,>gma-miR4392,>lcl|Gmax_Glyma.03G243300.1,0
114,>ath-miR8165,>lcl|Athaliana_AT5G11630.1,1
115,>ath-miR830-3p,>CNT2085967,0
116,>mtr-miR5229a,>lcl|Mtruncatula_Medtr4g131290.1,1
117,>mtr-miR5561-3p,>lcl|Mtruncatula_Medtr4g059760.1,0
118,>gma-miR169e,>lcl|Gmax_Glyma.05G176000.1,1
119,>gma-miR4403,>lcl|Gmax_Glyma.05G010400.1,0
120,>ath-miR164a,>CNT2088778,1
121,>ath-miR852,>lcl|Athaliana_AT5G43185.1,0
122,>mtr-miR5247,>lcl|Mtruncatula_Medtr3g084390.1,1
123,>mtr-miR5278,>lcl|Mtruncatula_Medtr0016s0040.1,0
124,>gma-miR4387c,>lcl|Gmax_Glyma.03G153500.1,1
125,>gma-miR10198,>lcl|Gmax_Glyma.01G015700.1,0
126,>ath-miR401,>CNT2087736,1
127,>ath-miR841b-3p,>lcl|Athaliana_AT1G68526.1,0
128,>mtr-miR2589,>lcl|Mtruncatula_Medtr7g055843.1,1
129,>mtr-miR5292a,>lcl|Mtruncatula_Medtr5g015470.1,0
130,>gma-miR482b-5p,>lcl|Gmax_Glyma.06G311300.1,1
131,>gma-miR156f,>lcl|Gmax_Glyma.01G129800.1,0
132,>ath-miR838,>lcl|Athaliana_AT1G64405.1,1
133,>ath-miR5019,>CNT2088347,0
134,>mtr-miR5207,>lcl|Mtruncatula_Medtr8g022770.2,1
135,>mtr-miR2645,>lcl|Mtruncatula_Medtr4g049300.2,0
136,>gma-miR390a-5p,>lcl|Gmax_Glyma.05G092200.1,1
137,>gma-miR5031,>lcl|Gmax_Glyma.03G179400.1,0
138,>ath-miR771,>CNT2087934,1
139,>ath-miR5017-5p,>CNT2085416,0
140,>mtr-miR5228,>lcl|Mtruncatula_Medtr4g124240.1,1
