,mirna,lncrna,Label,pair_index,mirna_id,lncrna_id
0,ath-miR5020a,CNT2086271,1,0,1,-1
1,ath-miR403-5p,CNT2084906,0,1,2,-2
2,mtr-miR5280,lcl_Mtruncatula_Medtr1g110950.1,1,2,3,-3
3,mtr-miR2086-3p,lcl_Mtruncatula_Medtr1g095390.2,0,3,4,-4
4,gma-miR395a,lcl_Gmax_Glyma.14G142000.1,1,4,5,-5
5,gma-miR169e,lcl_Gmax_Glyma.02G160000.1,0,5,6,-6
6,ath-miR164c-5p,CNT2086832,1,6,7,-7
7,ath-miR824-5p,CNT2086209,0,7,8,-8
8,mtr-miR5562-3p,lcl_Mtruncatula_Medtr1g077720.1,1,8,9,-9
9,mtr-miR2604,lcl_Mtruncatula_Medtr0016s0040.1,0,9,10,-10
10,gma-miR164b,lcl_Gmax_Glyma.01G037000.1,1,10,11,-11
11,gma-miR5044,lcl_Gmax_Glyma.17G261400.1,0,11,12,-12
12,ath-miR834,CNT2086194,1,12,13,-13
13,ath-miR865-5p,CNT2088349,0,13,14,-14
14,mtr-miR2586a,lcl_Mtruncatula_Medtr6g087860.1,1,14,15,-15
15,mtr-miR2592bl-5p,lcl_Mtruncatula_Medtr4g053180.2,0,15,16,-16
16,gma-miR2118a-3p,lcl_Gmax_Glyma.06G202800.1,1,16,17,-17
17,gma-miR9729,lcl_Gmax_Glyma.01G175700.1,0,17,18,-18
18,ath-miR8177,CNT2088549,1,18,19,-19
19,ath-miR8170-3p,lcl_Athaliana_AT4G08120.1,0,19,20,-20
20,mtr-miR5281a,lcl_Mtruncatula_Medtr5g067270.1,1,20,21,-21
21,mtr-miR2629h,lcl_Mtruncatula_Medtr1g054150.1,0,21,22,-22
22,gma-miR5044,lcl_Gmax_Glyma.05G095800.1,1,22,12,-23
23,gma-miR5368,lcl_Gmax_Glyma.17G142500.4,0,23,23,-24
24,ath-miR823,NONATHT001245,1,24,24,-25
25,ath-miR780.2,lcl_Athaliana_AT4G08035.2,0,25,25,-26
26,mtr-miR5254,lcl_Mtruncatula_Medtr4g013735.1,1,26,26,-27
27,mtr-miR319c-5p,lcl_Mtruncatula_Medtr1g054150.1,0,27,27,-22
28,gma-miR2118a-3p,lcl_Gmax_Glyma.11G006500.1,1,28,17,-28
29,gma-miR169l-3p,lcl_Gmax_Glyma.18G290700.3,0,29,28,-29
30,ath-miR158b,CNT2085592,1,30,29,-30
31,ath-miR10515,CNT2086538,0,31,30,-31
32,mtr-miR2673a,lcl_Mtruncatula_Medtr6g038630.1,1,32,31,-32
33,mtr-miR398a-3p,lcl_Mtruncatula_Medtr7g090430.1,0,33,32,-33
34,gma-miR9740,lcl_Gmax_Glyma.07G017200.2,1,34,33,-34
35,gma-miR4380b,lcl_Gmax_Glyma.01G015700.1,0,35,34,-35
36,ath-miR399c-5p,lcl_Athaliana_AT1G10865.1,1,36,35,-36
37,ath-miR864-5p,lcl_Athaliana_AT1G43320.1,0,37,36,-37
38,mtr-miR2654,lcl_Mtruncatula_Medtr3g035965.1,1,38,37,-38
39,mtr-miR2592bm-5p,lcl_Mtruncatula_Medtr0101s0020.2,0,39,38,-39
40,gma-miR5043,lcl_Gmax_Glyma.01G086500.1,1,40,39,-40
41,gma-miR1514a-5p,lcl_Gmax_Glyma.17G251800.2,0,41,40,-41
42,ath-miR851-5p,CNT2084895,1,42,41,-42
43,ath-miR866-5p,CNT2085765,0,43,42,-43
44,mtr-miR2592bm-5p,lcl_Mtruncatula_Medtr5g033860.1,1,44,38,-44
45,mtr-miR5251,lcl_Mtruncatula_Medtr8g087480.1,0,45,43,-45
46,gma-miR156z,lcl_Gmax_Glyma.10G293100.1,1,46,44,-46
47,gma-miR10413a,lcl_Gmax_Glyma.07G094600.1,0,47,45,-47
48,ath-miR8181,CNT2087004,1,48,46,-48
49,ath-miR5645c,CNT2086474,0,49,47,-49
50,mtr-miR169j,lcl_Mtruncatula_Medtr8g092980.1,1,50,48,-50
51,mtr-miR2640,lcl_Mtruncatula_Medtr8g087480.1,0,51,49,-45
52,gma-miR398b-5p,lcl_Gmax_Glyma.12G187800.1,1,52,50,-51
53,gma-miR10420,lcl_Gmax_Glyma.06G137500.1,0,53,51,-52
54,ath-miR402,lcl_Athaliana_AT2G10410.1,1,54,52,-53
55,ath-miR1887,lcl_Athaliana_AT2G30945.1,0,55,53,-54
56,mtr-miR2086-5p,lcl_Mtruncatula_Medtr0212s0010.1,1,56,54,-55
57,mtr-miR5562-3p,lcl_Mtruncatula_Medtr5g081650.3,0,57,9,-56
58,gma-miR159b-5p,lcl_Gmax_Glyma.12G201000.1,1,58,55,-57
59,gma-miR172k,lcl_Gmax_Glyma.02G310500.1,0,59,56,-58
60,ath-miR8181,CNT2085063,1,60,46,-59
61,ath-miR840-3p,NONATHT001927,0,61,57,-60
62,mtr-miR166d,lcl_Mtruncatula_Medtr5g023950.1,1,62,58,-61
63,mtr-miR2675,lcl_Mtruncatula_Medtr8g043400.3,0,63,59,-62
64,gma-miR159c,lcl_Gmax_Glyma.18G006400.2,1,64,60,-63
65,gma-miR10436,lcl_Gmax_Glyma.11G154900.1,0,65,61,-64
66,ath-miR5660,CNT2087551,1,66,62,-65
