,Seqname,0,1,2,3,4,5,6
0,CNT2086271,0.445607,0.382845,0.558577,0.395397,0.028982,0.028408,0.027361
1,CNT2084906,0.410891,0.237624,0.445545,0.549505,0.078193,0.075563,0.075519
2,lcl_Mtruncatula_Medtr1g110950.1,0.451219,0.536585,0.414634,0.402439,0.015848,0.017409,0.016705
3,lcl_Mtruncatula_Medtr1g095390.2,0.340467,0.326848,0.338521,0.356031,0.000668,0.000641,0.00065
4,lcl_Gmax_Glyma.14G142000.1,0.473016,0.485714,0.409524,0.52381,0.010429,0.010538,0.009724
5,lcl_Gmax_Glyma.02G160000.1,0.394066,0.401353,0.387298,0.393545,0.000146,0.000136,0.000146
6,CNT2086832,0.3,0.3125,0.3125,0.275,0.001286,0.001424,0.001559
7,CNT2086209,0.342569,0.355164,0.347607,0.324937,0.000671,0.000769,0.000728
8,lcl_Mtruncatula_Medtr1g077720.1,0.433692,0.408602,0.419355,0.473118,0.003932,0.00357,0.00335
9,lcl_Mtruncatula_Medtr0016s0040.1,0.442991,0.471028,0.482243,0.375701,0.010105,0.009833,0.009453
10,lcl_Gmax_Glyma.01G037000.1,0.398305,0.440678,0.305085,0.449153,0.019759,0.020124,0.019283
11,lcl_Gmax_Glyma.17G261400.1,0.379642,0.390646,0.38652,0.361761,0.000718,0.000735,0.000746
12,CNT2086194,0.364103,0.361538,0.361538,0.369231,8.4e-05,6.2e-05,4e-05
13,CNT2088349,0.417178,0.395706,0.404908,0.45092,0.002744,0.002929,0.00286
14,lcl_Mtruncatula_Medtr6g087860.1,0.445402,0.422414,0.482759,0.431034,0.003249,0.002978,0.00343
15,lcl_Mtruncatula_Medtr4g053180.2,0.327366,0.322251,0.337596,0.322251,0.000236,0.00025,0.000264
16,lcl_Gmax_Glyma.06G202800.1,0.400771,0.393064,0.421965,0.387283,0.001029,0.000972,0.001124
17,lcl_Gmax_Glyma.01G175700.1,0.330973,0.331858,0.315044,0.346018,0.000726,0.000726,0.000713
18,CNT2088549,0.392465,0.405024,0.372057,0.400314,0.000949,0.001018,0.000907
19,lcl_Athaliana_AT4G08120.1,0.34579,0.384962,0.336335,0.316074,0.003731,0.003631,0.003615
20,lcl_Mtruncatula_Medtr5g067270.1,0.507375,0.628319,0.424779,0.469027,0.033754,0.035584,0.034435
21,lcl_Mtruncatula_Medtr1g054150.1,0.362416,0.342282,0.402685,0.342282,0.003651,0.003625,0.003677
22,lcl_Gmax_Glyma.05G095800.1,0.383529,0.310588,0.352941,0.487059,0.026105,0.027088,0.02675
23,lcl_Gmax_Glyma.17G142500.4,0.442122,0.48955,0.414791,0.422026,0.005032,0.005193,0.005304
24,NONATHT001245,0.442122,0.48955,0.414791,0.422026,0.005032,0.005193,0.005304
25,lcl_Athaliana_AT4G08035.2,0.355124,0.323322,0.372792,0.369258,0.002315,0.002429,0.002462
26,lcl_Mtruncatula_Medtr4g013735.1,0.487179,0.461538,0.487179,0.512821,0.002327,0.001848,0.001833
27,lcl_Gmax_Glyma.11G006500.1,0.424242,0.445455,0.381818,0.445455,0.00408,0.004314,0.003844
28,lcl_Gmax_Glyma.18G290700.3,0.384867,0.401227,0.386503,0.366871,0.000876,0.000899,0.000901
29,CNT2085592,0.34375,0.384375,0.375,0.271875,0.011433,0.011805,0.012062
30,CNT2086538,0.373333,0.413333,0.32,0.386667,0.006853,0.005948,0.005263
31,lcl_Mtruncatula_Medtr6g038630.1,0.463855,0.536145,0.409639,0.445783,0.012509,0.013161,0.012705
32,lcl_Mtruncatula_Medtr7g090430.1,0.509259,0.513889,0.583333,0.430556,0.017219,0.017165,0.018821
33,lcl_Gmax_Glyma.07G017200.2,0.379227,0.394928,0.413043,0.32971,0.005696,0.005749,0.005888
34,lcl_Gmax_Glyma.01G015700.1,0.370172,0.350858,0.393777,0.36588,0.00143,0.001407,0.001436
35,lcl_Athaliana_AT1G10865.1,0.403346,0.384758,0.457249,0.36803,0.006741,0.006927,0.00641
36,lcl_Athaliana_AT1G43320.1,0.42577,0.445378,0.310924,0.521008,0.034511,0.034537,0.033439
37,lcl_Mtruncatula_Medtr3g035965.1,0.398551,0.391304,0.380435,0.423913,0.001703,0.001597,0.00136
38,lcl_Mtruncatula_Medtr0101s0020.2,0.362555,0.371281,0.359381,0.357001,0.00017,0.000181,0.000189
39,lcl_Gmax_Glyma.01G086500.1,0.393519,0.402778,0.409722,0.368056,0.001413,0.001484,0.001306
40,lcl_Gmax_Glyma.17G251800.2,0.29884,0.295128,0.292343,0.309049,0.000247,0.000242,0.000262
41,CNT2084895,0.474104,0.513944,0.49004,0.418327,0.006968,0.007655,0.007373
42,CNT2085765,0.48367,0.438569,0.503888,0.508554,0.004761,0.004468,0.004324
