,Seqname,0,1,2,3,4
0,CNT2086271,26.557692,11.698965,0.180769,2976.4766,2.407259
1,CNT2084906,42.382927,5.068299,-0.734146,4809.1958,2.977668
2,lcl_Mtruncatula_Medtr1g110950.1,17.585185,8.958092,-0.004938,8820.1294,2.9937
3,lcl_Mtruncatula_Medtr1g095390.2,35.133333,9.938527,-0.533333,5852.8143,2.77078
4,lcl_Gmax_Glyma.14G142000.1,48.191346,9.517677,0.258654,11538.4274,3.083974
5,lcl_Gmax_Glyma.02G160000.1,48.534694,7.917572,0.004082,10231.32,3.111676
6,CNT2086832,84.54,8.497787,0.62,1209.4578,2.156326
7,CNT2086209,53.787679,9.935497,-1.021429,6927.9726,2.844039
8,lcl_Mtruncatula_Medtr1g077720.1,27.269565,8.680297,0.157609,10107.7957,3.066495
9,lcl_Mtruncatula_Medtr0016s0040.1,48.161957,9.514841,-0.226087,10556.4655,3.045508
10,lcl_Gmax_Glyma.01G037000.1,44.507692,7.88682,-0.387179,13370.079,3.229488
11,lcl_Gmax_Glyma.17G261400.1,54.845455,7.64032,0.445455,9277.9712,3.084699
12,CNT2086194,82.07619,6.51127,-0.642857,2387.6652,2.56549
13,CNT2088349,68.811688,6.897605,-0.722078,9161.2388,3.123583
14,lcl_Mtruncatula_Medtr6g087860.1,59.028696,10.5063,-0.469565,13752.8997,3.117276
15,lcl_Mtruncatula_Medtr4g053180.2,66.850845,8.396894,0.157746,8480.9378,3.004755
16,lcl_Gmax_Glyma.06G202800.1,28.885333,5.193856,0.416,7642.6288,3.168048
17,lcl_Gmax_Glyma.01G175700.1,54.991939,10.02543,0.088776,11584.5977,3.063154
18,CNT2088549,85.044444,9.781675,-0.155556,6512.6717,2.823998
19,lcl_Athaliana_AT4G08120.1,72.966379,9.341485,-0.109483,12978.014,3.143105
20,lcl_Mtruncatula_Medtr5g067270.1,25.734821,5.099617,-0.075,12023.6781,3.372684
21,lcl_Mtruncatula_Medtr1g054150.1,46.820721,9.098504,-0.377477,12465.1478,3.137044
22,lcl_Gmax_Glyma.05G095800.1,62.389167,5.820677,0.486111,4278.8566,2.866945
23,lcl_Gmax_Glyma.17G142500.4,82.198969,11.764207,0.023711,10176.6666,2.937545
24,NONATHT001245,82.198969,11.764207,0.023711,10176.6666,2.937545
25,lcl_Athaliana_AT4G08035.2,42.0,9.747571,1.107018,6658.2116,2.835097
26,lcl_Mtruncatula_Medtr4g013735.1,74.284615,10.568383,-0.702564,8852.014,2.923552
27,lcl_Gmax_Glyma.11G006500.1,31.502752,7.615595,-0.13945,12326.1617,3.209392
28,lcl_Gmax_Glyma.18G290700.3,43.490323,8.932433,-0.26129,6650.5526,2.872471
29,CNT2085592,47.52,5.274795,1.09,1171.4048,2.348453
30,CNT2086538,73.542222,11.733907,0.604444,5297.3084,2.655574
31,lcl_Mtruncatula_Medtr6g038630.1,36.724779,4.433919,-0.176991,11730.7521,3.422702
32,lcl_Mtruncatula_Medtr7g090430.1,81.380282,9.150078,0.284507,7483.7159,2.913223
33,lcl_Gmax_Glyma.07G017200.2,34.122857,7.961024,0.165714,7680.8343,2.984889
34,lcl_Gmax_Glyma.01G015700.1,49.739474,6.16711,-0.063158,12290.8344,3.299718
35,lcl_Athaliana_AT1G10865.1,50.797183,9.096828,-0.56338,7918.1929,2.940235
36,lcl_Athaliana_AT1G43320.1,29.614407,5.227619,-0.098305,13502.3788,3.412275
37,lcl_Mtruncatula_Medtr3g035965.1,45.108791,8.956867,0.079121,10785.5272,3.081046
38,lcl_Mtruncatula_Medtr0101s0020.2,63.752174,9.34026,0.296739,10530.2136,3.052463
39,lcl_Gmax_Glyma.01G086500.1,32.058696,8.881825,0.528261,5466.5589,2.789917
40,lcl_Gmax_Glyma.17G251800.2,47.124576,9.485636,-0.640678,13885.8141,3.165801
41,CNT2084895,22.388,5.823348,-0.556,2906.1434,2.699014
42,CNT2085765,53.064286,9.005734,-0.652381,4920.4498,2.73828
43,lcl_Mtruncatula_Medtr5g033860.1,40.730303,5.485895,0.070707,11246.1967,3.31197
44,lcl_Mtruncatula_Medtr8g087480.1,27.099083,8.824835,0.013761,12786.0524,3.16133
45,lcl_Gmax_Glyma.10G293100.1,50.368571,9.207971,-0.272381,11838.4945,3.10947
46,lcl_Gmax_Glyma.07G094600.1,63.372449,5.608383,-0.278571,10828.1948,3.285943
47,CNT2087004,59.063889,7.916218,-0.838889,4361.9074,2.741946
48,CNT2086474,9.405,5.995286,0.938333,7470.7935,3.095905
49,lcl_Mtruncatula_Medtr8g092980.1,11.086022,4.504399,0.131183,10629.0695,3.373042
50,lcl_Gmax_Glyma.12G187800.1,27.478095,9.584402,-0.28,11466.301,3.078221
51,lcl_Gmax_Glyma.06G137500.1,57.342857,9.397701,-0.284524,9207.4304,2.99156
52,lcl_Athaliana_AT2G10410.1,30.730769,5.957715,0.302564,4546.257,2.883143
53,lcl_Athaliana_AT2G30945.1,32.518182,8.360985,0.818182,3878.7579,2.66737
54,lcl_Mtruncatula_Medtr0212s0010.1,38.534737,4.437102,-0.232632,10922.1835,3.391386
55,lcl_Mtruncatula_Medtr5g081650.3,20.281818,9.694836,0.763636,8495.0701,2.943122
56,lcl_Gmax_Glyma.12G201000.1,48.478495,9.234596,-0.203226,9900.053,3.030625
57,lcl_Gmax_Glyma.02G310500.1,58.517045,9.490407,-1.152273,9862.6528,3.017127
58,CNT2085063,64.484444,10.052249,0.602222,5348.355,2.726772
59,NONATHT001927,23.855462,9.262963,0.337815,13667.2057,3.169224
60,lcl_Mtruncatula_Medtr5g023950.1,52.501316,4.99941,-0.176316,8443.5852,3.227865
61,lcl_Mtruncatula_Medtr8g043400.3,32.831667,7.918152,-0.26,6715.7203,2.928981
62,lcl_Gmax_Glyma.18G006400.2,38.981633,9.332137,0.087755,9915.5383,3.026744
63,lcl_Gmax_Glyma.11G154900.1,42.831111,9.937947,-0.506667,10294.3793,3.015723
64,CNT2087551,49.996154,10.859909,-0.196154,2879.4906,2.425124
65,lcl_Athaliana_AT3G45275.1,27.758772,9.455401,0.292982,12731.345,3.129517
66,lcl_Mtruncatula_Medtr5g095640.1,32.769072,6.228496,0.053608,10544.0601,3.228881
67,lcl_Mtruncatula_Medtr3g117730.1,84.936036,11.50066,-1.868468,12883.3188,3.049692
68,lcl_Gmax_Glyma.18G189400.1,15.297701,4.932511,-0.429885,9744.0797,3.295893
69,lcl_Gmax_Glyma.20G010700.1,46.613043,6.036665,-0.332609,10541.8213,3.242367
70,lcl_Athaliana_AT4G39404.1,75.284783,10.576441,-0.859783,10784.3154,3.008879
71,lcl_Athaliana_AT3G42792.1,42.253913,4.341385,-0.872174,13555.7874,3.494636
72,lcl_Mtruncatula_Medtr5g092710.1,52.950602,8.791763,-0.514458,9547.8896,3.036231
73,lcl_Mtruncatula_Medtr2g009910.2,28.140845,5.630039,0.669014,7859.1674,3.145176
74,lcl_Gmax_Glyma.01G067500.1,35.178378,7.030949,-0.254955,13017.9036,3.267762
75,lcl_Gmax_Glyma.13G278900.4,39.738983,4.430622,-0.333051,12927.2259,3.465189
76,lcl_Athaliana_AT2G34120.1,67.907143,4.27153,-1.294286,7905.315,3.26757
77,lcl_Athaliana_AT3G42316.1,29.666667,4.19997,-0.748276,9935.7045,3.374136
78,lcl_Mtruncatula_Medtr8g469250.1,44.555714,5.048064,-0.314286,7605.3668,3.178283
79,lcl_Mtruncatula_Medtr8g051620.3,53.240741,8.629109,0.02037,12627.8593,3.16566
80,lcl_Gmax_Glyma.18G144300.1,59.86087,10.407857,-0.378261,7384.2873,2.851559
81,lcl_Gmax_Glyma.04G237800.1,29.567857,9.956256,0.373214,12666.8737,3.104915
82,lcl_Athaliana_AT5G04080.1,43.828571,7.540511,-0.842857,7322.4114,2.9877
83,CNT2084940,66.622449,10.140893,0.032653,5646.4451,2.746478
84,lcl_Mtruncatula_Medtr7g102805.1,33.452727,7.556141,0.676364,6050.3395,2.904022
85,lcl_Mtruncatula_Medtr5g084410.2,27.174336,4.838726,-0.923009,11638.1241,3.381332
86,lcl_Gmax_Glyma.08G320400.2,37.103488,9.067946,-1.184884,9431.3247,3.017481
87,lcl_Gmax_Glyma.18G297000.1,30.330667,6.538041,-0.084,8586.7903,3.118714
88,lcl_Athaliana_AT3G22240.1,42.140278,4.996511,-0.244444,7524.4819,3.178098
89,NONATHT003169,42.140278,4.996511,-0.244444,7524.4819,3.178098
90,lcl_Mtruncatula_Medtr8g036030.1,39.015789,8.487795,-0.686316,10627.957,3.098002
91,lcl_Mtruncatula_Medtr0101s0020.4,52.216667,9.13654,0.642857,9667.4098,3.024939
92,lcl_Gmax_Glyma.14G127700.1,41.773678,11.105662,-0.747126,10395.1855,2.971752
93,lcl_Gmax_Glyma.16G020900.3,22.202941,9.462621,0.045588,8140.6325,2.935151
94,CNT2086564,60.86,5.962092,0.075,2382.6881,2.602754
95,CNT2087411,56.066667,4.396292,-0.516667,1488.6852,2.530997
96,lcl_Mtruncatula_Medtr2g076020.1,33.941667,9.455401,-0.183333,7871.0132,2.920872
97,lcl_Gmax_Glyma.18G279100.1,41.608974,6.689858,0.016667,8599.8354,3.109411
98,lcl_Gmax_Glyma.01G133700.1,63.717526,5.756278,0.493814,11263.9795,3.291772
99,NONATHT000860,63.717526,5.756278,0.493814,11263.9795,3.291772
100,CNT2087724,81.092308,11.999968,-0.615385,4197.929,2.545095
101,lcl_Mtruncatula_Medtr4g072920.1,30.325,5.829259,-0.716346,11717.001,3.303419
102,lcl_Gmax_Glyma.13G068400.2,63.665385,9.956384,-0.782692,12661.5611,3.104727
103,CNT2086891,48.842105,11.711343,0.918421,4708.72,2.605375
104,lcl_Athaliana_AT1G68700.1,56.055446,5.038743,-0.80396,11854.1607,3.371733
105,lcl_Mtruncatula_Medtr2g087985.1,64.714706,6.80132,-0.111765,7717.7088,3.055278
106,lcl_Mtruncatula_Medtr3g053460.2,54.583636,8.231146,-0.26,6193.0299,2.87702
107,lcl_Gmax_Glyma.08G280100.1,20.863158,9.301257,-0.049474,10779.6223,3.064436
108,lcl_Gmax_Glyma.03G243300.1,39.150746,4.534979,0.686567,7179.3265,3.199783
109,lcl_Athaliana_AT5G11630.1,72.62043,11.315378,0.049462,9629.0534,2.930425
110,CNT2085967,54.639286,5.822836,0.782143,3289.8786,2.752813
111,lcl_Mtruncatula_Medtr4g131290.1,47.501351,9.520965,0.755405,8274.7809,2.939575
112,lcl_Mtruncatula_Medtr4g059760.1,34.73625,9.729004,0.2,9141.5001,2.973411
113,lcl_Gmax_Glyma.05G176000.1,68.145652,9.491632,0.276087,10708.5855,3.052776
114,lcl_Gmax_Glyma.05G010400.1,57.741375,11.220996,0.195,9125.7414,2.91077
115,CNT2088778,16.10625,5.840116,1.1625,1691.0003,2.46322
116,lcl_Athaliana_AT5G43185.1,71.539759,9.566093,-0.007229,10164.9734,3.02678
117,lcl_Mtruncatula_Medtr3g084390.1,37.13038,4.457564,-0.005063,9188.3483,3.314351
118,lcl_Gmax_Glyma.03G153500.1,32.261,9.410853,-0.405,11040.5801,3.069733
119,CNT2087736,96.169697,11.705283,-1.027273,4014.5354,2.536518
120,lcl_Athaliana_AT1G68526.1,55.075,11.851626,-0.561458,11599.7805,2.991115
121,lcl_Mtruncatula_Medtr7g055843.1,59.34375,9.248393,0.06,8761.3306,2.976962
122,lcl_Mtruncatula_Medtr5g015470.1,63.784615,7.943617,-0.038462,6001.8679,2.878843
123,lcl_Gmax_Glyma.06G311300.1,60.192647,10.288848,-0.558824,7970.4443,2.889676
124,lcl_Gmax_Glyma.01G129800.1,42.732292,9.820807,-0.536458,11155.8729,3.055739
125,lcl_Athaliana_AT1G64405.1,59.683898,4.711464,-0.562712,13404.0748,3.454234
126,CNT2088347,73.453247,7.673741,0.020779,8523.988,3.046026
127,lcl_Mtruncatula_Medtr8g022770.2,28.090917,9.662667,-0.477064,12526.3536,3.113063
128,lcl_Mtruncatula_Medtr4g049300.2,43.408333,10.717434,-0.63125,11454.4805,3.029291
