,Seqname,0,1,2,3,4,5,6,7
0,CNT2086271,-0.547924,-0.557947,0.982037,-0.400646,-0.397703,1.0074,-106.0,0.102725
1,CNT2084906,-1.748684,-1.725492,1.013441,-1.118326,-1.082823,1.032788,-30.0,0.144279
2,lcl_Mtruncatula_Medtr1g110950.1,-1.14371,-1.153053,0.991897,-0.861151,-0.867947,0.992169,-69.2,0.106122
3,lcl_Mtruncatula_Medtr1g095390.2,-0.102729,-0.098851,1.039228,-0.097747,-0.091657,1.066448,-333.8,0.096042
4,lcl_Gmax_Glyma.14G142000.1,-0.905184,-0.925374,0.978182,-0.702079,-0.70094,1.001625,-78.4,0.111465
5,lcl_Gmax_Glyma.02G160000.1,-0.013412,-0.016058,0.83525,-0.032258,-0.03212,1.004299,-993.0,0.107264
6,CNT2086832,-1.625619,-1.600786,1.015513,-1.060454,-1.018977,1.040704,-19.5,0.087866
7,CNT2086209,-0.768357,-0.761865,1.008522,-0.570436,-0.559056,1.020355,-65.2,0.106061
8,lcl_Mtruncatula_Medtr1g077720.1,-1.332456,-1.335938,0.997394,-0.890812,-0.872071,1.02149,-48.8,0.111511
9,lcl_Mtruncatula_Medtr0016s0040.1,-0.486757,-0.49553,0.982297,-0.358197,-0.352641,1.015756,-119.2,0.097378
10,lcl_Gmax_Glyma.01G037000.1,-1.179255,-1.190958,0.990173,-0.753214,-0.751969,1.001656,-46.5,0.076487
11,lcl_Gmax_Glyma.17G261400.1,-0.032038,-0.035705,0.897278,-0.050053,-0.048896,1.023644,-583.1,0.105046
12,CNT2086194,-0.647177,-0.651342,0.993606,-0.52866,-0.52239,1.012003,-83.6,0.095116
13,CNT2088349,-0.176122,-0.195307,0.901773,-0.197292,-0.194422,1.014762,-165.6,0.116743
14,lcl_Mtruncatula_Medtr6g087860.1,-0.670704,-0.691705,0.969638,-0.582941,-0.579912,1.005224,-98.6,0.115274
15,lcl_Mtruncatula_Medtr4g053180.2,-0.037577,-0.039105,0.960931,-0.057782,-0.057749,1.000564,-612.5,0.102772
16,lcl_Gmax_Glyma.06G202800.1,-0.336534,-0.331921,1.013898,-0.365904,-0.352167,1.039008,-143.3,0.117761
17,lcl_Gmax_Glyma.01G175700.1,-0.016235,-0.023028,0.704981,-0.035574,-0.036474,0.975347,-801.8,0.106816
18,CNT2088549,-0.212491,-0.223489,0.950788,-0.219795,-0.217325,1.011365,-152.1,0.100629
19,lcl_Athaliana_AT4G08120.1,-0.034873,-0.034891,0.999507,-0.054608,-0.054169,1.008116,-518.7,0.112613
20,lcl_Mtruncatula_Medtr5g067270.1,-0.723824,-0.767621,0.942945,-0.609051,-0.622826,0.977882,-101.6,0.115385
21,lcl_Mtruncatula_Medtr1g054150.1,-0.022906,-0.029212,0.784144,-0.047286,-0.046905,1.008117,-641.4,0.109288
22,lcl_Gmax_Glyma.05G095800.1,-0.74312,-0.732062,1.015104,-0.625018,-0.612861,1.019835,-55.6,0.058962
23,lcl_Gmax_Glyma.17G142500.4,-0.11927,-0.129679,0.919729,-0.087504,-0.088472,0.989067,-309.1,0.107804
24,NONATHT001245,-0.11927,-0.129679,0.919729,-0.087504,-0.088472,0.989067,-309.1,0.107804
25,lcl_Athaliana_AT4G08035.2,-0.038369,-0.03989,0.961869,-0.071145,-0.069116,1.029349,-364.9,0.107837
26,lcl_Mtruncatula_Medtr4g013735.1,-2.304289,-2.324599,0.991263,-1.516649,-1.517477,0.999454,-11.5,0.04721
27,lcl_Gmax_Glyma.11G006500.1,-0.646855,-0.664707,0.973144,-0.591717,-0.583741,1.013663,-89.0,0.118541
28,lcl_Gmax_Glyma.18G290700.3,-0.025827,-0.033805,0.764,-0.040351,-0.041157,0.980399,-594.9,0.104337
29,CNT2085592,-0.92167,-0.908248,1.014778,-0.693682,-0.669756,1.035723,-59.7,0.087774
30,CNT2086538,-1.697381,-1.681029,1.009728,-1.11937,-1.099996,1.017613,-27.2,0.098214
31,lcl_Mtruncatula_Medtr6g038630.1,-0.278014,-0.303188,0.916972,-0.265466,-0.272888,0.972801,-152.2,0.124748
32,lcl_Mtruncatula_Medtr7g090430.1,-1.649298,-1.666656,0.989585,-1.181665,-1.175395,1.005335,-59.9,0.111628
33,lcl_Gmax_Glyma.07G017200.2,-0.177919,-0.185743,0.957876,-0.18661,-0.182768,1.021021,-179.3,0.113664
34,lcl_Gmax_Glyma.01G015700.1,-0.020987,-0.026337,0.796867,-0.038661,-0.039301,0.983714,-725.9,0.104472
35,lcl_Athaliana_AT1G10865.1,-0.354411,-0.362721,0.977092,-0.288148,-0.285852,1.008033,-122.3,0.117318
36,lcl_Athaliana_AT1G43320.1,-0.729307,-0.725771,1.004872,-0.604731,-0.595624,1.01529,-81.2,0.148876
37,lcl_Mtruncatula_Medtr3g035965.1,-0.934164,-0.927662,1.00701,-0.749644,-0.740953,1.01173,-63.5,0.116364
38,lcl_Mtruncatula_Medtr0101s0020.2,-0.035183,-0.039839,0.883145,-0.056884,-0.055834,1.018799,-625.2,0.103571
39,lcl_Gmax_Glyma.01G086500.1,-0.410031,-0.408069,1.004809,-0.423793,-0.410019,1.033594,-110.5,0.12761
40,lcl_Gmax_Glyma.17G251800.2,-0.066238,-0.067975,0.974445,-0.078779,-0.077205,1.0204,-449.7,0.096565
41,CNT2084895,-1.185733,-1.205501,0.983602,-0.822656,-0.829249,0.992049,-53.6,0.144
42,CNT2085765,-0.198799,-0.233266,0.852243,-0.212397,-0.214197,0.991596,-178.6,0.11838
43,lcl_Mtruncatula_Medtr5g033860.1,-0.807028,-0.799987,1.008801,-0.609361,-0.609197,1.00027,-54.5,0.137124
44,lcl_Mtruncatula_Medtr8g087480.1,-0.366744,-0.375806,0.975884,-0.2527,-0.248437,1.01716,-130.1,0.106447
45,lcl_Gmax_Glyma.10G293100.1,-0.297114,-0.29452,1.00881,-0.289958,-0.282786,1.025363,-149.2,0.102729
46,lcl_Gmax_Glyma.07G094600.1,-1.125842,-1.11637,1.008485,-0.818806,-0.798192,1.025826,-54.7,0.10473
47,CNT2087004,-0.38477,-0.400182,0.961488,-0.287099,-0.290123,0.989575,-120.8,0.08651
48,CNT2086474,-0.041045,-0.046281,0.886862,-0.071975,-0.07112,1.012019,-434.2,0.092721
49,lcl_Mtruncatula_Medtr8g092980.1,-0.859382,-0.856174,1.003747,-0.659439,-0.645805,1.021111,-64.9,0.117438
