,A,B,A_seq,B_seq,Label,pair_seq
0,>hsa-miR-103a-3p,>ENST00000562391.5,,,0,
1,>hsa-miR-103a-3p,>ENST00000418062.1,,,1,
2,>hsa-miR-186-5p,>ENST00000625218.1,,,1,
3,>hsa-miR-33a-5p,>ENST00000457870.5,,,0,
4,>hsa-miR-200c-3p,>ENST00000578572.1,,,1,
5,>hsa-miR-449a,>ENST00000512213.5,,,0,
6,>hsa-miR-448,>ENST00000545226.5,,,0,
7,>hsa-miR-7-5p,>ENST00000458274.1,,,1,
8,>hsa-miR-200b-3p,>ENST00000559368.5,,,1,
9,>hsa-miR-16-5p,>ENST00000581398.1,,,1,
10,>hsa-miR-181a-5p,>ENST00000551361.1,,,1,
11,>hsa-miR-4465,>ENST00000588244.5,,,0,
12,>hsa-miR-26a-5p,>ENST00000494680.6,,,1,
13,>hsa-miR-4735-3p,>ENST00000542112.5,,,1,
14,>hsa-miR-146a-5p,>ENST00000468186.5,,,0,
15,>hsa-miR-194-5p,>ENST00000624533.1,,,0,
16,>hsa-miR-130b-3p,>ENST00000455531.1,,,0,
17,>hsa-miR-30d-5p,>ENST00000536662.5,,,1,
18,>hsa-miR-196b-5p,>ENST00000499418.2,,,0,
19,>hsa-miR-16-5p,>ENST00000567286.5,,,0,
20,>hsa-miR-520c-3p,>ENST00000444126.5,,,1,
21,>hsa-miR-191-5p,>ENST00000417942.5,,,1,
22,>hsa-miR-590-3p,>ENST00000504932.2,,,0,
23,>hsa-miR-150-5p,>ENST00000560248.1,,,1,
24,>hsa-miR-130a-3p,>ENST00000457508.1,,,0,
25,>hsa-miR-130b-3p,>ENST00000560068.1,,,0,
26,>hsa-miR-140-5p,>ENST00000537068.5,,,1,
27,>hsa-miR-506-3p,>ENST00000623522.1,,,0,
28,>hsa-miR-181a-5p,>ENST00000558935.1,,,0,
29,>hsa-miR-424-5p,>ENST00000559094.1,,,1,
30,>hsa-miR-449a,>ENST00000596665.5,,,1,
31,>hsa-miR-216a-5p,>ENST00000417942.5,,,1,
32,>hsa-miR-222-3p,>ENST00000562691.2,,,0,
33,>hsa-miR-185-5p,>ENST00000446816.1,,,0,
34,>hsa-miR-200b-3p,>ENST00000525716.2,,,0,
35,>hsa-miR-4429,>ENST00000427447.5,,,0,
36,>hsa-miR-301a-3p,>ENST00000538335.1,,,1,
37,>hsa-miR-17-5p,>ENST00000466740.2,,,0,
38,>hsa-miR-33b-5p,>ENST00000430166.5,,,1,
39,>hsa-miR-4306,>ENST00000509012.5,,,1,
40,>hsa-miR-106a-5p,>ENST00000430166.5,,,1,
41,>hsa-miR-16-5p,>ENST00000514109.1,,,1,
42,>hsa-miR-590-3p,>ENST00000581398.1,,,0,
43,>hsa-miR-135a-5p,>ENST00000425653.1,,,1,
44,>hsa-miR-106b-5p,>ENST00000563750.1,,,1,
45,>hsa-miR-17-5p,>ENST00000590628.1,,,0,
46,>hsa-miR-425-5p,>ENST00000414659.5,,,1,
47,>hsa-miR-4262,>ENST00000582733.5,,,1,
48,>hsa-miR-218-5p,>ENST00000450713.1,,,0,
49,>hsa-miR-103a-3p,>ENST00000422740.1,,,1,
50,>hsa-miR-302c-3p,>ENST00000439559.2,,,0,
51,>hsa-miR-196a-5p,>ENST00000562965.1,,,0,
52,>hsa-miR-93-5p,>ENST00000602498.1,,,1,
53,>hsa-miR-200b-3p,>ENST00000441075.1,,,0,
54,>hsa-miR-181c-5p,>ENST00000447832.1,,,0,
55,>hsa-miR-146b-5p,>ENST00000457898.1,,,0,
56,>hsa-miR-3619-5p,>ENST00000425595.5,,,1,
57,>hsa-miR-219a-5p,>ENST00000528549.1,,,0,
58,>hsa-miR-448,>ENST00000580948.1,,,0,
59,>hsa-miR-20a-5p,>ENST00000594950.5,,,0,
60,>hsa-miR-520c-3p,>ENST00000602498.1,,,1,
61,>hsa-miR-106a-5p,>ENST00000599749.5,,,0,
62,>hsa-miR-34a-5p,>ENST00000411429.5,,,1,
63,>hsa-miR-370-3p,>ENST00000511565.1,,,1,
64,>hsa-miR-378c,>ENST00000560248.1,,,0,
65,>hsa-miR-1297,>ENST00000502433.5,,,0,
66,>hsa-miR-320b,>ENST00000588925.5,,,0,
67,>hsa-miR-424-5p,>ENST00000546793.1,,,1,
68,>hsa-miR-142-3p,>ENST00000577661.1,,,1,
69,>hsa-miR-519d-3p,>ENST00000451759.5,,,1,
70,>hsa-miR-98-5p,>ENST00000423704.1,,,0,
71,>hsa-miR-29c-3p,>ENST00000515466.1,,,0,
72,>hsa-miR-186-5p,>ENST00000423255.5,,,0,
73,>hsa-miR-3139,>ENST00000597578.1,,,1,
74,>hsa-miR-340-5p,>ENST00000582866.1,,,1,
75,>hsa-miR-422a,>ENST00000564686.5,,,0,
76,>hsa-miR-320b,>ENST00000561289.1,,,0,
77,>hsa-miR-186-5p,>ENST00000565617.1,,,0,
78,>hsa-miR-16-5p,>ENST00000517675.1,,,0,
79,>hsa-miR-26b-5p,>ENST00000449589.5,,,1,
80,>hsa-miR-186-5p,>ENST00000433505.5,,,0,
81,>hsa-miR-130b-3p,>ENST00000429892.5,,,1,
82,>hsa-miR-216a-5p,>ENST00000563205.1,,,0,
83,>hsa-miR-3666,>ENST00000489488.1,,,0,
84,>hsa-miR-3529-5p,>ENST00000587060.1,,,0,
85,>hsa-miR-27b-3p,>ENST00000453011.5,,,1,
86,>hsa-miR-19b-3p,>ENST00000551146.5,,,0,
87,>hsa-miR-320c,>ENST00000577889.1,,,1,
88,>hsa-miR-374a-5p,>ENST00000569711.1,,,0,
89,>hsa-miR-490-3p,>ENST00000423031.1,,,0,
90,>hsa-miR-130a-3p,>ENST00000577267.1,,,0,
91,>hsa-miR-3167,>ENST00000425771.5,,,1,
92,>hsa-miR-214-3p,>ENST00000584597.1,,,0,
93,>hsa-miR-30e-5p,>ENST00000440093.6,,,1,
94,>hsa-miR-499a-5p,>ENST00000417942.5,,,1,
95,>hsa-miR-107,>ENST00000604571.1,,,1,
96,>hsa-miR-98-5p,>ENST00000587743.1,,,1,
97,>hsa-miR-301a-3p,>ENST00000447538.6,,,1,
98,>hsa-miR-15a-5p,>ENST00000562834.1,,,0,
99,>hsa-miR-221-3p,>ENST00000553985.1,,,0,
100,>hsa-miR-4262,>ENST00000452731.5,,,1,
101,>hsa-miR-29a-3p,>ENST00000481898.5,,,0,
102,>hsa-miR-330-5p,>ENST00000455777.1,,,1,
103,>hsa-miR-96-5p,>ENST00000625218.1,,,1,
104,>hsa-miR-200c-3p,>ENST00000556640.1,,,0,
105,>hsa-miR-340-5p,>ENST00000551146.5,,,0,
106,>hsa-miR-34a-5p,>ENST00000427348.5,,,0,
107,>hsa-miR-330-5p,>ENST00000382265.3,,,0,
108,>hsa-miR-424-5p,>ENST00000549388.1,,,1,
109,>hsa-miR-204-5p,>ENST00000439725.5,,,0,
110,>hsa-miR-425-5p,>ENST00000555968.1,,,0,
111,>hsa-miR-196b-5p,>ENST00000435880.6,,,0,
112,>hsa-miR-340-5p,>ENST00000440698.1,,,0,
113,>hsa-miR-130b-3p,>ENST00000543334.5,,,1,
114,>hsa-miR-3666,>ENST00000587899.3,,,1,
115,>hsa-miR-96-5p,>ENST00000507916.6,,,1,
116,>hsa-miR-19a-3p,>ENST00000588753.1,,,1,
117,>hsa-miR-27b-3p,>ENST00000500843.2,,,0,
118,>hsa-miR-338-3p,>ENST00000594818.1,,,1,
119,>hsa-miR-98-5p,>ENST00000528524.5,,,1,
120,>hsa-miR-181a-5p,>ENST00000584351.5,,,1,
121,>hsa-miR-495-3p,>ENST00000417942.5,,,1,
122,>hsa-miR-205-5p,>ENST00000436656.5,,,1,
123,>hsa-miR-449a,>ENST00000511893.1,,,0,
124,>hsa-miR-302c-3p,>ENST00000602587.5,,,1,
125,>hsa-miR-30e-5p,>ENST00000532249.1,,,1,
126,>hsa-miR-29a-3p,>ENST00000565256.1,,,1,
127,>hsa-miR-30e-5p,>ENST00000596088.5,,,1,
128,>hsa-miR-449b-5p,>ENST00000585030.5,,,0,
129,>hsa-miR-497-5p,>ENST00000564160.1,,,1,
130,>hsa-miR-425-5p,>ENST00000587694.5,,,0,
131,>hsa-miR-429,>ENST00000590479.5,,,1,
132,>hsa-miR-208b-3p,>ENST00000564160.1,,,0,
133,>hsa-miR-454-3p,>ENST00000512287.1,,,1,
134,>hsa-miR-181d-5p,>ENST00000412882.5,,,0,
135,>hsa-miR-19b-3p,>ENST00000568853.1,,,0,
136,>hsa-miR-367-3p,>ENST00000548144.1,,,0,
137,>hsa-miR-454-3p,>ENST00000453875.5,,,1,
138,>hsa-miR-362-3p,>ENST00000449111.5,,,1,
139,>hsa-miR-30e-5p,>ENST00000427306.2,,,1,
140,>hsa-miR-320b,>ENST00000602698.5,,,1,
141,>hsa-miR-520a-3p,>ENST00000560067.1,,,0,
142,>hsa-miR-3666,>ENST00000520432.1,,,0,
143,>hsa-miR-330-5p,>ENST00000579125.1,,,1,
144,>hsa-miR-103a-3p,>ENST00000532579.1,,,1,
145,>hsa-miR-128-3p,>ENST00000414430.5,,,1,
146,>hsa-miR-106b-5p,>ENST00000451141.1,,,0,
147,>hsa-miR-302c-3p,>ENST00000591854.5,,,0,
148,>hsa-miR-302b-3p,>ENST00000602587.5,,,1,
149,>hsa-miR-26a-5p,>ENST00000554086.1,,,0,
150,>hsa-miR-181d-5p,>ENST00000553134.5,,,1,
151,>hsa-miR-16-5p,>ENST00000445791.5,,,1,
152,>hsa-miR-455-5p,>ENST00000432735.5,,,1,
153,>hsa-miR-17-5p,>ENST00000589137.5,,,0,
154,>hsa-miR-130b-3p,>ENST00000418300.1,,,0,
155,>hsa-miR-302a-3p,>ENST00000452057.1,,,0,
156,>hsa-miR-125b-5p,>ENST00000556613.1,,,1,
157,>hsa-miR-3118,>ENST00000418442.1,,,1,
158,>hsa-miR-16-5p,>ENST00000583030.1,,,1,
159,>hsa-miR-23c,>ENST00000561542.1,,,0,
160,>hsa-miR-29b-3p,>ENST00000578572.1,,,1,
161,>hsa-miR-338-3p,>ENST00000414603.1,,,0,
162,>hsa-miR-148a-3p,>ENST00000602587.5,,,1,
163,>hsa-miR-9-5p,>ENST00000588223.5,,,0,
164,>hsa-miR-16-5p,>ENST00000450535.5,,,0,
165,>hsa-miR-373-3p,>ENST00000602458.1,,,0,
166,>hsa-miR-374a-5p,>ENST00000562130.5,,,1,
167,>hsa-miR-34a-5p,>ENST00000430416.5,,,0,
168,>hsa-miR-107,>ENST00000411429.5,,,0,
