,Seqname,0,1,2,3,4
0,CNT2086271,0.9514,8.0,1.296239,13.0,0.340924
1,CNT2084906,1.1099,2.0,0.376421,28.0,0.993825
2,lcl_Mtruncatula_Medtr1g110950.1,0.6892,1.0,0.181508,28.0,0.92544
3,lcl_Mtruncatula_Medtr1g095390.2,0.3499,28.0,3.813943,67.0,1.242542
4,lcl_Gmax_Glyma.14G142000.1,0.8785,1.0,0.17374,13.0,0.39286
5,lcl_Gmax_Glyma.02G160000.1,0.411,63.0,7.632655,147.0,2.158431
6,CNT2086832,0.4237,2.0,0.364644,7.0,0.233397
7,CNT2086209,0.388,11.0,1.837482,48.0,1.338529
8,lcl_Mtruncatula_Medtr1g077720.1,0.7941,1.0,0.177469,12.0,0.378543
9,lcl_Mtruncatula_Medtr0016s0040.1,0.8975,11.0,1.75044,61.0,1.544396
10,lcl_Gmax_Glyma.01G037000.1,0.7213,1.0,0.170296,27.0,0.784783
11,lcl_Gmax_Glyma.17G261400.1,0.3619,50.0,6.503644,349.0,5.902857
12,CNT2086194,0.3476,13.0,2.178026,19.0,0.531855
13,CNT2088349,0.6266,8.0,1.234268,81.0,1.928985
14,lcl_Mtruncatula_Medtr6g087860.1,0.5707,1.0,0.170792,49.0,1.432338
15,lcl_Mtruncatula_Medtr4g053180.2,0.3499,59.0,7.602218,208.0,3.451433
16,lcl_Gmax_Glyma.06G202800.1,0.6499,13.0,2.078727,21.0,0.535973
17,lcl_Gmax_Glyma.01G175700.1,0.4115,60.0,7.381091,259.0,3.919677
18,CNT2088549,0.3874,14.0,2.16774,13.0,0.311128
19,lcl_Athaliana_AT4G08120.1,0.5212,50.0,6.488313,57.0,0.961026
20,lcl_Mtruncatula_Medtr5g067270.1,1.0034,1.0,0.171558,43.0,1.266826
21,lcl_Mtruncatula_Medtr1g054150.1,0.448,53.0,6.713372,292.0,4.687816
22,lcl_Gmax_Glyma.05G095800.1,0.612,4.0,0.660672,12.0,0.328003
23,lcl_Gmax_Glyma.17G142500.4,0.4971,14.0,1.964391,25.0,0.492831
24,NONATHT001245,0.4971,14.0,1.964391,25.0,0.492831
25,lcl_Athaliana_AT4G08035.2,0.4563,35.0,4.705696,91.0,1.64505
26,lcl_Mtruncatula_Medtr4g013735.1,0.7434,0.0,0.0,1.0,0.033602
27,lcl_Gmax_Glyma.11G006500.1,0.8039,1.0,0.172351,61.0,1.816267
28,lcl_Gmax_Glyma.18G290700.3,0.3748,35.0,4.485909,241.0,3.961139
29,CNT2085592,0.7517,9.0,1.559403,48.0,1.440639
30,CNT2086538,0.5285,4.0,0.737935,0.0,1e-06
31,lcl_Mtruncatula_Medtr6g038630.1,0.7627,5.0,0.804815,36.0,0.93469
32,lcl_Mtruncatula_Medtr7g090430.1,0.6719,1.0,0.185877,7.0,0.242298
33,lcl_Gmax_Glyma.07G017200.2,0.5829,12.0,1.785656,91.0,2.017912
34,lcl_Gmax_Glyma.01G015700.1,0.3791,51.0,6.426166,189.0,3.002922
35,lcl_Athaliana_AT1G10865.1,0.5811,5.0,0.794949,73.0,1.84852
36,lcl_Athaliana_AT1G43320.1,0.9981,1.0,0.170053,219.0,6.339876
37,lcl_Mtruncatula_Medtr3g035965.1,0.4981,1.0,0.177809,19.0,0.602602
38,lcl_Mtruncatula_Medtr0101s0020.2,0.3545,41.0,5.234394,13.0,0.212233
39,lcl_Gmax_Glyma.01G086500.1,0.5193,6.0,0.988348,3.0,0.081651
40,lcl_Gmax_Glyma.17G251800.2,0.3194,56.0,7.295457,151.0,2.561544
41,CNT2084895,0.7119,3.0,0.542551,1.0,0.032991
42,CNT2085765,0.7315,7.0,1.082301,25.0,0.598677
43,lcl_Mtruncatula_Medtr5g033860.1,1.0242,1.0,0.17522,57.0,1.753788
44,lcl_Mtruncatula_Medtr8g087480.1,0.3557,7.0,1.075966,109.0,2.576372
45,lcl_Gmax_Glyma.10G293100.1,0.5439,4.0,0.621335,61.0,1.473929
46,lcl_Gmax_Glyma.07G094600.1,0.8043,1.0,0.175528,21.0,0.648654
47,CNT2087004,0.793,12.0,1.838247,21.0,0.49232
48,CNT2086474,0.3373,50.0,6.455776,271.0,4.517272
49,lcl_Mtruncatula_Medtr8g092980.1,0.9178,1.0,0.177134,61.0,1.919214
50,lcl_Gmax_Glyma.12G187800.1,0.7874,12.0,1.887433,84.0,2.079854
51,lcl_Gmax_Glyma.06G137500.1,0.5372,14.0,1.972512,13.0,0.25843
52,lcl_Athaliana_AT2G10410.1,0.4756,24.0,3.449516,61.0,1.259496
53,lcl_Athaliana_AT2G30945.1,0.3987,12.0,1.85582,13.0,0.310485
54,lcl_Mtruncatula_Medtr0212s0010.1,1.0753,1.0,0.176478,48.0,1.499067
55,lcl_Mtruncatula_Medtr5g081650.3,0.4205,49.0,6.351897,36.0,0.605017
56,lcl_Gmax_Glyma.12G201000.1,0.5573,10.0,1.463018,228.0,4.881821
57,lcl_Gmax_Glyma.02G310500.1,0.7703,1.0,0.178859,4.0,0.128435
58,CNT2085063,0.3911,25.0,3.39435,25.0,0.461618
59,NONATHT001927,0.4735,43.0,5.628182,268.0,4.590065
60,lcl_Mtruncatula_Medtr5g023950.1,0.4866,1.0,0.183596,39.0,1.318944
61,lcl_Mtruncatula_Medtr8g043400.3,0.3822,49.0,6.361525,199.0,3.352785
62,lcl_Gmax_Glyma.18G006400.2,0.6438,11.0,1.682064,39.0,0.911967
63,lcl_Gmax_Glyma.11G154900.1,0.3576,57.0,7.323051,192.0,3.170817
64,CNT2087551,0.6755,3.0,0.516516,13.0,0.386748
65,lcl_Athaliana_AT3G45275.1,0.7725,1.0,0.171044,79.0,2.314239
66,lcl_Mtruncatula_Medtr5g095640.1,1.0094,1.0,0.17584,61.0,1.891039
67,lcl_Mtruncatula_Medtr3g117730.1,0.3902,57.0,7.362882,79.0,1.317313
68,lcl_Gmax_Glyma.18G189400.1,1.0762,1.0,0.17922,93.0,2.995537
