,Seqname,0,1,2,3,4,5,6,7
0,CNT2086271,0.204792,7.287356,0.028102,0.493308,0.544744,0.637599,0.750553,1.000951
1,CNT2084906,0.142014,3.143064,0.045183,0.160873,0.165855,0.171772,0.233389,0.361204
2,lcl_Mtruncatula_Medtr1g110950.1,0.347264,3.497033,0.099303,0.321096,0.348943,0.444094,0.554559,0.913554
3,lcl_Mtruncatula_Medtr1g095390.2,0.7202,24.159523,0.02981,1.146693,1.314813,1.510969,1.798719,7.374949
4,lcl_Gmax_Glyma.14G142000.1,0.355514,4.788931,0.074237,0.286947,0.341857,0.46024,0.529989,0.797871
5,lcl_Gmax_Glyma.02G160000.1,9.732957,58.679044,0.165868,3.494517,3.874544,4.520835,5.673326,16.222577
6,CNT2086832,0.034551,3.900567,0.008858,0.122065,0.131672,0.170847,0.195133,0.233958
7,CNT2086209,0.428489,6.0354,0.070996,0.328763,0.359974,0.400187,0.491165,0.772568
8,lcl_Mtruncatula_Medtr1g077720.1,0.470278,4.27288,0.110061,0.232615,0.264895,0.319299,0.406563,0.490407
9,lcl_Mtruncatula_Medtr0016s0040.1,1.148211,8.188381,0.140224,0.480703,0.520812,0.610004,0.682657,2.381402
10,lcl_Gmax_Glyma.01G037000.1,0.560605,5.594271,0.100211,0.268208,0.293521,0.339187,0.383618,0.573646
11,lcl_Gmax_Glyma.17G261400.1,0.923289,32.900811,0.028063,2.088282,2.338061,2.78557,3.444066,12.369372
12,CNT2086194,0.674363,5.933509,0.113653,0.35381,0.383203,0.436188,0.556753,0.686547
13,CNT2088349,0.402541,9.817701,0.041002,0.58495,0.645068,0.756967,0.919236,2.248326
14,lcl_Mtruncatula_Medtr6g087860.1,0.252736,5.031261,0.050233,0.369744,0.422281,0.549257,0.668726,0.806198
15,lcl_Mtruncatula_Medtr4g053180.2,1.499073,36.062389,0.041569,1.887211,2.093907,2.443631,3.245289,17.211898
16,lcl_Gmax_Glyma.06G202800.1,0.735739,7.789078,0.094458,0.574517,0.631324,0.709682,0.89303,1.187131
17,lcl_Gmax_Glyma.01G175700.1,1.75919,51.763427,0.033985,2.953423,3.310472,3.925734,5.153377,20.581537
18,CNT2088549,0.285798,9.483431,0.030137,0.68164,0.7465,0.846649,1.09182,2.134003
19,lcl_Athaliana_AT4G08120.1,4.936193,33.559576,0.147087,1.963326,2.127965,2.598657,3.095911,5.101407
20,lcl_Mtruncatula_Medtr5g067270.1,1.317072,4.863839,0.270789,0.36115,0.438038,0.466264,0.710443,1.317072
21,lcl_Mtruncatula_Medtr1g054150.1,5.895848,40.799627,0.144507,2.344956,2.658154,3.008691,3.731792,9.884205
22,lcl_Gmax_Glyma.05G095800.1,0.185184,6.897626,0.026847,0.23593,0.275992,0.359321,0.393783,0.725931
23,lcl_Gmax_Glyma.17G142500.4,1.049531,18.937486,0.055421,1.189312,1.403685,1.540282,1.827656,4.819729
24,NONATHT001245,1.049531,18.937486,0.055421,1.189312,1.403685,1.540282,1.827656,4.819729
25,lcl_Athaliana_AT4G08035.2,1.454869,26.140485,0.055656,1.465429,1.680261,2.031908,2.521252,3.935984
26,lcl_Mtruncatula_Medtr4g013735.1,0.122257,3.860659,0.031667,0.103971,0.114478,0.122257,0.136186,0.156579
27,lcl_Gmax_Glyma.11G006500.1,0.304479,4.828889,0.063054,0.401279,0.40728,0.455927,0.558672,0.735364
28,lcl_Gmax_Glyma.18G290700.3,2.175872,36.969949,0.058855,2.242931,2.485851,2.953418,3.749549,18.061281
29,CNT2085592,0.171857,4.935091,0.034823,0.25651,0.289533,0.305003,0.399469,0.683932
30,CNT2086538,0.156221,3.574301,0.043707,0.156221,0.183399,0.196058,0.215913,0.328692
31,lcl_Mtruncatula_Medtr6g038630.1,1.390449,6.906532,0.201324,0.641793,0.759025,0.81774,1.005464,3.535014
32,lcl_Mtruncatula_Medtr7g090430.1,0.263836,3.305164,0.079826,0.210846,0.236939,0.263836,0.337783,0.516558
33,lcl_Gmax_Glyma.07G017200.2,1.068636,12.514605,0.085391,0.774378,0.905547,1.083977,1.272629,2.688654
34,lcl_Gmax_Glyma.01G015700.1,3.772231,41.866185,0.090102,2.737915,3.050362,3.553577,4.08895,9.367162
35,lcl_Athaliana_AT1G10865.1,1.2354,7.955921,0.155281,0.512074,0.58089,0.748019,0.840384,1.647376
36,lcl_Athaliana_AT1G43320.1,0.868786,5.281208,0.164505,0.445933,0.5268,0.696313,0.868786,1.403685
37,lcl_Mtruncatula_Medtr3g035965.1,0.338294,4.096214,0.082587,0.266805,0.293265,0.361662,0.391719,0.537779
38,lcl_Mtruncatula_Medtr0101s0020.2,0.535359,37.879756,0.014133,2.536099,2.835111,3.324957,4.003735,7.153246
39,lcl_Gmax_Glyma.01G086500.1,0.471168,6.440605,0.073156,0.422311,0.475171,0.580846,0.860292,1.417468
40,lcl_Gmax_Glyma.17G251800.2,2.543389,33.217118,0.076569,1.706014,1.89623,2.209754,2.728271,7.656685
41,CNT2084895,0.218889,3.775971,0.057969,0.230758,0.261535,0.293232,0.32481,0.702845
42,CNT2085765,1.295228,9.449766,0.137065,0.678089,0.772307,0.835348,1.212368,3.091242
43,lcl_Mtruncatula_Medtr5g033860.1,1.250018,4.01032,0.3117,0.393287,0.474435,0.558495,0.582884,1.250018
44,lcl_Mtruncatula_Medtr8g087480.1,0.676519,10.328247,0.065502,0.567923,0.662786,0.765317,1.056994,2.491543
45,lcl_Gmax_Glyma.10G293100.1,0.249513,9.468895,0.026351,0.526561,0.633118,0.741739,0.946407,1.348331
46,lcl_Gmax_Glyma.07G094600.1,0.34674,4.653237,0.074516,0.251698,0.279864,0.34674,0.381481,0.708906
47,CNT2087004,0.529011,10.7541,0.049192,0.51874,0.546711,0.630067,0.87192,1.261872
48,CNT2086474,3.569949,35.663889,0.1001,1.863467,2.042243,2.459118,2.978003,4.997116
49,lcl_Mtruncatula_Medtr8g092980.1,0.844672,4.031738,0.209506,0.340597,0.363705,0.431392,0.648516,0.844672
50,lcl_Gmax_Glyma.12G187800.1,0.279468,8.700558,0.032121,0.55534,0.6303,0.800235,0.961448,2.328167
51,lcl_Gmax_Glyma.06G137500.1,3.008841,18.120141,0.16605,1.107634,1.225,1.547624,2.003927,16.378181
52,lcl_Athaliana_AT2G10410.1,2.887092,14.890593,0.193887,1.252607,1.478067,1.824812,2.288887,4.435193
53,lcl_Athaliana_AT2G30945.1,0.573555,9.541219,0.060113,0.633286,0.726199,0.817371,0.973783,1.412522
54,lcl_Mtruncatula_Medtr0212s0010.1,0.498349,4.078561,0.122187,0.33679,0.381292,0.441944,0.544686,0.773418
55,lcl_Mtruncatula_Medtr5g081650.3,7.337218,34.181525,0.214654,1.88954,2.132245,2.471649,2.978218,9.740368
56,lcl_Gmax_Glyma.12G201000.1,1.236019,13.409979,0.092172,1.060538,1.182937,1.503765,1.791312,7.685922
57,lcl_Gmax_Glyma.02G310500.1,0.32751,4.053898,0.080789,0.299163,0.325159,0.382079,0.415631,0.534203
58,CNT2085063,2.245939,23.605726,0.095144,1.651436,1.85404,2.111129,2.564296,4.884092
59,NONATHT001927,9.33018,31.278631,0.298292,1.932771,2.209087,2.484752,3.319129,9.806648
60,lcl_Mtruncatula_Medtr5g023950.1,0.170385,3.393699,0.050206,0.250973,0.317573,0.334531,0.454633,0.531803
61,lcl_Mtruncatula_Medtr8g043400.3,1.67685,33.072072,0.050703,2.239666,2.500245,2.919465,3.642386,8.035911
62,lcl_Gmax_Glyma.18G006400.2,1.144745,10.422674,0.109832,0.685941,0.719625,0.921779,1.144745,3.986174
63,lcl_Gmax_Glyma.11G154900.1,1.703215,37.368625,0.045579,1.703215,1.998128,2.257066,2.72452,6.178066
64,CNT2087551,0.258016,5.089889,0.050692,0.285079,0.321491,0.375523,0.456347,0.783533
65,lcl_Athaliana_AT3G45275.1,0.636438,5.154971,0.123461,0.379228,0.403595,0.567288,0.652081,1.264433
66,lcl_Mtruncatula_Medtr5g095640.1,0.86122,4.38737,0.196295,0.269774,0.330566,0.361062,0.496752,0.86122
67,lcl_Mtruncatula_Medtr3g117730.1,2.340207,34.649998,0.067538,2.097195,2.412014,2.81725,3.346727,5.889712
68,lcl_Gmax_Glyma.18G189400.1,1.341774,3.851196,0.348404,0.277386,0.333983,0.39386,0.499574,1.341774
69,lcl_Gmax_Glyma.20G010700.1,3.955406,34.147363,0.115833,1.864905,2.072603,2.437437,2.854955,5.61173
70,lcl_Athaliana_AT4G39404.1,0.198108,3.876676,0.051102,0.315541,0.349541,0.374429,0.504325,1.858597
71,lcl_Athaliana_AT3G42792.1,2.040695,11.903544,0.171436,0.791764,0.953459,1.157684,1.353651,2.194857
72,lcl_Mtruncatula_Medtr5g092710.1,0.663351,3.673605,0.180572,0.262578,0.298711,0.370868,0.487601,0.663351
73,lcl_Mtruncatula_Medtr2g009910.2,1.422574,34.435458,0.041311,1.956953,2.273723,2.584167,3.058991,6.592001
74,lcl_Gmax_Glyma.01G067500.1,0.486934,4.941884,0.098532,0.358609,0.401656,0.456062,0.492801,0.541978
75,lcl_Gmax_Glyma.13G278900.4,6.672734,22.536328,0.296088,1.508374,1.697482,2.064421,2.515102,7.651423
76,lcl_Athaliana_AT2G34120.1,0.81515,2.946189,0.276679,0.249051,0.323417,0.453211,0.599531,0.81515
77,lcl_Athaliana_AT3G42316.1,3.25468,23.052298,0.141187,1.324974,1.528313,1.704141,2.0961,3.68728
78,lcl_Mtruncatula_Medtr8g469250.1,0.197378,2.879199,0.068553,0.298857,0.355138,0.381997,0.463942,0.665668
79,lcl_Mtruncatula_Medtr8g051620.3,3.811405,41.688675,0.091425,2.371482,2.642363,3.076306,3.811405,7.571394
80,lcl_Gmax_Glyma.18G144300.1,0.257354,3.141422,0.081923,0.243542,0.257722,0.277719,0.349512,0.452301
81,lcl_Gmax_Glyma.04G237800.1,0.20381,5.492137,0.037109,0.194694,0.204791,0.242791,0.293725,0.58336
82,lcl_Athaliana_AT5G04080.1,0.896469,7.490025,0.119688,0.48439,0.534428,0.655916,0.829986,1.078645
83,CNT2084940,0.217818,3.907456,0.055744,0.298777,0.309962,0.331739,0.364067,0.624058
84,lcl_Mtruncatula_Medtr7g102805.1,0.55594,4.582368,0.121322,0.267634,0.321863,0.344592,0.423967,0.9306
85,lcl_Mtruncatula_Medtr5g084410.2,6.609475,41.9875,0.157415,1.950015,2.29125,2.669614,3.585127,16.196724
86,lcl_Gmax_Glyma.08G320400.2,1.446799,11.558426,0.125173,0.815477,0.91893,1.121066,1.358321,2.171747
87,lcl_Gmax_Glyma.18G297000.1,0.68889,34.495945,0.01997,2.0885,2.34767,2.62617,3.120807,6.046409
88,lcl_Athaliana_AT3G22240.1,1.690602,8.149955,0.207437,0.462898,0.510947,0.678456,0.784365,2.935109
89,NONATHT003169,1.690602,8.149955,0.207437,0.462898,0.510947,0.678456,0.784365,2.935109
90,lcl_Mtruncatula_Medtr8g036030.1,0.288841,4.045475,0.071398,0.320376,0.380285,0.481507,0.612493,0.919873
91,lcl_Mtruncatula_Medtr0101s0020.4,0.686666,40.500207,0.016955,2.725092,3.066211,3.657696,4.475703,7.964187
92,lcl_Gmax_Glyma.14G127700.1,0.626115,12.939343,0.048388,0.755939,0.860088,1.023648,1.297673,2.205205
93,lcl_Gmax_Glyma.16G020900.3,2.019936,34.66413,0.058272,1.98438,2.291601,2.656001,3.37727,11.027126
94,CNT2086564,0.158867,4.835846,0.032852,0.265221,0.315116,0.336691,0.434584,0.94946
95,CNT2087411,0.703248,4.069696,0.172801,0.325487,0.338451,0.382744,0.484022,0.703248
96,lcl_Mtruncatula_Medtr2g076020.1,0.973783,10.046049,0.096932,0.656057,0.747433,0.839924,1.014598,1.646812
97,lcl_Gmax_Glyma.18G279100.1,0.107608,4.543779,0.023683,0.334556,0.352547,0.394103,0.634846,1.269815
98,lcl_Gmax_Glyma.01G133700.1,1.001829,14.784263,0.067763,0.653743,0.721488,0.845585,1.021151,1.340912
