,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,CNT2086271,81.0,0.169456,1.0,0.0,0.1047901596341309,3.879029280571649e-10,3.879029280571649e-10,0.05270030819618553,3.879029280571649e-10,3.879029280571649e-10,3.879029280571649e-10,0.0829770511859006,3.879029280571649e-10,0.12110697201780897,0.0829770511859006,0.0829770511859006,3.879029280571649e-10,0.05270030819618553,0.1047901596341309,0.1047901596341309,0.1047901596341309,0.05270030819618553,0.05270030819618553,3.879029280571649e-10,0.11403,0.114617,0.994875,-48.736894,-48.463596,1.005639,0.0
1,CNT2084906,123.0,0.608911,-1.0,0.0,0.03540522647159677,2.3298101234041713e-10,0.07479314372980748,0.10030416117054075,0.05759351113933903,2.3298101234041713e-10,0.10030416117054075,0.05759351113933903,0.05759351113933903,0.0887531387100572,0.03540522647159677,2.3298101234041713e-10,0.03540522647159677,0.07479314372980748,2.3298101234041713e-10,0.10030416117054075,0.0887531387100572,0.05759351113933903,2.3298101234041713e-10,0.03540522647159677,0.115657,0.116828,0.989981,-30.998359,-30.638355,1.01175,0.0
2,lcl_Mtruncatula_Medtr1g110950.1,246.0,1.0,1.0,22500.0,0.08083913848200895,0.04315848866395964,0.03231199556814982,0.05252178018419152,0.03231199556814982,0.08083913848200895,0.03231199556814982,0.060782173088364935,0.06816366090893523,0.0748142510693154,0.019181550527318868,0.060782173088364935,0.04315848866395964,0.05252178018419152,0.04315848866395964,0.060782173088364935,0.019181550527318868,0.08083913848200895,0.04315848866395964,0.019181550527318868,0.066413,0.067834,0.979051,-13.213055,-12.954881,1.019929,0.0
3,lcl_Mtruncatula_Medtr1g095390.2,156.0,0.101167,1.0,0.0,0.04733501965108392,0.04733501965108392,1.8017368132210005e-10,0.07440860494436446,0.04733501965108392,0.07440860494436446,0.04733501965108392,0.062113394992278956,0.10829434119961269,0.04733501965108392,0.02873286842288175,1.8017368132210005e-10,1.8017368132210005e-10,0.062113394992278956,0.062113394992278956,0.07440860494436446,0.07440860494436446,0.08485734998150675,0.02873286842288175,0.02873286842288175,0.082016,0.083262,0.985043,-23.056818,-22.784316,1.01196,0.0
4,lcl_Gmax_Glyma.14G142000.1,315.0,1.0,1.0,7056.0,0.06011614937580718,8.909936193257651e-11,0.02775607522399348,0.03736174158194043,0.05329865061553882,0.06011614937580718,0.045773927917388324,0.08225174492699976,0.03736174158194043,0.1051899314985038,0.05329865061553882,0.06011614937580718,0.07207141078881421,0.045773927917388324,0.045773927917388324,0.09494766956110619,0.03736174158194043,0.03736174158194043,0.02775607522399348,0.016312593249063742,0.057243,0.058167,0.984114,-9.72744,-9.556956,1.017839,0.0
5,lcl_Gmax_Glyma.02G160000.1,297.0,0.077303,1.0,0.0,0.07186569097140817,0.03028011466646157,0.01783655595807114,0.04068812027075991,0.04977423485290104,0.07186569097140817,0.06519724883003719,0.03028011466646157,0.04068812027075991,0.09803651425217459,0.01783655595807114,0.0779764807624007,0.04977423485290104,0.03028011466646157,0.03028011466646157,0.12364965631362607,0.05787740025070812,0.0779764807624007,0.01783655595807114,9.84547265524774e-11,0.060222,0.062183,0.96846,-10.668551,-10.1397,1.052157,0.0
6,CNT2086832,33.0,0.1375,1.0,0.0,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,0.22772937233705487,0.14306765291819548,0.14306765291819548,1.43067652725421e-09,1.43067652725421e-09,0.14306765291819548,0.19999999596069182,1.43067652725421e-09,1.43067652725421e-09,1.43067652725421e-09,0.14306765291819548,0.19491,0.19564,0.996266,-140.449037,-139.932079,1.003694,0.0
7,CNT2086209,171.0,0.43073,1.0,0.0,1.5917003607614166e-10,0.04286195879339339,0.04286195879339339,0.06789209134741106,0.08619171252619534,0.04286195879339339,0.04286195879339339,0.05646972593646124,0.10012053023998604,0.05646972593646124,0.04286195879339339,0.05646972593646124,0.02588893596363398,0.05646972593646124,0.07768940687601728,0.05646972593646124,0.06789209134741106,0.02588893596363398,0.02588893596363398,0.02588893596363398,0.09639,0.099236,0.971326,-21.09955,-20.651043,1.021718,0.0
8,lcl_Mtruncatula_Medtr1g077720.1,279.0,1.0,1.0,60516.0,0.0712364414526098,0.057529749674558005,0.017864426028164078,0.04955013132069914,0.057529749674558005,0.057529749674558005,0.057529749674558005,0.08767503340789835,0.07719268988548382,0.08265380124846337,0.017864426028164078,0.030251958853491214,0.06471386557210844,0.057529749674558005,9.973673007973049e-11,0.06471386557210844,0.08265380124846337,0.030251958853491214,0.017864426028164078,0.017864426028164078,0.06721,0.068675,0.978661,-11.780249,-11.42693,1.03092,0.0
9,lcl_Mtruncatula_Medtr0016s0040.1,279.0,0.521495,1.0,0.0,0.0569476587187625,0.02994586693160158,0.049048778829797995,0.06405908511369895,0.01768367222895068,0.049048778829797995,9.872758526563957e-11,0.0705156650103831,0.08678792987825487,0.06405908511369895,0.0705156650103831,0.0569476587187625,0.04016175882766728,0.04016175882766728,0.06405908511369895,0.04016175882766728,0.06405908511369895,0.08678792987825487,9.872758526563957e-11,0.049048778829797995,0.063116,0.064707,0.975416,-11.42333,-11.052709,1.033532,0.0
10,lcl_Gmax_Glyma.01G037000.1,354.0,1.0,1.0,42849.0,0.034684408509732596,8.042696235939921e-11,0.04974702883635689,0.0562442118933224,0.07285021509154048,0.042614409151813665,0.015028470669801532,0.06221296571149949,0.08207310839027696,0.09380185281213052,0.015028470669801532,0.06772934480654251,0.07285021509154048,0.06772934480654251,0.015028470669801532,0.09014203010544145,0.0562442118933224,0.04974702883635689,8.042696235939921e-11,0.0562442118933224,0.055461,0.057401,0.966198,-8.540647,-8.20529,1.040871,0.0
11,lcl_Gmax_Glyma.17G261400.1,234.0,0.10729,1.0,0.0,1.2496630497875117e-10,0.05897605276144499,0.0485345644169774,0.05897605276144499,0.09030785746304074,0.02165507521625011,0.02165507521625011,0.06815790338059982,0.05897605276144499,0.11898099103049792,0.05897605276144499,1.2496630497875117e-10,0.036399088400716144,0.036399088400716144,0.05897605276144499,0.10176049669080407,0.0485345644169774,0.036399088400716144,1.2496630497875117e-10,0.07633594278433012,0.075408,0.077796,0.969305,-14.457505,-14.030485,1.030435,0.0
12,CNT2086194,66.0,0.169231,1.0,0.0,5.35993813802571e-10,5.35993813802571e-10,5.35993813802571e-10,0.10605299727727353,5.35993813802571e-10,5.35993813802571e-10,0.06865784797834665,0.13164823634749245,0.10605299727727353,0.10605299727727353,0.06865784797834665,0.14958059727307685,5.35993813802571e-10,5.35993813802571e-10,5.35993813802571e-10,0.13164823634749245,0.13164823634749245,5.35993813802571e-10,5.35993813802571e-10,5.35993813802571e-10,0.127034,0.12838,0.989521,-61.927808,-61.302669,1.010198,0.0
13,CNT2088349,234.0,0.358896,1.0,0.0,0.04408315287504996,0.019668951452353645,0.061906711442924804,0.05356698635458164,0.0693346911844452,0.03306069803564452,0.05356698635458164,0.0693346911844452,0.04408315287504996,0.04408315287504996,0.04408315287504996,0.08202515329402796,0.07600446329568307,0.019668951452353645,0.0693346911844452,0.061906711442924804,0.04408315287504996,0.04408315287504996,0.03306069803564452,0.03306069803564452,0.06641,0.068417,0.970672,-14.106633,-13.71898,1.028257,0.0
14,lcl_Mtruncatula_Medtr6g087860.1,348.0,1.0,1.0,16641.0,0.04773901264523763,0.04090916195153205,0.024675945746653785,0.059662544734683326,0.059662544734683326,0.05395572265397422,0.03330990847985052,0.059662544734683326,0.05395572265397422,0.06982155357400574,0.03330990847985052,0.024675945746653785,0.05395572265397422,0.04090916195153205,0.09609481153738463,0.07861583268443788,0.03330990847985052,0.05395572265397422,0.04090916195153205,0.04090916195153205,0.057869,0.058884,0.982774,-8.810484,-8.506214,1.03577,0.0
15,lcl_Mtruncatula_Medtr4g053180.2,216.0,0.092072,1.0,0.0,0.04824267671628062,0.058475167453492835,0.04824267671628062,0.04824267671628062,0.0753484627518409,1.2698726849696884e-10,0.021664422099637506,0.0753484627518409,0.058475167453492835,0.06742349352667125,0.058475167453492835,1.2698726849696884e-10,0.06742349352667125,0.021664422099637506,0.058475167453492835,0.0887678140056611,0.058475167453492835,0.04824267671628062,0.021664422099637506,0.0753484627518409,0.075631,0.078012,0.969477,-15.799293,-15.287969,1.033446,0.0
