,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,ath-miR5020a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ath-miR403-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mtr-miR5280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mtr-miR2086-3p,18.0,0.857143,-1.0,0.0,0.19134015231153328,2.4043564083727634e-09,2.4043564083727634e-09,0.23463935468852054,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,0.19134015231153328,0.19134015231153328,0.19134015231153328,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,0.276462,0.276884,0.998478,-308.84588,-308.578891,1.000865,0.0
4,gma-miR395a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,gma-miR169e,12.0,0.6,-1.0,0.0,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.377842,0.378023,0.999521,-577.538298,-577.485468,1.000091,0.0
6,ath-miR164c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ath-miR824-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mtr-miR5562-3p,18.0,0.947368,-1.0,324.0,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,0.19134015231153328,0.19134015231153328,2.4043564083727634e-09,2.4043564083727634e-09,0.19134015231153328,0.23463935468852054,2.4043564083727634e-09,2.4043564083727634e-09,2.4043564083727634e-09,0.19134015231153328,2.4043564083727634e-09,0.276204,0.275395,1.002938,-309.004341,-309.384507,0.998771,0.0
9,mtr-miR2604,12.0,0.571429,-1.0,0.0,3.987168837798e-09,0.2499999840513248,3.987168837798e-09,0.2499999840513248,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,0.2499999840513248,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,3.987168837798e-09,0.2499999840513248,3.987168837798e-09,0.377509,0.377645,0.99964,-578.083418,-578.047999,1.000061,0.0
10,gma-miR164b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,gma-miR5044,15.0,0.681818,-1.0,0.0,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,0.24162485324757363,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,0.24162485324757363,3.352807964748682e-09,0.27512538661235186,3.352807964748682e-09,0.24162485324757363,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,0.31608,0.316359,0.999117,-402.475548,-402.173734,1.00075,0.0
12,ath-miR834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ath-miR865-5p,21.0,1.0,-1.0,441.0,1.85280206599815e-09,1.85280206599815e-09,0.15904355558555291,0.15904355558555291,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,0.15904355558555291,1.85280206599815e-09,0.20478219613300686,0.15904355558555291,0.15904355558555291,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,1.85280206599815e-09,0.249566,0.250364,0.996816,-249.570394,-248.579779,1.003985,0.0
14,mtr-miR2586a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,mtr-miR2592bl-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gma-miR2118a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,gma-miR9729,18.0,0.75,1.0,0.0,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,0.19999999167434698,2.775217681553437e-09,2.775217681553437e-09,0.19999999167434698,0.19999999167434698,2.775217681553437e-09,2.775217681553437e-09,0.19999999167434698,0.19999999167434698,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,0.276824,0.277662,0.996984,-308.54547,-307.534529,1.003287,0.0
18,ath-miR8177,15.0,0.681818,-1.0,0.0,3.352807964748682e-09,0.24162485324757363,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,0.24162485324757363,3.352807964748682e-09,3.352807964748682e-09,0.24162485324757363,0.27512538661235186,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,3.352807964748682e-09,0.315795,0.31623,0.998624,-402.816279,-402.418014,1.00099,0.0
19,ath-miR8170-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,mtr-miR5281a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
