lncrna,mirna,Label,pair_id,mirna_id_original,mirna_id,lncrna_id_original,lncrna_id
ENST00000525436.1,hbv-miR-B21RC-5p,0.0,9652,152,152,-1019,-1019
ENST00000610948.1,hsv1-miR-H1-3p,0.0,9653,22,22,-1127,-1127
ENST00000378947.7,kshv-miR-K12-2-5p,0.0,9654,120,120,-139,-139
ENST00000455967.1,hbv-miR-B20-5p,0.0,9655,143,143,-260,-260
ENST00000569959.5,hsv2-miR-H6-5p,0.0,9656,46,46,-850,-850
ENST00000553657.5,ebv-miR-BHRF1-2-5p,0.0,9657,73,73,-513,-513
ENST00000668152.1,hcmv-miR-UL69,0.0,9658,71,71,-1526,-1526
ENST00000375638.7,kshv-miR-K12-4-5p,0.0,9659,128,128,-183,-183
ENST00000658389.1,hbv-miR-B21RC-5p,0.0,9660,152,152,-1623,-1623
ENST00000428794.1,hsv2-miR-H13,0.0,9661,36,36,-262,-262
ENST00000657408.1,ebv-miR-BART19-3p,0.0,9662,101,101,-1604,-1604
ENST00000568310.1,ebv-miR-BART6-5p,0.0,9663,83,83,-165,-165
ENST00000610175.1,hcmv-miR-US25-1-5p,0.0,9664,54,54,-313,-313
ENST00000475913.5,hbv-miR-B2-3p,0.0,9665,145,145,-926,-926
ENST00000655714.1,hsv2-miR-H7-5p,0.0,9666,31,31,-204,-204
ENST00000654845.1,hsv1-miR-H14-5p,0.0,9667,16,16,-1500,-1500
ENST00000661714.1,kshv-miR-K12-1-5p,0.0,9668,119,119,-1795,-1795
ENST00000452120.7,kshv-miR-K12-10a-5p,0.0,9669,133,133,-1037,-1037
ENST00000436945.4,hcmv-miR-UL112-3p,0.0,9670,50,50,-1781,-1781
ENST00000663092.1,hsv1-miR-H12,0.0,9671,14,14,-723,-723
ENST00000467245.5,hcmv-miR-US5-1,0.0,9672,52,52,-909,-909
ENST00000434781.5,ebv-miR-BART3-3p,0.0,9673,80,80,-616,-616
ENST00000623163.4,hsv1-miR-H26,0.0,9674,26,26,-740,-740
ENST00000468186.5,ebv-miR-BART18-5p,0.0,9675,100,100,-1786,-1786
ENST00000472367.5,ebv-miR-BART20-5p,0.0,9676,102,102,-839,-839
ENST00000646550.1,hbv-miR-B2RC,0.0,9677,141,141,-1858,-1858
