A,Label
>hsv1-miR-H1-5p,1.0
>hsv1-miR-H2-5p,1.0
>hsv1-miR-H2-3p,1.0
>hsv1-miR-H3-3p,1.0
>hsv1-miR-H4-5p,1.0
>hsv1-miR-H4-3p,1.0
>hsv1-miR-H5-3p,1.0
>hsv1-miR-H6-3p,1.0
>hsv1-miR-H7-5p,1.0
>hsv1-miR-H7-3p,1.0
>hsv1-miR-H8-5p,1.0
>hsv1-miR-H8-3p,1.0
>hsv1-miR-H11,1.0
>hsv1-miR-H12,1.0
>hsv1-miR-H13,1.0
>hsv1-miR-H14-5p,1.0
>hsv1-miR-H14-3p,1.0
>hsv1-miR-H15,1.0
>hsv1-miR-H16,1.0
>hsv1-miR-H17,1.0
>hsv1-miR-H18,1.0
>hsv1-miR-H1-3p,1.0
>hsv1-miR-H3-5p,1.0
>hsv1-miR-H5-5p,1.0
>hsv1-miR-H6-5p,1.0
>hsv1-miR-H26,1.0
>hsv2-miR-H3,1.0
>hsv2-miR-H4-5p,1.0
>hsv2-miR-H4-3p,1.0
>hsv2-miR-H2,1.0
>hsv2-miR-H7-5p,1.0
>hsv2-miR-H9-3p,1.0
>hsv2-miR-H10,1.0
>hsv2-miR-H11-3p,1.0
>hsv2-miR-H12,1.0
>hsv2-miR-H13,1.0
>hsv2-miR-H20,1.0
>hsv2-miR-H22,1.0
>hsv2-miR-H23-5p,1.0
>hsv2-miR-H23-3p,1.0
>hsv2-miR-H24,1.0
>hsv2-miR-H25,1.0
>hsv2-miR-H7-3p,1.0
>hsv2-miR-H9-5p,1.0
>hsv2-miR-H5,1.0
>hsv2-miR-H6-5p,1.0
>hsv2-miR-H6-3p,1.0
>hcmv-miR-UL22A-5p,1.0
>hcmv-miR-UL22A-3p,1.0
>hcmv-miR-UL112-3p,1.0
>hcmv-miR-UL148D,1.0
>hcmv-miR-US5-1,1.0
>hcmv-miR-US5-2-3p,1.0
>hcmv-miR-US25-1-5p,1.0
>hcmv-miR-US25-2-5p,1.0
>hcmv-miR-US25-2-3p,1.0
>hcmv-miR-US33-5p,1.0
