ViRBase ID	Virus Name	Virus Strain Name	Taxonomy ID	Virus Family	Host Species	Interactor1 Source	Interactor1 Category	Interactor1 Symbol	Interactor1 ID	Interactor2 Source	Interactor2 Category	Interactor2 Symbol	Interactor2 ID	PMID	Score
HHID00000006	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	RSAD2	396752	31682919	0.4752
HHID00000007	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	MX1	397128	31682919	0.4752
HHID00000008	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	ISG15	100145895	31682919	0.4752
HHID00000009	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	IFIT1	100153038	31682919	0.4752
HHID00000010	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	IFIT3	100154248	31682919	0.4752
HHID00000011	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	ALDBSSCG0000007263	ALDBSSCG0000007263	host	mRNA	ITIT5	ITIT5	31682919	0.4752
HHID00000012	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	RSAD2	396752	31682919	0.4752
HHID00000013	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	MX1	397128	31682919	0.4752
HHID00000014	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	ISG15	100145895	31682919	0.4752
HHID00000015	Porcine reproductive and respiratory syndrome virus (PRRSV)	Porcine reproductive and respiratory syndrome virus (PRRSV)	28344	Arteriviridae	Sus scrofa	host	lncRNA	XLOC_008317	XLOC_008317	host	mRNA	GBP1	100151938	31682919	0.4752
