A,Label
>hsv1-mir-H1,1.0
>hsv1-mir-H2,1.0
>hsv1-mir-H2,1.0
>hsv1-mir-H3,1.0
>hsv1-mir-H4,1.0
>hsv1-mir-H4,1.0
>hsv1-mir-H5,1.0
>hsv1-mir-H6,1.0
>hsv1-mir-H7,1.0
>hsv1-mir-H7,1.0
>hsv1-mir-H8,1.0
>hsv1-mir-H8,1.0
>hsv1-mir-H11,1.0
>hsv1-mir-H12,1.0
>hsv1-mir-H13,1.0
>hsv1-mir-H14,1.0
>hsv1-mir-H14,1.0
>hsv1-mir-H15,1.0
>hsv1-mir-H16,1.0
>hsv1-mir-H17,1.0
>hsv1-mir-H18,1.0
>hsv1-mir-H1,1.0
>hsv1-mir-H3,1.0
>hsv1-mir-H5,1.0
>hsv1-mir-H6,1.0
>hsv1-mir-H26,1.0
>hsv2-mir-H3,1.0
>hsv2-mir-H4,1.0
>hsv2-mir-H4,1.0
>hsv2-mir-H2,1.0
>hsv2-mir-H7,1.0
>hsv2-mir-H9,1.0
>hsv2-miR-H10,1.0
>hsv2-mir-H11,1.0
>hsv2-mir-H12,1.0
>hsv2-mir-H13,1.0
>hsv2-mir-H20,1.0
>hsv2-mir-H22,1.0
>hsv2-mir-H23,1.0
>hsv2-mir-H23,1.0
>hsv2-mir-H24,1.0
>hsv2-mir-H25,1.0
>hsv2-mir-H7,1.0
>hsv2-mir-H9,1.0
>hsv2-mir-H5,1.0
>hsv2-mir-H6,1.0
>hsv2-mir-H6,1.0
>hcmv-mir-UL22A,1.0
>hcmv-mir-UL22A,1.0
>hcmv-mir-UL112,1.0
>hcmv-mir-UL148D,1.0
>hcmv-mir-US5-1,1.0
>hcmv-mir-US5-2,1.0
>hcmv-mir-US25-1,1.0
>hcmv-mir-US25-2,1.0
>hcmv-mir-US25-2,1.0
>hcmv-mir-US33,1.0
>hcmv-mir-US4,1.0
>hcmv-mir-UL70,1.0
>hcmv-mir-UL70,1.0
>hcmv-mir-UL36,1.0
>hcmv-mir-US33,1.0
>hcmv-mir-UL112,1.0
>hcmv-mir-US5-2,1.0
>hcmv-mir-US4,1.0
>hcmv-mir-US22,1.0
>hcmv-mir-US22,1.0
>hcmv-mir-US29,1.0
>hcmv-mir-US29,1.0
>hcmv-mir-UL59,1.0
>hcmv-mir-UL69,1.0
>ebv-mir-BHRF1-1,1.0
>ebv-mir-BHRF1-2,1.0
>ebv-mir-BHRF1-2,1.0
>ebv-mir-BHRF1-3,1.0
>ebv-mir-BART1,1.0
>ebv-mir-BART2,1.0
>ebv-mir-BART1,1.0
>ebv-mir-BART3,1.0
>ebv-mir-BART3,1.0
>ebv-mir-BART4,1.0
>ebv-mir-BART5,1.0
>ebv-mir-BART6,1.0
>ebv-mir-BART6,1.0
>ebv-mir-BART7,1.0
>ebv-mir-BART8,1.0
>ebv-mir-BART8,1.0
>ebv-mir-BART9,1.0
>ebv-mir-BART10,1.0
>ebv-mir-BART11,1.0
>ebv-mir-BART11,1.0
>ebv-mir-BART12,1.0
>ebv-mir-BART13,1.0
>ebv-mir-BART14,1.0
>ebv-mir-BART14,1.0
>ebv-mir-BART15,1.0
>ebv-mir-BART16,1.0
>ebv-mir-BART17,1.0
>ebv-mir-BART17,1.0
>ebv-mir-BART18,1.0
>ebv-mir-BART19,1.0
>ebv-mir-BART20,1.0
>ebv-mir-BART20,1.0
>ebv-mir-BART2,1.0
>ebv-mir-BART7,1.0
>ebv-mir-BART9,1.0
>ebv-mir-BART10,1.0
>ebv-mir-BART13,1.0
>ebv-mir-BART18,1.0
>ebv-mir-BART19,1.0
>ebv-mir-BART4,1.0
>ebv-mir-BART5,1.0
>ebv-mir-BART21,1.0
>ebv-mir-BART21,1.0
>ebv-mir-BART22,1.0
>kshv-mir-K12-10a,1.0
>kshv-mir-K12-10b,1.0
>kshv-mir-K12-11,1.0
>kshv-mir-K12-1,1.0
>kshv-miR-K12-2,1.0
>kshv-mir-K12-9,1.0
>kshv-mir-K12-9,1.0
>kshv-mir-K12-8,1.0
>kshv-mir-K12-7,1.0
>kshv-mir-K12-6,1.0
>kshv-mir-K12-6,1.0
>kshv-mir-K12-5,1.0
>kshv-mir-K12-4,1.0
>kshv-mir-K12-4,1.0
>kshv-mir-K12-3,1.0
>kshv-mir-K12-3,1.0
>kshv-mir-K12-12,1.0
>kshv-mir-K12-10a,1.0
>kshv-mir-K12-11,1.0
>kshv-mir-K12-1,1.0
>kshv-miR-K12-2,1.0
>kshv-mir-K12-8,1.0
>kshv-mir-K12-7,1.0
>kshv-mir-K12-5,1.0
>kshv-mir-K12-12,1.0
>hbv-mir-B2RC,1.0
>hbv-mir-B4,1.0
>hbv-mir-B20,1.0
>hbv-mir-B20,1.0
>hbv-mir-B2,1.0
>hbv-mir-B3RC,1.0
>hbv-mir-B3RC,1.0
>hbv-mir-B7,1.0
>hbv-mir-B8,1.0
>hbv-mir-B8,1.0
>hbv-mir-B19,1.0
>hbv-mir-B21RC,1.0
>hbv-mir-B26,1.0
>hbv-mir-B14RC,1.0
>hbv-mir-B22,1.0
>bkv-mir-B1,1.0
>bkv-mir-B1,1.0
>jcv-mir-J1,1.0
>jcv-mir-J1,1.0
>mcpv-mir-P1,1.0
>mcpv-mir-P1,1.0
>hiv1-mir-N367,1.0
>hiv1-mir-H1,1.0
>hiv1-mir-TAR,1.0
>hiv1-mir-TAR,1.0
