,Seqname,0,1,2,3,4
0,ENST00000608007.1,72.414563,9.851301,-0.097087,11792.612,3.078479
1,ENST00000400991.6,43.892308,10.182475,-0.252308,7203.3356,2.850294
2,ENST00000368242.7,43.892308,10.182475,-0.252308,7203.3356,2.850294
3,ENST00000673141.1,43.892308,10.182475,-0.252308,7203.3356,2.850294
4,ENST00000471156.5,43.892308,10.182475,-0.252308,7203.3356,2.850294
5,ENST00000368243.6,60.308974,6.392306,-0.167949,17230.3475,3.430798
6,ENST00000497824.5,43.892308,10.182475,-0.252308,7203.3356,2.850294
7,ENST00000488498.2,54.196386,7.727625,-0.379518,8924.8943,3.062933
8,ENST00000465270.5,43.892308,10.182475,-0.252308,7203.3356,2.850294
9,ENST00000462458.5,43.892308,10.182475,-0.252308,7203.3356,2.850294
10,ENST00000486517.5,62.117978,7.755476,-0.11236,9149.1295,3.072139
11,ENST00000465570.1,43.892308,10.182475,-0.252308,7203.3356,2.850294
12,ENST00000310027.9,43.892308,10.182475,-0.252308,7203.3356,2.850294
13,ENST00000497822.5,48.76,9.184505,-0.045455,5712.4277,2.794463
14,ENST00000492750.5,39.642,10.548591,-0.688,5630.4662,2.728163
15,ENST00000482932.5,73.366071,10.047994,-0.803571,6315.067,2.798989
16,ENST00000489918.1,72.521569,8.884984,-0.656863,6067.8087,2.835011
17,ENST00000489877.5,49.682353,9.691355,0.85098,5345.5736,2.742396
18,ENST00000476966.5,57.688136,9.095151,-0.365537,19313.899,3.327264
19,ENST00000463309.5,49.682353,9.691355,0.85098,5345.5736,2.742396
20,ENST00000464203.1,64.880328,4.524463,-0.011475,6891.6605,3.183042
21,ENST00000469813.1,29.508434,6.758008,1.190361,9299.3546,3.13895
22,ENST00000495000.1,39.658824,5.42809,-0.567227,14167.9666,3.416827
23,ENST00000663987.1,54.396667,4.050028,0.673333,3384.0182,2.922494
24,ENST00000441085.6,46.834783,10.879249,-0.419565,9502.6858,2.941744
25,ENST00000656222.1,46.834783,10.879249,-0.419565,9502.6858,2.941744
26,ENST00000452465.2,46.834783,10.879249,-0.419565,9502.6858,2.941744
27,ENST00000667036.1,49.030435,8.84366,0.330435,5156.9998,2.766509
28,ENST00000521113.1,85.32973,4.750569,-0.964865,4434.9375,2.970607
29,ENST00000661636.1,54.406918,10.905037,-0.561635,18379.3896,3.226962
30,ENST00000521889.5,59.295294,10.651031,-0.575294,9817.3736,2.965075
31,ENST00000390159.3,54.406918,10.905037,-0.561635,18379.3896,3.226962
32,ENST00000518860.1,85.32973,4.750569,-0.964865,4434.9375,2.970607
33,ENST00000649108.1,50.28375,8.67875,-0.322115,11440.0886,3.120302
34,ENST00000649986.1,83.462857,10.091833,-0.614286,11727.3754,3.065604
35,ENST00000561002.2,59.736232,8.572635,0.001449,7916.1014,2.965867
36,ENST00000671619.1,59.736232,8.572635,0.001449,7916.1014,2.965867
37,ENST00000666762.1,57.130709,7.590131,-0.335433,13895.673,3.262867
