,Seqname,0,1,2,3,4,5,6
0,ath-miR5020a,0.47619,0.428571,0.428571,0.571429,0.037321,0.023689,0.049054
1,ath-miR403-5p,0.272727,0.409091,0.272727,0.136364,0.050384,0.071314,0.081587
2,mtr-miR5280,0.5,0.625,0.5,0.375,0.034985,0.064635,0.058635
3,mtr-miR2086-3p,0.428571,0.714286,0.142857,0.428571,0.240539,0.183078,0.149055
4,gma-miR395a,0.52381,0.571429,0.285714,0.714286,0.180401,0.163622,0.123329
5,gma-miR169e,0.6,0.75,0.75,0.3,0.191617,0.231667,0.194555
6,ath-miR164c-5p,0.666667,0.428571,1.0,0.571429,0.301231,0.226482,0.201726
7,ath-miR824-5p,0.428571,0.285714,0.428571,0.571429,0.089792,0.061442,0.056697
8,mtr-miR5562-3p,0.526316,0.473684,0.473684,0.631579,0.048498,0.029593,0.014308
9,mtr-miR2604,0.285714,0.285714,0.428571,0.142857,0.064327,0.058904,0.082153
10,gma-miR164b,0.65,0.45,1.05,0.45,0.399107,0.317666,0.290035
11,gma-miR5044,0.545455,0.545455,0.409091,0.681818,0.079408,0.082332,0.059166
12,ath-miR834,0.52381,0.285714,0.428571,0.857143,0.356076,0.288133,0.30186
13,ath-miR865-5p,0.285714,0.428571,0.0,0.428571,0.205043,0.213719,0.193316
14,mtr-miR2586a,0.571429,0.857143,0.428571,0.428571,0.156683,0.122976,0.152287
15,mtr-miR2592bl-5p,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.072555
16,gma-miR2118a-3p,0.52381,0.571429,0.571429,0.428571,0.013163,0.025667,0.035799
17,gma-miR9729,0.291667,0.125,0.25,0.5,0.138116,0.204277,0.188017
18,ath-miR8177,0.318182,0.272727,0.409091,0.272727,0.020781,0.050384,0.071314
19,ath-miR8170-3p,0.238095,0.428571,0.142857,0.142857,0.075465,0.107135,0.089944
20,mtr-miR5281a,0.458333,0.5,0.375,0.5,0.018822,0.017692,0.010198
21,mtr-miR2629h,0.5,0.75,0.5,0.25,0.17095,0.133719,0.123072
22,gma-miR5368,0.526316,0.789474,0.315789,0.473684,0.157071,0.114247,0.182935
23,ath-miR823,0.380952,0.428571,0.142857,0.571429,0.175366,0.167191,0.271888
