,Seqname,0,1,2,3,4
0,hsa-miR-136-5p,-9.4,5.275022,1.9,280.4073,1.733659
1,hsa-miR-148a-3p,0,0,0,0,0
2,hsa-miR-148b-3p,0,0,0,0,0
3,hsa-miR-152-3p,48.45,4.050028,0.375,492.5868,2.088581
4,hsa-miR-15a-5p,6.666667,5.272749,2.866667,351.4852,1.830337
5,hsa-miR-15b-5p,-18.466667,5.274795,1.6,411.5155,1.897712
6,hsa-miR-16-5p,0,0,0,0,0
7,hsa-miR-195-5p,0,0,0,0,0
8,hsa-miR-214-3p,0,0,0,0,0
9,hsa-miR-326,0,0,0,0,0
10,hsa-miR-330-5p,0,0,0,0,0
11,hsa-miR-34a-5p,0,0,0,0,0
12,hsa-miR-34c-5p,0,0,0,0,0
13,hsa-miR-3619-5p,0,0,0,0,0
14,hsa-miR-370-3p,0,0,0,0,0
15,hsa-miR-424-5p,5,5.275022,2.35,296.3851,1.757294
16,hsa-miR-449a,0,0,0,0,0
17,hsa-miR-449b-5p,0,0,0,0,0
18,hsa-miR-497-5p,0,0,0,0,0
19,hsa-miR-761,0,0,0,0,0
20,hsa-miR-138-5p,0,0,0,0,0
21,hsa-miR-149-5p,0,0,0,0,0
22,hsa-miR-296-3p,0,0,0,0,0
23,hsa-miR-320b,0,0,0,0,0
24,hsa-miR-320c,0,0,0,0,0
25,hsa-miR-320d,0,0,0,0,0
26,hsa-miR-377-3p,0,0,0,0,0
27,hsa-miR-4429,0,0,0,0,0
28,hsa-miR-485-5p,5,5.275022,-0.8,263.3139,1.706864
29,hsa-miR-873-5p,0,0,0,0,0
30,hsa-miR-184,0,0,0,0,0
31,hsa-miR-31-5p,6.666667,5.275022,2.5,333.4468,1.807619
32,hsa-miR-491-5p,-32.7,9.500077,-1.3,305.397,1.520441
33,hsa-miR-494-3p,0,0,0,0,0
34,hsa-miR-141-3p,0,5.275022,1.9,149.2113,1.466666
35,hsa-miR-200a-3p,0,5.275022,1.9,149.2113,1.466666
36,hsa-miR-495-3p,-18.425,6.491377,1.425,532.6554,1.91937
37,hsa-miR-199a-5p,0,0,0,0,0
38,hsa-miR-199b-5p,0,0,0,0,0
39,hsa-miR-125a-5p,0,0,0,0,0
40,hsa-miR-125b-5p,0,0,0,0,0
41,hsa-miR-4319,0,0,0,0,0
42,hsa-miR-1271-5p,0,0,0,0,0
43,hsa-miR-134-5p,0,0,0,0,0
44,hsa-miR-3118,-21.633333,8.500108,0.833333,390.5412,1.671593
45,hsa-miR-96-5p,0,0,0,0,0
46,hsa-miR-106a-5p,0,0,0,0,0
47,hsa-miR-106b-5p,0,0,0,0,0
48,hsa-miR-17-5p,0,0,0,0,0
49,hsa-miR-20a-5p,0,0,0,0,0
50,hsa-miR-20b-5p,0,0,0,0,0
51,hsa-miR-27a-3p,0,0,0,0,0
52,hsa-miR-27b-3p,0,0,0,0,0
53,hsa-miR-384,0,0,0,0,0
54,hsa-miR-433-3p,35.633333,5.275022,1,610.7442,2.06737
55,hsa-miR-519d-3p,0,0,0,0,0
