,mirna,lncrna,Label,mirna_id,lncrna_id,pair_id
0,ebv-miR-BART21-5p,ENST00000657905.1,1.0,113,-109,4066
1,kshv-miR-K12-9-3p,ENST00000657841.1,0.0,122,-910,10556
2,kshv-miR-K12-1-5p,ENST00000674356.1,1.0,119,-119,4689
3,kshv-miR-K12-2-3p,ENST00000589406.1,1.0,136,-116,4620
4,hsv1-miR-H2-3p,ENST00000519709.6,0.0,3,-1044,11513
5,ebv-miR-BART11-5p,ENST00000658783.1,1.0,90,-105,3682
6,hsv1-miR-H14-3p,ENST00000648587.1,1.0,17,-83,2285
7,ebv-miR-BART19-3p,ENST00000667197.1,1.0,101,-195,6128
8,ebv-miR-BART21-5p,ENST00000538604.1,1.0,113,-98,3065
9,hbv-miR-B8-5p,ENST00000409178.5,1.0,149,-51,1233
10,hsv1-miR-H4-5p,ENST00000666432.1,1.0,5,-162,5320
11,ebv-miR-BART16,ENST00000662108.1,0.0,97,-442,18175
12,ebv-miR-BART3-3p,ENST00000496285.6,0.0,80,-1263,12509
13,hcmv-miR-US25-1-5p,ENST00000505047.2,1.0,54,-1071,8836
14,ebv-miR-BART1-5p,ENST00000598350.3,1.0,76,-386,7526
15,hbv-miR-B2RC,ENST00000490765.4,1.0,141,-232,6830
16,kshv-miR-K12-9-5p,ENST00000497824.5,1.0,121,-7,89
17,mcpv-miR-P1-5p,ENST00000655544.1,0.0,160,-1410,13313
18,kshv-miR-K12-11-3p,ENST00000649288.1,1.0,118,-82,2259
19,hsv2-miR-H9-5p,ENST00000598454.5,1.0,44,-359,7417
20,hbv-miR-B7-5p,ENST00000481368.6,0.0,148,-124,9848
21,hsv2-miR-H7-3p,ENST00000647970.1,0.0,43,-402,15882
22,hsv1-miR-H4-5p,ENST00000481400.5,1.0,5,-150,5148
23,hcmv-miR-UL70-3p,ENST00000598129.5,1.0,60,-496,7893
24,hbv-miR-B20-3p,ENST00000665322.1,1.0,144,-199,6316
25,hcmv-miR-US25-1-5p,ENST00000454781.6,1.0,54,-1292,9057
26,hsv2-miR-H9-3p,ENST00000378953.8,1.0,32,-135,4845
27,hsv2-miR-H22,ENST00000624458.1,1.0,38,-173,5596
28,ebv-miR-BART3-3p,ENST00000674683.1,1.0,80,-73,1898
29,hsv2-miR-H7-5p,ENST00000442957.1,0.0,31,-1020,13725
30,kshv-miR-K12-5-5p,ENST00000660127.1,0.0,139,-1800,19019
31,hsv1-miR-H18,ENST00000673729.1,0.0,21,-731,16229
32,ebv-miR-BART5-5p,ENST00000657292.1,0.0,82,-1848,14853
33,kshv-miR-K12-4-5p,ENST00000367207.7,0.0,128,-1368,13680
34,hcmv-miR-US4-3p,ENST00000453754.5,0.0,65,-768,13101
35,hcmv-miR-US25-1-5p,ENST00000356020.2,1.0,54,-81,2190
36,ebv-miR-BART19-5p,ENST00000666495.2,0.0,110,-969,11950
