,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,hsa-miR-136-5p,-1,23,15,0,0.652174,0,0,0,0,0,0.159044,0,0,0,0,0.159044,0.204782,0,0.159044,0,0,0,0.159044,0.159044,0,0,0.173913,0.434783,0.217391,0.130435,0.136364,0.136364,0.090909,0.227273,0.090909,0,0.043478,0.043478,0.26087,0.695652,0.826087,0.130435,0.304348,0.478261,0.608696,0.869565,0.434783,0.434783,0.652174,0.913043,0.956522,0.086957,0.086957,0.173913,0.173913,0.217391,-17.438452,-15.594996,-13.349388,-13.832619,-16.252171,-19.475832,-23.42202,-14.675888,-10.312575,71.973251,27.860062,-11.708783,-16.642206,-3.42188,25.956959,-10.816695,-14.345898,-14.752025,76.465714,-10.679625,30.213326,-11.187439,-20.296143,-12.646166,-16.515556,-25.247063,25.32913,-10.288267,-21.341358,-2.924908,-15.303534,-7.625275,-12.198897,-19.365517,-11.789042,-8.923234,66.082779,18.780092,15.633978,-19.540211,-8.766922,62.176613,113.225479,-15.847491,-16.215662,-4.042344,-14.25595,27.340916,-12.19376,-24.525103,27.691216,-13.744925,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,-16.700542,32.715309,32.452061,-6.283369,-15.862718,-10.585069,0.234796,0.235635,0.996437,-221.572757,-220.911271,1.002994
1,hsa-miR-148a-3p,-1,22,0,0,0,0,0,0,0,0,0,0,0.142857,0,0,0.142857,0,0,0,0,0.142857,0.142857,0.142857,0.142857,0,0.142857,0.272727,0.272727,0.181818,0.227273,0.047619,0.142857,0.285714,0.190476,0.142857,0.047619,0.136364,0.363636,0.5,0.590909,0.727273,0.045455,0.227273,0.454545,0.818182,0.909091,0.181818,0.181818,0.272727,0.636364,0.954545,0.090909,0.090909,0.318182,0.545455,0.772727,-17.438452,-15.594996,-13.349388,31.621925,29.202374,-19.475832,22.032524,-14.675888,-10.312575,-14.983267,-15.618199,-11.708783,28.812338,-3.42188,73.387787,-10.816695,31.108646,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,-20.296143,-12.646166,-16.515556,20.207481,-18.14913,-10.288267,24.113186,-2.924908,-15.303534,-7.625275,-12.198897,-19.365517,-11.789042,36.531311,-20.873743,-24.698168,17.610262,25.914333,-8.766922,20.674639,28.245237,-15.847491,29.238882,-4.042344,-14.25595,-16.137344,-12.19376,66.383987,-15.787045,31.709618,-3.739232,-4.080996,-5.266835,-2.037137,36.400673,-23.826576,28.754002,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.241943,0.242253,0.998721,-234.663043,-234.550618,1.000479
2,hsa-miR-148b-3p,-1,22,0,0,0,0,0,0,0,0,0,0,0.204782,0,0,0.159044,0,0,0,0,0.159044,0.159044,0.159044,0.159044,0,0,0.272727,0.272727,0.181818,0.227273,0.047619,0.142857,0.285714,0.190476,0.142857,0.047619,0.136364,0.363636,0.5,0.590909,0.727273,0.045455,0.227273,0.409091,0.818182,0.909091,0.181818,0.181818,0.272727,0.636364,0.954545,0.090909,0.090909,0.318182,0.545455,0.772727,-17.438452,-15.594996,-13.349388,31.621925,29.202374,-19.475832,22.032524,-14.675888,-10.312575,-14.983267,-15.618199,33.745762,28.812338,-3.42188,27.933243,-10.816695,31.108646,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,-20.296143,-12.646166,-16.515556,20.207481,-18.14913,-10.288267,24.113186,-2.924908,-15.303534,-7.625275,-12.198897,-19.365517,-11.789042,-8.923234,-20.873743,-24.698168,17.610262,25.914333,-8.766922,20.674639,28.245237,-15.847491,74.693428,-4.042344,-14.25595,-16.137344,-12.19376,66.383987,29.6675,31.709618,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,28.754002,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.241757,0.242129,0.998463,-234.815988,-234.669019,1.000626
3,hsa-miR-152-3p,-1,21,7,0,0.333333,0,0,0,0.142857,0,0,0,0.142857,0,0,0,0,0,0,0,0.142857,0.142857,0.142857,0.142857,0.142857,0,0.285714,0.238095,0.238095,0.190476,0.05,0.2,0.25,0.2,0.1,0.05,0.142857,0.380952,0.52381,0.619048,0.761905,0.047619,0.047619,0.238095,0.857143,0.904762,0.190476,0.190476,0.285714,0.666667,0.952381,0.095238,0.095238,0.333333,0.571429,0.809524,-17.438452,-15.594996,-13.349388,33.78643,31.366879,-19.475832,24.197029,-14.675888,-10.312575,32.63578,-15.618199,-11.708783,30.976843,-3.42188,30.097748,-10.816695,33.273151,-14.752025,-10.490809,36.939423,-13.264934,-11.187439,-20.296143,-12.646166,-16.515556,22.371986,-18.14913,-10.288267,26.277691,-2.924908,-15.303534,-7.625275,-12.198897,-19.365517,-11.789042,-8.923234,26.745306,22.920881,-27.844282,28.078838,-8.766922,22.839144,-17.209307,-15.847491,31.403387,-4.042344,-14.25595,-16.137344,-12.19376,70.712997,31.832005,-13.744925,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,30.918507,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.249385,0.249685,0.998799,-249.723462,-249.611168,1.00045
4,hsa-miR-15a-5p,-1,22,12,0,0.545455,0,0,0.166667,0,0,0,0,0.166667,0.166667,0,0,0.166667,0,0,0.166667,0,0,0,0.166667,0,0,0.272727,0.318182,0.227273,0.136364,0.190476,0.095238,0.190476,0.238095,0,0.095238,0.090909,0.227273,0.363636,0.454545,0.590909,0.045455,0.5,0.772727,0.818182,0.954545,0.136364,0.136364,0.272727,0.727273,0.909091,0.181818,0.181818,0.318182,0.318182,0.409091,-17.438452,-15.594996,32.105156,-13.832619,-16.252171,-19.475832,-23.42202,76.2332,35.141968,30.471277,-15.618199,-11.708783,28.812338,-3.42188,-17.521301,-10.816695,-14.345898,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,25.158401,-12.646166,-16.515556,20.207481,27.305414,-10.288267,69.567734,-2.924908,-15.303534,-7.625275,33.255646,26.089027,-11.789042,-8.923234,-20.873743,20.756376,17.610262,-19.540211,-8.766922,20.674639,28.245237,-15.847491,-16.215662,-4.042344,-14.25595,-16.137344,-12.19376,20.929441,29.6675,31.709618,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,-16.700542,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.241967,0.242187,0.999092,-234.655346,-234.171318,1.002067
5,hsa-miR-15b-5p,-1,22,12,0,0.545455,0,0,0,0,0,0,0,0.166667,0.166667,0,0,0.166667,0,0,0.166667,0,0,0,0.166667,0,0.166667,0.272727,0.272727,0.181818,0.227273,0.190476,0.095238,0.333333,0.095238,0.047619,0.095238,0.090909,0.227273,0.363636,0.454545,0.909091,0.045455,0.5,0.636364,0.772727,0.863636,0.136364,0.136364,0.272727,0.681818,0.727273,0.181818,0.181818,0.318182,0.545455,0.954545,-17.438452,-15.594996,-13.349388,-13.832619,-16.252171,-19.475832,-23.42202,76.2332,-10.312575,30.471277,-15.618199,33.745762,74.266884,-3.42188,-17.521301,-10.816695,-14.345898,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,25.158401,-12.646166,-16.515556,-25.247063,27.305414,-10.288267,69.567734,-2.924908,-15.303534,-7.625275,-12.198897,26.089027,-11.789042,36.531311,-20.873743,20.756376,-27.844282,-19.540211,36.687622,-24.779905,28.245237,-15.847491,29.238882,-4.042344,-14.25595,-16.137344,-12.19376,20.929441,75.12204,31.709618,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,-16.700542,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.241945,0.241877,1.000279,-234.661964,-234.562135,1.000426
6,hsa-miR-16-5p,-1,22,0,0,0,0,0,0,0,0,0,0.166667,0.166667,0.166667,0,0,0,0.166667,0,0.166667,0,0,0,0.166667,0,0,0.318182,0.227273,0.227273,0.181818,0.238095,0.095238,0.142857,0.095238,0,0.238095,0.090909,0.227273,0.545455,0.590909,0.727273,0.045455,0.045455,0.5,0.772727,0.818182,0.136364,0.136364,0.272727,0.863636,0.909091,0.181818,0.181818,0.318182,0.409091,0.954545,28.016092,-15.594996,32.105156,-13.832619,-16.252171,-19.475832,-23.42202,76.2332,35.141968,-14.983267,29.836346,-11.708783,-16.642206,42.032665,-17.521301,-10.816695,-14.345898,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,-20.296143,32.80838,28.938988,-25.247063,-18.14913,-10.288267,69.567734,42.529636,-15.303534,-7.625275,33.255646,26.089027,33.665501,-8.923234,-20.873743,20.756376,-27.844282,-19.540211,-8.766922,20.674639,-17.209307,-15.847491,-16.215662,-4.042344,-14.25595,-16.137344,-12.19376,20.929441,-15.787045,31.709618,-3.739232,-4.080996,40.18771,-2.037137,-9.053869,-23.826576,-16.700542,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.242153,0.24239,0.999024,-234.141884,-233.721549,1.001798
7,hsa-miR-195-5p,-1,21,0,0,0,0,0,0,0,0,0,0.166667,0.166667,0.166667,0,0,0,0.166667,0,0.166667,0.166667,0,0,0,0,0,0.380952,0.190476,0.238095,0.142857,0.2,0.2,0.2,0.05,0,0.15,0.095238,0.238095,0.47619,0.619048,0.761905,0.047619,0.047619,0.714286,0.809524,0.857143,0.142857,0.142857,0.285714,0.904762,0.952381,0.190476,0.190476,0.333333,0.333333,0.428571,30.180597,-15.594996,34.269661,-13.832619,31.366879,-19.475832,-23.42202,80.56221,37.306473,-14.983267,32.000851,-11.708783,30.976843,-3.42188,-17.521301,-10.816695,33.273151,-14.752025,-10.490809,-10.679625,-13.264934,-11.187439,-20.296143,34.972885,-16.515556,-25.247063,-18.14913,-10.288267,73.896744,-2.924908,-15.303534,-7.625275,-12.198897,28.253532,35.830006,-8.923234,-20.873743,22.920881,-27.844282,-19.540211,-8.766922,22.839144,-17.209307,-15.847491,-16.215662,-4.042344,-14.25595,-16.137344,-12.19376,70.712997,-15.787045,33.874123,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,-16.700542,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.24885,0.249389,0.99784,-249.998919,-249.445762,1.002218
8,hsa-miR-214-3p,-1,22,0,0,0,0,0.159044,0,0.159044,0,0,0.159044,0,0,0,0,0,0,0,0.159044,0.159044,0,0.204782,0,0,0,0.363636,0,0.318182,0.272727,0,0.285714,0.428571,0.047619,0,0.142857,0.045455,0.136364,0.454545,0.636364,0.909091,0,0,0,0,0,0.181818,0.318182,0.590909,0.772727,0.954545,0.090909,0.227273,0.409091,0.5,0.863636,-17.438452,-15.594996,-13.349388,-13.832619,29.202374,71.433258,22.032524,30.778656,-10.312575,-14.983267,-15.618199,-11.708783,119.721428,-3.42188,-17.521301,-10.816695,-14.345898,-14.752025,-10.490809,34.774918,-13.264934,-11.187439,-20.296143,78.262924,-16.515556,-25.247063,-18.14913,-10.288267,115.022278,-2.924908,-15.303534,-7.625275,-12.198897,-19.365517,-11.789042,-8.923234,-20.873743,-24.698168,-27.844282,-19.540211,-8.766922,-24.779905,-17.209307,-15.847491,-16.215662,-4.042344,-14.25595,-16.137344,-12.19376,202.74762,-15.787045,31.709618,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,-23.826576,-16.700542,-10.762953,-11.026198,-6.283369,-15.862718,-10.585069,0.25527,0.255289,0.999924,-235.361254,-235.380961,0.999916
9,hsa-miR-326,-1,20,0,0,0,0,0,0,0,0,0,0.224588,0,0,0,0.224588,0,0,0.275412,0,0,0.275412,0,0,0,0,0.05,0.25,0.15,0.5,0,0.052632,0.052632,0.052632,0.368421,0.052632,0.95,0,0,0.95,0.95,0.15,0.15,0.25,0.65,0.8,0.3,0.3,0.35,0.35,0.4,0.05,0.1,0.5,0.75,0.9,-17.438452,-15.594996,-13.349388,-13.832619,-16.252171,-19.475832,-23.42202,-14.675888,-10.312575,-14.983267,-15.618199,-11.708783,-16.642206,-3.42188,-17.521301,-10.816695,-14.345898,-14.752025,-10.490809,-10.679625,-13.264934,38.812561,-20.296143,37.353836,-16.515556,-25.247063,-18.14913,-10.288267,-21.341358,-2.924908,-15.303534,42.374725,-12.198897,-19.365517,-11.789042,-8.923234,-20.873743,25.301832,-27.844282,-19.540211,-8.766922,-24.779905,-17.209307,34.152508,-16.215662,-4.042344,35.744049,83.862656,-12.19376,25.474897,-15.787045,-13.744925,-3.739232,-4.080996,-5.266835,-2.037137,-9.053869,26.173424,33.299458,89.237045,38.973801,-6.283369,134.137283,39.414932,0.256984,0.256574,1.001599,-267.109819,-267.379332,0.998992
