,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,ath-miR5020a,-1.0,21.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204782,0.159044,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.159044,0.159044,0.0,0.3,0.2,0.4,0.1,0.0,0.368421,0.105263,0.210526,0.052632,0.052632,0.2,0.25,0.35,0.4,0.75,0.05,0.05,0.55,0.85,0.9,0.1,0.15,0.45,0.6,0.95,0.8,0.0,0.8,1.0,1.0,-17.856745,72.193588,-18.254684,-12.070912,71.151306,30.601196,-13.021697,-13.526288,-12.902768,-21.412273,-20.143169,-15.548026,-14.533689,-7.377837,33.531567,-6.822285,70.386307,27.337389,-22.51454,33.155701,23.729757,-12.393785,34.877274,-8.972471,-9.552787,32.050667,-16.021557,-9.580265,34.578194,-4.047346,-13.442435,-9.586593,-12.523766,-12.832119,-12.372184,-7.954699,18.216782,27.336634,-19.139719,32.494644,-13.452455,19.421867,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,-11.655176,-16.740694,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,-14.449222,29.965279,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.249049,0.249028,1.000087,-249.907199,-249.84597,1.000245
1,ath-miR403-5p,-1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.142857,0.0,0.0,0.190476,0.52381,0.190476,0.095238,0.15,0.05,0.0,0.3,0.15,0.05,0.666667,0.666667,0.714286,0.904762,0.952381,0.047619,0.190476,0.380952,0.571429,1.0,0.095238,0.095238,0.333333,0.428571,0.619048,0.47619,0.0,0.47619,0.809524,0.809524,-17.856745,-23.044512,72.654404,-12.070912,-24.08679,-17.017853,-13.021697,-13.526288,-12.902768,-21.412273,25.311375,29.906517,-14.533689,-7.377837,-14.087481,-6.822285,20.602757,-20.28166,-22.51454,-14.463349,-23.889292,-12.393785,-12.741774,-8.972471,-9.552787,29.886162,29.432987,-9.580265,-13.040855,-4.047346,32.012108,-9.586593,32.930779,-12.832119,-12.372184,-7.954699,16.052277,-20.282415,71.769371,30.330139,-13.452455,62.711906,69.041214,-15.698732,-16.92882,-9.280594,29.241516,-10.498036,-16.09383,-11.655176,-16.740694,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,37.437553,-14.449222,27.800774,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.241912,0.242888,0.995984,-234.706524,-233.645397,1.004542
2,mtr-miR5280,-1.0,24.0,19.0,0.0,0.791667,0.0,0.0,0.0,0.159044,0.159044,0.0,0.204782,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.159044,0.0,0.159044,0.0,0.0,0.0,0.304348,0.217391,0.347826,0.130435,0.181818,0.136364,0.045455,0.136364,0.0,0.136364,0.086957,0.130435,0.347826,0.391304,0.869565,0.043478,0.043478,0.173913,0.782609,0.913043,0.304348,0.521739,0.608696,0.826087,1.0,0.478261,0.478261,0.652174,0.652174,0.695652,23.809923,-23.044512,23.411983,29.595757,17.579878,-17.017853,-13.021697,-13.526288,-12.902768,20.254395,21.523499,-15.548026,-14.533689,34.28883,-14.087481,-6.822285,16.81488,-20.28166,19.152128,-14.463349,-23.889292,70.939552,-12.741774,32.694199,-9.552787,26.098286,-16.021557,-9.580265,-13.040855,-4.047346,-13.442435,32.080074,29.142902,28.834549,-12.372184,-7.954699,12.2644,21.384253,-19.139719,-15.124404,28.214214,-28.197182,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,-11.655176,-16.740694,-9.911789,-5.898268,32.354084,34.711655,-3.817989,-8.016993,-14.449222,-17.65377,-11.634482,-11.084935,36.862343,-9.33116,-5.322375,0.22931,0.229297,1.000058,-208.795088,-208.912637,0.999437
3,mtr-miR2086-3p,-1.0,21.0,3.0,0.0,0.142857,0.0,0.159044,0.0,0.159044,0.204782,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.3,0.15,0.105263,0.263158,0.210526,0.157895,0.052632,0.052632,0.1,0.2,0.4,0.7,1.0,0.25,0.25,0.45,0.45,0.85,0.05,0.3,0.5,0.65,0.95,0.15,0.15,0.55,0.55,0.8,-17.856745,-23.044512,29.364365,35.548138,23.532259,-17.017853,-13.021697,-13.526288,-12.902768,73.825821,-20.143169,-15.548026,33.085361,-7.377837,33.531567,-6.822285,118.005356,-20.28166,-22.51454,33.155701,23.729757,-12.393785,-12.741774,-8.972471,-9.552787,-15.568382,-16.021557,-9.580265,34.578194,-4.047346,-13.442435,-9.586593,-12.523766,-12.832119,-12.372184,-7.954699,18.216782,27.336634,-19.139719,32.494644,-13.452455,-28.197182,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,35.963875,30.878355,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,33.169827,-17.65377,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.249096,0.2495,0.998383,-249.924132,-249.711825,1.00085
4,gma-miR395a,-1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.188456,0.0,0.188456,0.0,0.188456,0.0,0.0,0.188456,0.246175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.4,0.1,0.0,0.157895,0.052632,0.263158,0.157895,0.0,0.2,0.2,0.25,0.85,0.9,0.1,0.35,0.45,0.5,1.0,0.15,0.3,0.6,0.7,0.8,0.05,0.0,0.05,0.95,0.95,-17.856745,24.574537,-18.254684,35.548138,-24.08679,-17.017853,34.597351,-13.526288,-12.902768,-21.412273,-20.143169,-15.548026,-14.533689,-7.377837,33.531567,-6.822285,70.386307,-20.28166,-22.51454,-14.463349,23.729757,130.463364,-12.741774,-8.972471,-9.552787,32.050667,31.597492,-9.580265,-13.040855,-4.047346,-13.442435,-9.586593,-12.523766,-12.832119,-12.372184,-7.954699,18.216782,27.336634,28.47933,-15.124404,-13.452455,19.421867,25.751175,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,-11.655176,-16.740694,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,33.169827,-17.65377,35.984566,-11.084935,-4.804327,-9.33116,-5.322375,0.249313,0.249634,0.998714,-249.797733,-249.580331,1.000871
5,gma-miR169e,-1.0,20.0,8.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.263158,0.157895,0.315789,0.263158,0.055556,0.222222,0.111111,0.111111,0.055556,0.166667,0.052632,0.052632,0.263158,0.473684,0.631579,0.526316,0.526316,0.736842,0.736842,0.789474,0.105263,0.368421,0.421053,0.578947,1.0,0.157895,0.157895,0.210526,0.894737,0.947368,-17.856745,26.955488,-18.254684,-12.070912,-24.08679,32.982147,-13.021697,36.473713,-12.902768,28.587727,-20.143169,-15.548026,-14.533689,-7.377837,35.912518,-6.822285,-24.851788,-20.28166,27.48546,35.536652,26.110708,-12.393785,-12.741774,-8.972471,-9.552787,-15.568382,-16.021557,-9.580265,-13.040855,-4.047346,-13.442435,90.413406,-12.523766,-12.832119,-12.372184,-7.954699,20.597733,-20.282415,-19.139719,34.875595,-13.452455,21.802818,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,33.90617,-11.655176,-16.740694,-9.911789,-5.898268,40.687416,-6.955015,-3.817989,-8.016993,-14.449222,32.34623,-11.634482,38.915066,45.195671,-9.33116,-5.322375,0.257711,0.257631,1.000307,-266.566634,-266.689761,0.999538
6,ath-miR164c-5p,-1.0,21.0,0.0,0.0,0.0,0.0,0.280284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284352,0.217682,0.0,0.0,0.217682,0.0,0.25,0.1,0.45,0.2,0.0,0.263158,0.157895,0.157895,0.0,0.263158,0.2,0.2,0.3,0.5,0.75,0.05,0.0,0.05,0.9,0.9,0.1,0.15,0.4,0.65,0.95,0.45,0.45,0.7,0.8,1.0,-17.856745,24.574537,-18.254684,-12.070912,23.532259,30.601196,-13.021697,34.092762,-12.902768,-21.412273,-20.143169,-15.548026,-14.533689,40.241211,-14.087481,-6.822285,22.767262,27.337389,-22.51454,-14.463349,23.729757,35.225266,-12.741774,38.646576,-9.552787,32.050667,-16.021557,-9.580265,82.197243,43.571701,-13.442435,-9.586593,-12.523766,-12.832119,-12.372184,-7.954699,-29.402267,27.336634,-19.139719,32.494644,-13.452455,-28.197182,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,35.963875,-16.740694,37.70726,-5.898268,-9.312584,40.664036,-3.817989,-8.016993,-14.449222,-17.65377,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.249329,0.248601,1.002926,-249.509438,-250.134539,0.997501
7,ath-miR824-5p,-1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.3,0.25,0.35,0.1,0.105263,0.368421,0.105263,0.157895,0.0,0.0,0.1,0.2,0.35,0.7,0.85,0.05,0.05,0.4,0.5,0.6,0.15,0.55,0.75,0.9,1.0,0.25,0.0,0.25,0.3,0.3,-17.856745,24.574537,-18.254684,-12.070912,71.151306,30.601196,-13.021697,-13.526288,-12.902768,-21.412273,27.47588,-15.548026,-14.533689,-7.377837,-14.087481,40.796764,22.767262,27.337389,-22.51454,33.155701,23.729757,35.225266,-12.741774,-8.972471,-9.552787,32.050667,-16.021557,-9.580265,-13.040855,-4.047346,-13.442435,-9.586593,-12.523766,34.78693,-12.372184,-7.954699,18.216782,-20.282415,28.47933,-15.124404,-13.452455,19.421867,25.751175,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,-11.655176,30.878355,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,-14.449222,-17.65377,-11.634482,36.534115,-4.804327,-9.33116,-5.322375,0.249144,0.249525,0.998473,-249.86023,-249.46983,1.001565
8,mtr-miR5562-3p,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19134,0.19134,0.0,0.0,0.19134,0.234639,0.0,0.0,0.0,0.19134,0.0,0.333333,0.166667,0.388889,0.111111,0.058824,0.235294,0.117647,0.235294,0.058824,0.117647,0.055556,0.388889,0.5,0.555556,1.0,0.111111,0.111111,0.222222,0.222222,0.777778,0.166667,0.277778,0.444444,0.611111,0.833333,0.722222,0.0,0.722222,0.888889,0.888889,-17.856745,29.587069,-18.254684,40.560669,28.54479,35.613728,-13.021697,-13.526288,-12.902768,31.219307,-20.143169,-15.548026,-14.533689,-7.377837,-14.087481,-6.822285,27.779793,32.349922,-22.51454,-14.463349,28.742289,-12.393785,-12.741774,43.659111,-9.552787,37.063198,-16.021557,-9.580265,39.590725,-4.047346,39.189144,-9.586593,-12.523766,-12.832119,-12.372184,-7.954699,-29.402267,32.349167,33.491859,37.507175,-13.452455,-28.197182,-21.867874,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,36.53775,-11.655176,-16.740694,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,38.182358,-17.65377,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.266123,0.265379,1.002802,-286.540639,-286.867835,0.998859
9,mtr-miR2604,-1.0,21.0,8.0,0.0,0.380952,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,0.0,0.2,0.5,0.3,0.0,0.210526,0.105263,0.0,0.315789,0.0,0.0,0.1,0.1,0.15,0.45,0.8,0.05,0.2,0.35,0.6,1.0,0.55,0.65,0.7,0.75,0.95,0.0,0.0,0.0,0.0,0.0,-17.856745,-23.044512,29.364365,-12.070912,-24.08679,-17.017853,34.597351,-13.526288,-12.902768,26.206776,27.47588,-15.548026,-14.533689,-7.377837,-14.087481,-6.822285,-24.851788,27.337389,-22.51454,-14.463349,23.729757,35.225266,-12.741774,-8.972471,-9.552787,79.669716,31.597492,-9.580265,-13.040855,-4.047346,-13.442435,-9.586593,35.095284,-12.832119,35.246864,-7.954699,-29.402267,27.336634,76.098381,-15.124404,34.166595,-28.197182,120.989273,-15.698732,-16.92882,-9.280594,-16.213028,-10.498036,-16.09383,-11.655176,-16.740694,-9.911789,-5.898268,-9.312584,-6.955015,-3.817989,-8.016993,-14.449222,-17.65377,-11.634482,-11.084935,-4.804327,-9.33116,-5.322375,0.248994,0.250054,0.995762,-249.938738,-249.049467,1.003571
