,Seqname,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,ENST00000448179.1,0.596779,0.588564,0.577719,0.624055,0.001785,0.001794,0.001761
1,ENST00000398216.2,0.600451,0.602709,0.602709,0.595937,2.4e-05,2.4e-05,7.9e-05
2,ENST00000417705.1,0.62563,0.604752,0.660907,0.611231,0.002844,0.002896,0.002814
3,ENST00000432961.1,0.601587,0.642857,0.590476,0.571429,0.003911,0.003695,0.003748
4,ENST00000418300.1,0.594527,0.597015,0.589552,0.597015,6.3e-05,9.6e-05,2.9e-05
5,ENST00000444968.1,0.419689,0.474093,0.404145,0.380829,0.00679,0.00736,0.007173
6,ENST00000413148.1,0.433486,0.419725,0.454128,0.426606,0.001021,0.00121,0.00097
7,ENST00000438002.1,0.582937,0.579762,0.580952,0.588095,6.7e-05,6e-05,5.6e-05
8,ENST00000451828.1,0.513825,0.490783,0.532258,0.518433,0.001443,0.001201,0.001038
9,ENST00000453554.1,0.588616,0.607374,0.560802,0.597671,0.001802,0.001759,0.001667
10,ENST00000457856.1,0.503158,0.549474,0.48,0.48,0.004618,0.004219,0.004009
11,ENST00000569711.1,0.498584,0.498988,0.503845,0.492918,8.6e-05,8.6e-05,9.7e-05
12,ENST00000451424.1,0.510241,0.506415,0.50709,0.517218,0.000114,0.00011,0.000113
13,ENST00000427154.1,0.495495,0.509009,0.463964,0.513514,0.002272,0.002358,0.002153
14,ENST00000437681.1,0.46557,0.44759,0.472839,0.476282,0.000752,0.000724,0.000735
15,ENST00000454613.1,0.581886,0.550446,0.57297,0.622243,0.004109,0.004166,0.004141
16,ENST00000414763.1,0.639233,0.581736,0.700113,0.635851,0.010667,0.010303,0.010713
17,ENST00000443076.1,0.566079,0.627753,0.515419,0.555066,0.009488,0.009004,0.008466
18,ENST00000515055.1,0.503748,0.562219,0.409295,0.53973,0.020455,0.020839,0.021544
19,ENST00000602618.1,0.481876,0.479744,0.454158,0.511727,0.002615,0.002647,0.002928
20,ENST00000466576.2,0.46049,0.490463,0.490463,0.400545,0.007815,0.007429,0.007011
21,ENST00000479395.2,0.355844,0.374026,0.335065,0.358442,0.001116,0.000881,0.001202
22,ENST00000450713.1,0.395041,0.396694,0.386777,0.401653,0.000184,0.000183,0.000259
23,ENST00000453015.1,0.514683,0.51932,0.53323,0.491499,0.001296,0.001271,0.001146
24,ENST00000418149.1,0.608173,0.584135,0.598558,0.641827,0.002983,0.002663,0.002756
25,ENST00000414156.1,0.516963,0.47496,0.596123,0.479806,0.014174,0.013838,0.013336
26,ENST00000430643.1,0.361204,0.376254,0.316054,0.391304,0.004805,0.004663,0.00444
27,ENST00000445551.1,0.586688,0.597848,0.564368,0.597848,0.001122,0.001106,0.00114
28,ENST00000457061.1,0.398833,0.344358,0.455253,0.396887,0.009375,0.009989,0.010418
29,ENST00000443284.1,0.495455,0.511364,0.511364,0.463636,0.002135,0.001988,0.00217
30,ENST00000436033.1,0.504831,0.463768,0.507246,0.543478,0.005098,0.005584,0.005531
31,ENST00000439156.2,0.465517,0.433815,0.483871,0.478865,0.002316,0.002405,0.002449
32,ENST00000600103.1,0.423077,0.465812,0.384615,0.418803,0.004908,0.00515,0.005451
33,ENST00000430605.1,0.413146,0.394366,0.450704,0.394366,0.003213,0.002869,0.002069
34,ENST00000439024.1,0.396501,0.419825,0.332362,0.437318,0.009618,0.009819,0.0092
35,ENST00000432294.1,0.322917,0.273438,0.367188,0.328125,0.006809,0.007667,0.008033
36,ENST00000554749.1,0.531309,0.516603,0.529412,0.547913,0.000756,0.000739,0.000737
37,ENST00000566942.1,0.310256,0.334387,0.293881,0.302499,0.001358,0.001316,0.001303
38,ENST00000562952.1,0.33751,0.334837,0.321303,0.356391,0.000944,0.000942,0.000934
39,ENST00000445680.1,0.503614,0.556627,0.440964,0.513253,0.010119,0.010712,0.010058
40,ENST00000416099.1,0.455048,0.431535,0.46888,0.46473,0.001323,0.001192,0.00127
41,ENST00000457043.1,0.425926,0.411111,0.438889,0.427778,0.000629,0.000791,0.000666
42,ENST00000425109.2,0.444898,0.473469,0.416327,0.444898,0.002401,0.002219,0.002074
43,ENST00000389897.3,0.484879,0.462702,0.498992,0.492944,0.00118,0.001085,0.001146
44,ENST00000445097.2,0.380119,0.381169,0.389569,0.369618,0.000297,0.000295,0.000307
45,ENST00000411804.1,0.379066,0.373409,0.398868,0.364922,0.000927,0.000897,0.000995
46,ENST00000443642.1,0.581738,0.578792,0.622975,0.543446,0.004694,0.004705,0.005045
47,ENST00000428641.1,0.503464,0.471132,0.533487,0.505774,0.00306,0.003429,0.00312
48,ENST00000526176.1,0.445993,0.439024,0.439024,0.45993,0.00049,0.000566,0.000625
49,ENST00000358073.2,0.539191,0.533416,0.566832,0.517327,0.001905,0.001892,0.001846
50,ENST00000553157.1,0.629764,0.588022,0.647913,0.653358,0.00418,0.003762,0.003654
51,ENST00000447832.1,0.475369,0.485437,0.469256,0.471413,0.000225,0.00024,0.000251
52,ENST00000438597.1,0.488818,0.464856,0.464856,0.536741,0.005364,0.005185,0.005367
53,ENST00000420350.1,0.467876,0.460317,0.464853,0.478458,0.000288,0.000318,0.00031
54,ENST00000602806.1,0.652101,0.615126,0.685714,0.655462,0.003905,0.004118,0.004472
55,ENST00000412855.2,0.482269,0.425532,0.489362,0.531915,0.009007,0.009692,0.009746
56,ENST00000445817.1,0.482496,0.47032,0.487062,0.490107,0.000355,0.000386,0.000397
