,Seqname,EipSP: Electron-ion interaction pseudopotential signal peak,EipAP: Electron-ion interaction pseudopotential average power,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EiPS2: Electron-ion interaction pseudopotential spectrum 0.5,EiPS3: Electron-ion interaction pseudopotential spectrum 0.75,EiPS4: Electron-ion interaction pseudopotential spectrum 1
0,ENST00000448179.1,7.363078,42.525786,0.173144,3.968341,4.519104,5.206739,6.581155,21.119792
1,ENST00000398216.2,0.348962,6.138991,0.056844,0.549258,0.581106,0.717955,0.899496,1.38905
2,ENST00000417705.1,0.571318,19.153976,0.029828,1.779603,2.073526,2.390633,3.157937,6.654402
3,ENST00000432961.1,0.203933,8.813986,0.023137,0.821875,0.923635,1.032386,1.275472,2.931941
4,ENST00000418300.1,0.636006,5.67906,0.111991,0.518483,0.589267,0.680239,0.995751,1.596165
5,ENST00000444968.1,0.246891,5.763937,0.042834,0.381774,0.436676,0.498644,0.595276,0.994421
6,ENST00000413148.1,0.383451,6.39875,0.059926,0.443993,0.488406,0.588766,0.779075,1.415212
7,ENST00000438002.1,4.006304,35.843394,0.111772,3.204615,3.722764,4.259936,5.358573,9.8529
8,ENST00000451828.1,0.491723,6.518153,0.075439,0.429973,0.473889,0.519174,0.76317,1.283781
9,ENST00000457856.1,1.682718,7.038239,0.239082,0.501992,0.554782,0.606425,0.759575,3.362933
10,ENST00000569711.1,3.207878,35.790703,0.089629,2.896591,3.399464,3.90537,4.628386,8.652292
11,ENST00000451424.1,6.047919,64.863588,0.093241,4.97088,5.668285,6.425333,7.845108,39.887589
12,ENST00000427154.1,0.537529,10.038427,0.053547,0.609748,0.691665,0.793951,0.951456,1.817386
13,ENST00000437681.1,5.570913,38.714386,0.143898,2.840614,3.187603,3.659691,4.53466,11.298038
14,ENST00000454613.1,4.615172,30.387194,0.151879,2.580775,2.857996,3.308523,4.190216,15.321013
15,ENST00000414763.1,2.526895,12.2605,0.206101,1.25961,1.403783,1.637546,1.933522,2.698489
16,ENST00000515055.1,0.545566,9.654672,0.056508,0.721274,0.769205,0.968297,1.224777,1.662171
17,ENST00000602618.1,0.532549,6.914215,0.077022,0.532549,0.607982,0.673663,0.835811,1.08454
18,ENST00000466576.2,0.447692,5.292613,0.084588,0.393923,0.421228,0.454292,0.617607,0.982978
19,ENST00000479395.2,0.263273,6.002872,0.043858,0.27602,0.322656,0.362159,0.425143,0.818672
20,ENST00000450713.1,0.375198,8.723966,0.043008,0.706722,0.804017,0.866362,1.064645,1.833118
21,ENST00000453015.1,0.803132,9.300208,0.086356,0.720856,0.80691,0.921045,1.251211,1.956385
22,ENST00000414156.1,0.284349,9.029728,0.03149,0.732137,0.782257,0.914745,1.15017,2.123891
23,ENST00000430643.1,0.434588,9.025979,0.048149,0.559251,0.645538,0.695767,0.883788,1.96557
24,ENST00000445551.1,1.177837,35.992629,0.032724,3.058484,3.417727,4.001233,4.898347,12.488946
25,ENST00000457061.1,0.490372,7.495442,0.065423,0.562598,0.634474,0.755685,0.926704,1.757215
26,ENST00000443284.1,0.37551,6.287324,0.059725,0.543007,0.584145,0.682715,0.825263,1.100092
27,ENST00000436033.1,0.835027,5.830527,0.143216,0.477959,0.560525,0.594414,0.773344,1.516214
28,ENST00000439156.2,2.118138,26.240014,0.080722,1.92182,2.184205,2.392099,3.034275,6.209133
