,Seqname,FickS: Fickett score,SCCou: Stop codon count,SCFre: Stop codon frequency,SCCFS: Stop codon count frame score,SCFFS: Stop codon frequency frame score
0,hsv1-miR-H1-5p,0.9197,0.0,0.0,0.0,0.0
1,hsv1-miR-H2-5p,0.9707,0.0,0.0,0.0,0.0
2,hsv1-miR-H2-3p,0.9627,0.0,0.0,1.0,0.101716
3,hsv1-miR-H3-3p,0.5626,0.0,0.0,0.0,0.0
4,hsv1-miR-H4-5p,0.7582,1.0,0.318929,1.0,0.104846
5,hsv1-miR-H4-3p,0.4197,1.0,0.318929,1.0,0.103199
6,hsv1-miR-H5-3p,0.8748,0.0,0.0,0.0,0.0
7,hsv1-miR-H6-3p,0.8493,0.0,0.0,0.0,0.0
8,hsv1-miR-H7-5p,0.4707,0.0,0.0,0.0,0.0
9,hsv1-miR-H7-3p,1.1191,0.0,0.0,0.0,0.0
10,hsv1-miR-H8-5p,0.6866,0.0,0.0,1.0,0.111428
11,hsv1-miR-H8-3p,0.7333,0.0,0.0,0.0,0.0
12,hsv1-miR-H11,0.5181,0.0,0.0,1.0,0.111428
13,hsv1-miR-H12,0.418,0.0,0.0,0.0,0.0
14,hsv1-miR-H13,0.797,0.0,0.0,1.0,0.101716
15,hsv1-miR-H14-5p,1.1975,0.0,0.0,0.0,0.0
16,hsv1-miR-H14-3p,0.6335,0.0,0.0,0.0,0.0
17,hsv1-miR-H15,0.6353,0.0,0.0,0.0,0.0
18,hsv1-miR-H16,0.7544,0.0,0.0,0.0,0.0
19,hsv1-miR-H17,0.989,0.0,0.0,0.0,0.0
20,hsv1-miR-H18,0.49,0.0,0.0,0.0,0.0
21,hsv1-miR-H1-3p,0.6557,0.0,0.0,0.0,0.0
22,hsv1-miR-H3-5p,0.6395,0.0,0.0,1.0,0.104662
23,hsv1-miR-H5-5p,0.722,0.0,0.0,0.0,0.0
24,hsv1-miR-H6-5p,0.718,0.0,0.0,0.0,0.0
25,hsv1-miR-H26,0.6059,0.0,0.0,1.0,0.115344
26,hsv2-miR-H3,0.4852,0.0,0.0,0.0,0.0
27,hsv2-miR-H4-5p,0.5156,0.0,0.0,0.0,0.0
28,hsv2-miR-H4-3p,0.5551,0.0,0.0,1.0,0.111428
29,hsv2-miR-H2,0.8504,0.0,0.0,1.0,0.107885
30,hsv2-miR-H7-5p,0.4707,0.0,0.0,1.0,0.111428
31,hsv2-miR-H9-3p,0.8167,0.0,0.0,0.0,0.0
32,hsv2-miR-H10,0.4452,0.0,0.0,0.0,0.0
33,hsv2-miR-H11-3p,0.5737,0.0,0.0,1.0,0.104662
34,hsv2-miR-H12,0.6589,0.0,0.0,1.0,0.104662
35,hsv2-miR-H13,0.5166,0.0,0.0,1.0,0.104662
36,hsv2-miR-H20,0.8224,0.0,0.0,0.0,0.0
37,hsv2-miR-H22,0.8386,0.0,0.0,0.0,0.0
38,hsv2-miR-H23-5p,1.244,0.0,0.0,0.0,0.0
39,hsv2-miR-H23-3p,1.0151,0.0,0.0,0.0,0.0
40,hsv2-miR-H24,0.8737,0.0,0.0,0.0,0.0
41,hsv2-miR-H25,0.8207,0.0,0.0,0.0,0.0
42,hsv2-miR-H7-3p,1.2757,0.0,0.0,0.0,0.0
43,hsv2-miR-H9-5p,1.1834,0.0,0.0,0.0,0.0
44,hsv2-miR-H5,0.5224,1.0,0.314658,1.0,0.09901
45,hsv2-miR-H6-5p,0.729,0.0,0.0,0.0,0.0
46,hsv2-miR-H6-3p,0.9843,0.0,0.0,0.0,0.0
47,hcmv-miR-UL22A-5p,0.8986,2.0,0.656917,3.0,0.323684
48,hcmv-miR-UL22A-3p,0.9786,1.0,0.318929,1.0,0.103199
49,hcmv-miR-UL112-3p,0.8659,2.0,0.637858,4.0,0.406863
50,hcmv-miR-UL148D,1.0765,0.0,0.0,0.0,0.0
51,hcmv-miR-US5-1,1.225,2.0,0.647031,4.0,0.418649
52,hcmv-miR-US5-2-3p,1.2282,0.0,0.0,9.0,0.970966
53,hcmv-miR-US25-1-5p,0.4904,0.0,0.0,0.0,0.0
54,hcmv-miR-US25-2-5p,1.1294,0.0,0.0,1.0,0.104662
55,hcmv-miR-US25-2-3p,0.7975,0.0,0.0,0.0,0.0
56,hcmv-miR-US33-5p,0.7266,0.0,0.0,0.0,0.0
57,hcmv-miR-US4-5p,1.0888,0.0,0.0,0.0,0.0
58,hcmv-miR-UL70-5p,0.9346,0.0,0.0,0.0,0.0
59,hcmv-miR-UL70-3p,0.4264,0.0,0.0,0.0,0.0
60,hcmv-miR-UL36-3p,0.6825,0.0,0.0,0.0,0.0
61,hcmv-miR-US33-3p,0.8289,0.0,0.0,0.0,0.0
62,hcmv-miR-UL112-5p,1.2981,0.0,0.0,0.0,0.0
63,hcmv-miR-US5-2-5p,1.0424,1.0,0.310667,1.0,0.096514
64,hcmv-miR-US4-3p,0.5717,1.0,0.328459,1.0,0.107885
65,hcmv-miR-US22-5p,0.4463,0.0,0.0,0.0,0.0
66,hcmv-miR-US22-3p,1.3064,1.0,0.314658,1.0,0.09901
67,hcmv-miR-US29-5p,0.8948,0.0,0.0,1.0,0.107885
68,hcmv-miR-US29-3p,0.6303,0.0,0.0,0.0,0.0
69,hcmv-miR-UL59,0.9859,0.0,0.0,0.0,0.0
70,hcmv-miR-UL69,0.8065,0.0,0.0,1.0,0.111428
71,ebv-miR-BHRF1-1,0.9301,1.0,0.318929,1.0,0.104846
72,ebv-miR-BHRF1-2-5p,1.0245,1.0,0.318929,1.0,0.101716
73,ebv-miR-BHRF1-2-3p,0.8115,0.0,0.0,1.0,0.104662
74,ebv-miR-BHRF1-3,0.5707,1.0,0.318929,1.0,0.104846
75,ebv-miR-BART1-5p,0.8401,2.0,0.621335,4.0,0.386057
76,ebv-miR-BART2-5p,0.9517,0.0,0.0,0.0,0.0
77,ebv-miR-BART1-3p,1.1727,1.0,0.318929,1.0,0.101716
78,ebv-miR-BART3-5p,1.1439,2.0,0.647031,4.0,0.418649
79,ebv-miR-BART3-3p,0.6705,0.0,0.0,1.0,0.107885
80,ebv-miR-BART4-5p,1.0346,0.0,0.0,1.0,0.104662
81,ebv-miR-BART5-5p,0.9884,0.0,0.0,4.0,0.406863
82,ebv-miR-BART6-5p,0.8024,2.0,0.637858,4.0,0.406863
83,ebv-miR-BART6-3p,0.8779,2.0,0.637858,4.0,0.406863
84,ebv-miR-BART7-3p,0.7534,0.0,0.0,1.0,0.107885
85,ebv-miR-BART8-5p,0.6345,0.0,0.0,1.0,0.104662
86,ebv-miR-BART8-3p,1.0688,0.0,0.0,1.0,0.101716
87,ebv-miR-BART9-3p,0.921,1.0,0.314658,1.0,0.100372
88,ebv-miR-BART10-3p,1.1655,0.0,0.0,1.0,0.101716
89,ebv-miR-BART11-5p,0.7375,1.0,0.310667,1.0,0.096514
90,ebv-miR-BART11-3p,0.8634,0.0,0.0,1.0,0.107885
91,ebv-miR-BART12,0.9328,0.0,0.0,0.0,0.0
92,ebv-miR-BART13-3p,0.4942,0.0,0.0,4.0,0.418649
93,ebv-miR-BART14-5p,0.8721,0.0,0.0,0.0,0.0
94,ebv-miR-BART14-3p,1.2252,3.0,0.956787,9.0,0.915441
95,ebv-miR-BART15,0.8535,0.0,0.0,1.0,0.104662
96,ebv-miR-BART16,0.4471,0.0,0.0,1.0,0.100372
97,ebv-miR-BART17-5p,0.8305,1.0,0.318929,1.0,0.101716
98,ebv-miR-BART17-3p,0.7362,0.0,0.0,1.0,0.101716
99,ebv-miR-BART18-5p,0.6639,0.0,0.0,0.0,0.0
100,ebv-miR-BART19-3p,0.4605,0.0,0.0,0.0,0.0
101,ebv-miR-BART20-5p,0.8647,1.0,0.323515,1.0,0.104662
102,ebv-miR-BART20-3p,1.0867,0.0,0.0,1.0,0.107885
103,ebv-miR-BART2-3p,0.4038,0.0,0.0,1.0,0.101716
104,ebv-miR-BART7-5p,0.9425,2.0,0.637858,4.0,0.406863
105,ebv-miR-BART9-5p,0.9443,0.0,0.0,1.0,0.104662
106,ebv-miR-BART10-5p,0.9385,0.0,0.0,0.0,0.0
107,ebv-miR-BART13-5p,0.7694,0.0,0.0,0.0,0.0
108,ebv-miR-BART18-3p,0.993,0.0,0.0,0.0,0.0
109,ebv-miR-BART19-5p,1.0086,0.0,0.0,1.0,0.101716
110,ebv-miR-BART4-3p,0.6146,1.0,0.314658,1.0,0.09901
111,ebv-miR-BART5-3p,0.5961,0.0,0.0,0.0,0.0
112,ebv-miR-BART21-5p,0.7444,0.0,0.0,3.0,0.323684
113,ebv-miR-BART21-3p,0.9736,0.0,0.0,1.0,0.104662
114,ebv-miR-BART22,1.1834,0.0,0.0,4.0,0.406863
115,kshv-miR-K12-10a-3p,1.0731,1.0,0.318929,1.0,0.101716
116,kshv-miR-K12-10b,0.9796,0.0,0.0,0.0,0.0
117,kshv-miR-K12-11-3p,1.0442,0.0,0.0,1.0,0.106286
118,kshv-miR-K12-1-5p,0.4822,1.0,0.314658,1.0,0.09901
119,kshv-miR-K12-2-5p,0.9578,0.0,0.0,1.0,0.107885
120,kshv-miR-K12-9-5p,0.8167,0.0,0.0,1.0,0.107885
121,kshv-miR-K12-9-3p,1.1798,0.0,0.0,1.0,0.104662
122,kshv-miR-K12-8-3p,0.6457,0.0,0.0,1.0,0.109671
123,kshv-miR-K12-7-3p,0.9581,1.0,0.328459,1.0,0.107885
124,kshv-miR-K12-6-5p,1.2793,0.0,0.0,1.0,0.107885
125,kshv-miR-K12-6-3p,1.0394,2.0,0.637858,4.0,0.406863
126,kshv-miR-K12-5-3p,1.0526,1.0,0.314658,1.0,0.09901
127,kshv-miR-K12-4-5p,0.9492,2.0,0.637858,4.0,0.406863
128,kshv-miR-K12-4-3p,0.8756,2.0,0.637858,1.0,0.097282
129,kshv-miR-K12-3-5p,1.2684,0.0,0.0,1.0,0.104662
