,Seqname,0,1,2,3,4,5,6,7
0,ath-miR5020a,0.023222,0.270304,0.085911,0.023222,0.023222,0.023222,0.023222,0.023222
1,ath-miR403-5p,0.023854,0.339268,0.07031,0.024525,0.024525,0.024525,0.024525,0.024525
2,mtr-miR5280,0.030052,0.312578,0.096144,0.03926,0.03926,0.03926,0.03926,0.03926
3,mtr-miR2086-3p,0.036709,0.289197,0.126933,0.036709,0.036709,0.036709,0.036709,0.036709
4,gma-miR395a,0.012681,0.276276,0.0459,0.04319,0.04319,0.04319,0.04319,0.04319
5,gma-miR169e,0.035381,0.268101,0.131968,0.035381,0.035381,0.035381,0.035381,0.035381
6,ath-miR164c-5p,0.022496,0.251812,0.089336,0.031473,0.031473,0.031473,0.031473,0.031473
7,ath-miR824-5p,0.02024,0.28163,0.071867,0.021392,0.022519,0.023646,0.024773,0.0259
8,mtr-miR5562-3p,0.030531,0.248065,0.123077,0.030531,0.030531,0.030531,0.030531,0.030531
9,mtr-miR2604,0.009054,0.298527,0.030329,0.035133,0.038794,0.042454,0.046115,0.049775
10,gma-miR164b,0.037345,0.245316,0.152233,0.037345,0.037345,0.037345,0.037345,0.037345
11,gma-miR5044,0.048084,0.292286,0.164508,0.048084,0.048084,0.048084,0.048084,0.048084
12,ath-miR834,0.080374,0.26287,0.305754,0.080374,0.080374,0.080374,0.080374,0.080374
13,ath-miR865-5p,0.023258,0.304148,0.076471,0.023258,0.023258,0.023258,0.023258,0.023258
14,mtr-miR2586a,0.03198,0.289816,0.110345,0.034274,0.034274,0.034274,0.034274,0.034274
15,mtr-miR2592bl-5p,0.027504,0.335643,0.081945,0.027504,0.027504,0.027504,0.027504,0.027504
16,gma-miR2118a-3p,0.011682,0.34698,0.033668,0.011682,0.011682,0.011682,0.011682,0.011682
17,gma-miR9729,0.024193,0.338504,0.071471,0.024193,0.024193,0.024193,0.024193,0.024193
18,ath-miR8177,0.019996,0.314537,0.063572,0.044155,0.044155,0.044155,0.044155,0.044155
19,ath-miR8170-3p,0.018024,0.330826,0.054481,0.018024,0.018024,0.018024,0.018024,0.018024
20,mtr-miR5281a,0.035759,0.323904,0.1104,0.035759,0.035759,0.035759,0.035759,0.035759
21,mtr-miR2629h,0.058893,0.346957,0.169741,0.058893,0.058893,0.058893,0.058893,0.058893
22,gma-miR5368,0.029141,0.259525,0.112285,0.029141,0.029141,0.029141,0.029141,0.029141
23,ath-miR823,0.018074,0.283442,0.063766,0.018074,0.022831,0.027588,0.032344,0.037101
24,ath-miR780.2,0.011633,0.321714,0.036158,0.029899,0.029899,0.029899,0.029899,0.029899
25,mtr-miR5254,0.053211,0.26079,0.204038,0.053211,0.053211,0.053211,0.053211,0.053211
26,mtr-miR319c-5p,0.022399,0.297383,0.075322,0.041881,0.041881,0.041881,0.041881,0.041881
27,gma-miR169l-3p,0.022526,0.307505,0.073253,0.049096,0.049096,0.049096,0.049096,0.049096
28,ath-miR158b,0.019627,0.305754,0.064191,0.019627,0.019627,0.019627,0.019627,0.019627
29,ath-miR10515,0.014434,0.333708,0.043254,0.014434,0.015507,0.016579,0.017652,0.018724
30,mtr-miR2673a,0.000101,0.391748,0.000258,0.000101,0.000101,0.000101,0.000101,0.000101
31,mtr-miR398a-3p,0.008048,0.326007,0.024687,0.025305,0.025305,0.025305,0.025305,0.025305
32,gma-miR9740,0.020003,0.27225,0.073472,0.028359,0.028359,0.028359,0.028359,0.028359
33,gma-miR4380b,0.023132,0.31467,0.073512,0.036988,0.036988,0.036988,0.036988,0.036988
34,ath-miR399c-5p,0.017332,0.289682,0.059832,0.017332,0.029591,0.041849,0.054108,0.066366
35,ath-miR864-5p,0.026621,0.315741,0.084312,0.026621,0.026621,0.026621,0.026621,0.026621
36,mtr-miR2654,0.008503,0.265888,0.031978,0.029079,0.035498,0.041918,0.048337,0.054756
37,mtr-miR2592bm-5p,0.01384,0.355022,0.038984,0.01796,0.01796,0.01796,0.01796,0.01796
38,gma-miR5043,0.009953,0.349194,0.028504,0.01086,0.01086,0.01086,0.01086,0.01086
39,gma-miR1514a-5p,0.006819,0.338259,0.020159,0.008507,0.009683,0.010859,0.012035,0.013211
40,ath-miR851-5p,0.02708,0.310789,0.087132,0.02708,0.02708,0.02708,0.02708,0.02708
41,ath-miR866-5p,0.033174,0.304282,0.109025,0.033174,0.033174,0.033174,0.033174,0.033174
42,mtr-miR5251,0.050746,0.298794,0.169835,0.050746,0.050746,0.050746,0.050746,0.050746
43,gma-miR156z,0.012104,0.220596,0.05487,0.026869,0.026869,0.026869,0.026869,0.026869
44,gma-miR10413a,0.021225,0.322371,0.06584,0.021225,0.022114,0.023004,0.023893,0.024782
45,ath-miR8181,0.019188,0.194124,0.098845,0.02326,0.027059,0.030857,0.034656,0.038455
