,Seqname,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,hsa-miR-136-5p,0.347826,0.391304,0.26087,0.391304,0.019868,0.025236,0.066461
1,hsa-miR-148a-3p,0.409091,0.272727,0.409091,0.545455,0.080391,0.055964,0.063959
2,hsa-miR-148b-3p,0.409091,0.409091,0.409091,0.409091,0.001256,0.001256,0.014405
3,hsa-miR-152-3p,0.47619,0.428571,0.571429,0.428571,0.023689,0.01243,0.001528
4,hsa-miR-15a-5p,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
5,hsa-miR-15b-5p,0.409091,0.409091,0.0,0.818182,0.609174,0.55148,0.502446
6,hsa-miR-16-5p,0.454545,0.681818,0.136364,0.545455,0.253076,0.298859,0.251653
7,hsa-miR-195-5p,0.428571,0.428571,0.285714,0.571429,0.083844,0.075032,0.049054
8,hsa-miR-214-3p,0.590909,0.545455,0.681818,0.545455,0.02227,0.009848,0.002233
9,hsa-miR-326,0.7,0.6,0.9,0.6,0.101951,0.124681,0.099874
10,hsa-miR-330-5p,0.590909,0.681818,0.545455,0.545455,0.009848,0.037201,0.053731
11,hsa-miR-34a-5p,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.118814
12,hsa-miR-34c-5p,0.478261,0.391304,0.521739,0.521739,0.028441,0.011452,0.010875
13,hsa-miR-3619-5p,0.681818,0.818182,0.545455,0.681818,0.048712,0.094348,0.125122
14,hsa-miR-370-3p,0.681818,0.409091,0.954545,0.681818,0.263946,0.328894,0.290924
15,hsa-miR-424-5p,0.363636,0.409091,0.136364,0.545455,0.158153,0.144866,0.121134
16,hsa-miR-449a,0.454545,0.272727,0.545455,0.545455,0.098573,0.067298,0.051783
17,hsa-miR-449b-5p,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.011616
18,hsa-miR-497-5p,0.52381,0.714286,0.285714,0.571429,0.144209,0.109698,0.073472
19,hsa-miR-761,0.545455,0.545455,0.681818,0.409091,0.053731,0.059166,0.033107
20,hsa-miR-138-5p,0.565217,0.391304,0.913043,0.391304,0.297639,0.24453,0.209036
21,hsa-miR-149-5p,0.608696,0.521739,0.782609,0.521739,0.075617,0.050757,0.03307
22,hsa-miR-296-3p,0.681818,0.954545,0.409091,0.681818,0.210902,0.184313,0.125122
23,hsa-miR-320b,0.5,0.409091,0.545455,0.545455,0.031808,0.012266,0.023012
24,hsa-miR-320c,0.5,0.45,0.45,0.6,0.042374,0.026392,0.013324
25,hsa-miR-320d,0.473684,0.315789,0.473684,0.631579,0.114247,0.075122,0.068918
26,hsa-miR-377-3p,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.014405
27,hsa-miR-4429,0.6,0.45,0.75,0.6,0.088634,0.046918,0.099874
28,hsa-miR-485-5p,0.545455,0.409091,0.818182,0.409091,0.184095,0.143907,0.109957
29,hsa-miR-873-5p,0.52381,0.571429,0.857143,0.142857,0.414845,0.375932,0.313846
30,hsa-miR-184,0.5,0.272727,0.545455,0.681818,0.17445,0.130192,0.118814
31,hsa-miR-31-5p,0.52381,0.714286,0.571429,0.285714,0.126318,0.180401,0.163622
32,hsa-miR-491-5p,0.590909,0.818182,0.409091,0.545455,0.114394,0.187652,0.233903
33,hsa-miR-494-3p,0.454545,0.545455,0.409091,0.409091,0.011616,0.033107,0.055964
34,hsa-miR-141-3p,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
35,hsa-miR-200a-3p,0.409091,0.409091,0.272727,0.545455,0.075222,0.067696,0.04522
36,hsa-miR-495-3p,0.363636,0.136364,0.681818,0.272727,0.266202,0.229074,0.306639
37,hsa-miR-199a-5p,0.521739,0.391304,0.782609,0.391304,0.167705,0.200821,0.156676
38,hsa-miR-199b-5p,0.434783,0.26087,0.652174,0.391304,0.134728,0.194687,0.143361
39,hsa-miR-125a-5p,0.5,0.375,0.5,0.625,0.070648,0.045255,0.050773
