,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,ENST00000448179.1,372,0.122248,1,0,0.101323,0.062296,0.034591,0.049721,0,0.115256,0.042548,0.014941,0.049721,0.082457,0.025578,0.042548,0.097996,0.034591,0.067879,0.067879,0.042548,0.025578,0.042548,0,0.054696,0.053098,1.030089,-8.295379,-8.475166,0.978787,0
1,ENST00000398216.2,153,0.345372,-1,0,0.079089,0,0,0.079089,0,0.066021,0.03054,0.066021,0.126551,0.090195,0.03054,0.03054,0.090195,0.03054,0.090195,0.079089,0.050313,0.03054,0.03054,0,0.107297,0.108283,0.990895,-23.88196,-23.7733,1.004571,0
2,ENST00000417705.1,387,0.278618,1,0,0.059193,0.040338,0.064541,0.059193,0.024203,0.093578,0.053428,0.024203,0.032765,0.074183,0.014118,0,0.102744,0.074183,0.09015,0.074183,0.040338,0.040338,0.024203,0.014118,0.054429,0.052685,1.033111,-7.920832,-8.145245,0.972449,0
3,ENST00000432961.1,180,0.285714,1,0,0.079363,0.057473,0.043531,0.026223,0.069231,0.095961,0.043531,0.043531,0,0.057473,0.026223,0,0.079363,0.1028,0.069231,0.079363,0.057473,0.069231,0,0,0.07557,0.0756,0.999603,-19.520601,-19.52193,0.999932,0
4,ENST00000418300.1,297,0.738806,1,0,0.072094,0.040817,0.030376,0.049932,0.030376,0.065404,0.040817,0.017893,0.040817,0.072094,0.017893,0,0.121644,0.078224,0.102483,0.072094,0.040817,0.040817,0.065404,0,0.064587,0.063165,1.022516,-10.917768,-11.139469,0.980098,0
5,ENST00000444968.1,30,0.07772,-1,0,0,0,0,0,0.189821,0,0,0,0,0.212999,0.135786,0,0.189821,0,0.135786,0,0,0.135786,0,0,0.214245,0.214795,0.997442,-158.605649,-158.298883,1.001938,0
6,ENST00000413148.1,126,0.288991,1,0,0.032711,0.092671,0.032711,0.053211,0.069101,0.053211,0.032711,0.032711,0.069101,0.081999,0.053211,0.053211,0.053211,0.081999,0.053211,0.053211,0.069101,0.032711,0,0,0.096336,0.0971,0.992126,-29.872486,-29.67328,1.006713,0
7,ENST00000438002.1,438,0.17381,1,0,0.09446,0.029264,0.053363,0.067262,0.021549,0.082318,0.042348,0.029264,0.042348,0.09446,0.021549,0.012518,0.082318,0.029264,0.071351,0.053363,0.048066,0.067262,0.036124,0.021549,0.049827,0.049518,1.006225,-6.390508,-6.524089,0.979525,0
8,ENST00000451828.1,162,0.373272,1,0,0.045642,0.027648,0.027648,0.0822,0.059992,0.071976,0.045642,0.045642,0.027648,0.111123,0.045642,0,0.059992,0.027648,0.059992,0.071976,0.071976,0.071976,0.045642,0,0.07988,0.080488,0.99245,-22.0876,-21.994223,1.004246,0
9,ENST00000457856.1,102,0.214737,1,0,0.048627,0,0,0.048627,0.11739,0,0.077975,0.048627,0.048627,0.142251,0.048627,0,0.077975,0.048627,0,0.166043,0.048627,0.077975,0,0,0.132608,0.13457,0.985427,-38.447691,-38.228074,1.005745,0
10,ENST00000569711.1,258,0.104411,1,0,0.053692,0.083031,0.032935,0.032935,0.032935,0.062215,0.088755,0.032935,0.019512,0.098783,0.032935,0.032935,0.069854,0.019512,0.032935,0.114272,0.053692,0.053692,0.032935,0.019512,0.063423,0.063815,0.993854,-12.610561,-12.523046,1.006988,0
11,ENST00000451424.1,501,0.112762,1,0,0.079128,0.03843,0.03843,0.019394,0.087753,0.053237,0.03843,0.053237,0.019394,0.087753,0.032703,0.048634,0.065514,0.048634,0.057566,0.103857,0.032703,0.057566,0.011218,0.026421,0.055645,0.058193,0.956209,-5.649303,-5.396806,1.046786,0
12,ENST00000427154.1,306,0.459459,1,0,0.067872,0.046916,0.038322,0.046916,0.061536,0.061536,0.028494,0.067872,0.096816,0.073688,0.046916,0,0.054592,0.061536,0.046916,0.073688,0.092857,0,0.016765,0.016765,0.0631,0.064556,0.977455,-10.512492,-10.402892,1.010536,0
13,ENST00000437681.1,258,0.098699,1,0,0.062785,0.01969,0.033236,0.01969,0.062785,0.077461,0.054184,0.089568,0.01969,0.089568,0.01969,0.033236,0.104123,0.033236,0.09485,0.070494,0.01969,0.062785,0.033236,0,0.063279,0.063963,0.989297,-12.500017,-12.355097,1.01173,0
14,ENST00000454613.1,369,0.173158,1,0,0.084961,0.041736,0.048764,0.033937,0.0251,0.088864,0.033937,0.033937,0.041736,0.088864,0.041736,0,0.095982,0.055177,0.088864,0.048764,0.041736,0.080803,0.0251,0,0.054082,0.052817,1.023944,-8.021585,-8.298741,0.966603,0
15,ENST00000414763.1,261,0.29425,1,0,0.103376,0.019484,0.032904,0.053681,0,0.06988,0.019484,0.062221,0.044036,0.06988,0.062221,0.044036,0.076806,0,0.083106,0.098948,0.053681,0.062221,0.044036,0,0.062464,0.061333,1.018445,-12.271246,-12.564452,0.976664,0
16,ENST00000515055.1,369,0.553223,1,0,0.046719,0.058518,0.039986,0.024048,0.039986,0.068622,0.039986,0.032514,0.052864,0.091958,0.032514,0.032514,0.081399,0.032514,0.063753,0.095068,0.063753,0.032514,0.046719,0.024048,0.055642,0.054637,1.018383,-8.423899,-8.472682,0.994242,0
17,ENST00000602618.1,48,0.102345,1,0,0,0,0.114889,0,0.077206,0,0.077206,0,0.114889,0.077206,0.114889,0.114889,0.077206,0.077206,0.077206,0,0,0.077206,0,0,0.151356,0.152303,0.993781,-89.896311,-89.560662,1.003748,0
18,ENST00000466576.2,177,0.482289,1,0,0.066759,0.025342,0.076485,0.076485,0.025342,0.076485,0.025342,0.025342,0.066759,0.084955,0.042031,0.025342,0.042031,0.025342,0.084955,0.066759,0.066759,0.055455,0.042031,0,0.077601,0.077818,0.997204,-20.222229,-20.102256,1.005968,0
19,ENST00000479395.2,54,0.14026,1,0,0,0.07302,0,0,0.134117,0,0,0.110312,0.07302,0.07302,0.07302,0,0.07302,0,0,0.134117,0.07302,0.07302,0,0.110312,0.16797,0.170162,0.987118,-78.673329,-77.588732,1.013979,0
20,ENST00000450713.1,84,0.138843,1,0,0.053209,0,0,0.106418,0.123313,0.053209,0,0.145694,0,0.053209,0.084037,0,0,0,0.084037,0.106418,0.053209,0.084037,0.053209,0,0.118861,0.120615,0.985465,-47.568231,-46.875894,1.01477,0
21,ENST00000453015.1,261,0.4034,1,0,0.059287,0.05115,0.031353,0.05115,0.066585,0.066585,0.018566,0,0.05115,0.079188,0.066585,0.031353,0.04196,0.04196,0.089685,0.073185,0.079188,0.05115,0.018566,0.031353,0.063313,0.063407,0.998509,-12.724766,-12.672583,1.004118,0
22,ENST00000414156.1,198,0.319871,-1,0,0.079488,0.038635,0,0.061953,0.051233,0.071277,0.023147,0.038635,0.038635,0.079488,0.038635,0.038635,0.071277,0.038635,0.023147,0.108892,0.061953,0.023147,0.051233,0.061953,0.074771,0.075432,0.991245,-17.666076,-17.405126,1.014993,0
23,ENST00000430643.1,57,0.095318,1,0,0.070607,0.146967,0,0.107348,0.070607,0.070607,0.070607,0,0,0,0.070607,0,0.107348,0,0.107348,0.107348,0.070607,0,0,0,0.137822,0.137906,0.999389,-73.299496,-73.353078,0.99927,0
24,ENST00000445551.1,195,0.07772,1,0,0.124832,0.025845,0,0.068919,0.025845,0.120377,0.025845,0,0.025845,0.079216,0.025845,0.043075,0.088261,0.025845,0.068919,0.096265,0.043075,0.043075,0.025845,0.043075,0.073508,0.072639,1.011963,-17.599122,-17.830227,0.987039,0
25,ENST00000457061.1,84,0.163424,1,0,0.082198,0,0.082198,0,0.082198,0.104088,0,0,0.142504,0.082198,0.104088,0.052044,0,0,0,0.052044,0,0.082198,0.052044,0.082198,0.112228,0.113895,0.985366,-47.153815,-46.366893,1.016972,0
26,ENST00000443284.1,117,0.265909,1,0,0,0.058372,0.036057,0,0,0.058372,0.036057,0.089261,0.075501,0.100517,0.058372,0.058372,0,0.089261,0.058372,0.075501,0.058372,0.075501,0.036057,0.036057,0.093354,0.094835,0.984385,-32.293829,-31.757486,1.016889,0
27,ENST00000436033.1,105,0.253623,-1,0,0,0.061057,0.037922,0,0,0.061057,0.037922,0.092541,0.078611,0.092541,0.061057,0.061057,0,0.061057,0.061057,0.078611,0.061057,0.078611,0.037922,0.037922,0.099048,0.100458,0.985963,-36.591537,-36.047191,1.015101,0
28,ENST00000439156.2,216,0.120133,1,0,0.047204,0.065971,0.035502,0.073726,0.047204,0.065971,0.035502,0.021198,0.047204,0.086856,0.047204,0.035502,0.080647,0.047204,0.047204,0.057216,0.057216,0.065971,0.035502,0,0.069591,0.069867,0.99605,-15.638464,-15.611956,1.001698,0
29,ENST00000600103.1,159,0.226496,-1,0,0.043991,0.069373,0.069373,0.026648,0.026648,0.069373,0.043991,0.069373,0.079227,0.043991,0.043991,0.057822,0,0.057822,0.043991,0.069373,0.087731,0.043991,0.026648,0.026648,0.079822,0.081168,0.983416,-22.517956,-22.156461,1.016316,0
30,ENST00000430605.1,39,0.183099,1,0,0.098856,0,0,0,0.142561,0,0.098856,0,0.098856,0.16545,0.098856,0,0,0.098856,0,0.098856,0,0,0,0.098856,0.17032,0.171411,0.993636,-115.079922,-114.329617,1.006563,0
31,ENST00000439024.1,147,0.428571,1,0,0,0.064437,0,0.077001,0.02999,0.087608,0.02999,0.04924,0.064437,0.02999,0.02999,0.087608,0,0.087608,0.077001,0.077001,0.04924,0.064437,0.02999,0.064437,0.084878,0.086588,0.980251,-25.00419,-24.588893,1.01689,0
32,ENST00000432294.1,69,0.179688,-1,0,0.053513,0,0,0,0.083366,0.053513,0.083366,0.053513,0.083366,0.053513,0.083366,0.053513,0,0.104289,0.053513,0.104289,0.053513,0,0,0.083366,0.124633,0.126187,0.987681,-59.433111,-58.866515,1.009625,0
33,ENST00000554749.1,456,0.108159,1,0,0.085018,0.027829,0.034381,0.040335,0.027829,0.085018,0.055635,0.034381,0.060081,0.071935,0.020472,0.020472,0.081996,0.045813,0.068206,0.071935,0.050894,0.060081,0.045813,0.011877,0.047857,0.04766,1.00413,-6.433113,-6.432943,1.000026,0
34,ENST00000566942.1,102,0.029302,1,0,0,0,0.0977,0,0.0977,0.047487,0,0.128145,0.076147,0.128145,0.047487,0,0,0.047487,0,0.138917,0,0.114638,0,0.076147,0.104821,0.107197,0.977831,-38.005164,-37.058072,1.025557,0
35,ENST00000562952.1,399,0.066667,1,0,0.046039,0.046039,0,0.039342,0.091761,0.046039,0.031934,0.080941,0.031934,0.106164,0.039342,0.063085,0.046039,0.02357,0.031934,0.07258,0.039342,0.098011,0.052169,0.013735,0.052963,0.056381,0.939369,-7.520192,-6.931442,1.084939,0
36,ENST00000445680.1,159,0.383133,1,0,0.05032,0.05032,0.05032,0,0,0.05032,0,0.05032,0.030513,0.127314,0.030513,0.030513,0.1084,0.09042,0.09042,0.100057,0.079229,0.030513,0.030513,0,0.080343,0.080252,1.001138,-22.480974,-22.482102,0.99995,0
37,ENST00000416099.1,231,0.319502,1,0,0.072662,0,0.034701,0.034701,0.034701,0.056177,0.034701,0.034701,0.04625,0.091588,0.056177,0.056177,0.0649,0.0649,0.085906,0.085906,0.0649,0.04625,0.034701,0,0.066206,0.066871,0.990055,-14.677066,-14.549798,1.008747,0
38,ENST00000457043.1,75,0.138889,1,0,0,0,0,0.05473,0,0,0,0.107431,0.123425,0.107431,0.05473,0.05473,0.085586,0.05473,0.107431,0.085586,0.05473,0.05473,0,0.05473,0.118253,0.119542,0.989219,-53.618103,-52.809681,1.015308,0
39,ENST00000425109.2,108,0.146939,1,0,0.077894,0.0605,0.037576,0.077894,0.037576,0.0605,0.0605,0.077894,0.037576,0.091697,0.091697,0.037576,0.037576,0.0605,0,0.037576,0.077894,0,0,0.037576,0.097134,0.097341,0.997873,-35.167811,-35.071403,1.002749,0
40,ENST00000389897.3,177,0.178427,1,0,0.055481,0.025353,0.06679,0.042051,0.025353,0.025353,0.06679,0.025353,0.042051,0.092422,0.055481,0.025353,0.055481,0.042051,0.084994,0.104706,0.042051,0.055481,0.042051,0.025353,0.077211,0.077899,0.991166,-19.597832,-19.524037,1.00378,0
41,ENST00000445097.2,171,0.059853,1,0,0.028243,0.028243,0.061604,0.028243,0.028243,0.046759,0.120873,0.074065,0.046759,0.074065,0.028243,0,0.046759,0.028243,0.028243,0.061604,0.133205,0.028243,0.046759,0.061604,0.190069,0.190793,0.996204,-21.548578,-21.226072,1.015194,0
42,ENST00000411804.1,183,0.25884,1,0,0.065178,0.054076,0.04093,0.024636,0,0.04093,0.065178,0.074759,0.054076,0.083128,0.04093,0.054076,0.074759,0.04093,0.024636,0.065178,0.090491,0.065178,0,0.04093,0.075355,0.076426,0.985985,-19.093792,-18.801459,1.015548,0
43,ENST00000443642.1,117,0.172312,1,0,0,0.061275,0,0,0.03785,0.123216,0.061275,0.061275,0.03785,0.061275,0.061275,0,0.079256,0.061275,0.093701,0.105517,0.03785,0.03785,0,0.079256,0.094116,0.093458,1.007045,-31.990498,-32.196911,0.993589,0
44,ENST00000428641.1,195,0.450346,1,0,0.051578,0.038941,0.051578,0.079791,0.051578,0.062305,0.038941,0.023365,0.051578,0.079791,0.023365,0.038941,0.087027,0.023365,0.023365,0.093458,0.079791,0.038941,0.038941,0.023365,0.075785,0.076296,0.993313,-18.189681,-18.036346,1.008501,0
45,ENST00000526176.1,45,0.078397,1,0,0,0,0.134911,0,0,0.134911,0,0,0.090661,0.161643,0.134911,0,0.090661,0,0,0.161643,0.090661,0,0,0,0.157539,0.158298,0.995208,-96.764771,-96.221343,1.005648,0
