,Seqname,0,1,2,3,4,5,6
0,ENST00000608007.1,0.450605,0.456023,0.454111,0.441683,0.000176,0.000183,0.000187
1,ENST00000400991.6,0.498943,0.494715,0.475687,0.526427,0.002089,0.002141,0.002366
2,ENST00000368242.7,0.547866,0.529412,0.595156,0.519031,0.005107,0.005192,0.00548
3,ENST00000673141.1,0.524731,0.526882,0.587097,0.460215,0.012036,0.012026,0.011844
4,ENST00000471156.5,0.52356,0.589005,0.494764,0.486911,0.009488,0.009151,0.008966
5,ENST00000368243.6,0.518478,0.580435,0.495652,0.479348,0.008678,0.009011,0.00911
6,ENST00000497824.5,0.536552,0.6,0.529655,0.48,0.010668,0.010329,0.010341
7,ENST00000488498.2,0.528488,0.545455,0.532886,0.507122,0.001133,0.00115,0.001146
8,ENST00000465270.5,0.569061,0.569061,0.502762,0.635359,0.013473,0.013437,0.013937
9,ENST00000462458.5,0.479618,0.469552,0.502768,0.466532,0.001212,0.001189,0.001241
10,ENST00000486517.5,0.581267,0.578512,0.57438,0.590909,0.000255,0.000276,0.000312
11,ENST00000465570.1,0.49053,0.556818,0.448864,0.465909,0.00987,0.009343,0.009701
12,ENST00000310027.9,0.537791,0.505814,0.579942,0.527616,0.004416,0.00462,0.004374
13,ENST00000497822.5,0.618081,0.702952,0.54797,0.603321,0.018196,0.017717,0.018181
14,ENST00000492750.5,0.551579,0.625263,0.498947,0.530526,0.01266,0.013483,0.013949
15,ENST00000482932.5,0.596852,0.602906,0.606538,0.581114,0.000523,0.000501,0.000572
16,ENST00000489918.1,0.580796,0.540984,0.611241,0.590164,0.004114,0.004506,0.004234
17,ENST00000489877.5,0.574627,0.610075,0.565299,0.548507,0.002851,0.002619,0.002538
18,ENST00000476966.5,0.536151,0.546162,0.548387,0.513904,0.001099,0.001084,0.001065
19,ENST00000463309.5,0.620438,0.643796,0.648175,0.569343,0.005714,0.005594,0.005827
20,ENST00000464203.1,0.603133,0.650131,0.571802,0.587467,0.005013,0.004811,0.004596
21,ENST00000469813.1,0.496508,0.499048,0.512381,0.478095,0.000878,0.000872,0.000826
22,ENST00000495000.1,0.497709,0.48121,0.508708,0.503208,0.000666,0.00074,0.000694
23,ENST00000663987.1,0.471795,0.476923,0.511538,0.426923,0.00536,0.005375,0.005597
24,ENST00000441085.6,0.488981,0.454545,0.475207,0.53719,0.005739,0.005966,0.00604
25,ENST00000656222.1,0.508883,0.506345,0.521574,0.498731,0.000394,0.000414,0.000496
26,ENST00000452465.2,0.470245,0.444574,0.458576,0.507585,0.003399,0.003271,0.003337
27,ENST00000667036.1,0.478873,0.449424,0.522407,0.464789,0.004479,0.004315,0.004071
28,ENST00000521113.1,0.431304,0.412174,0.386087,0.495652,0.010072,0.01023,0.009931
29,ENST00000661636.1,0.432698,0.449591,0.428338,0.420163,0.000672,0.000709,0.000699
30,ENST00000521889.5,0.456522,0.401338,0.491639,0.476589,0.007207,0.006848,0.007086
31,ENST00000390159.3,0.422124,0.421024,0.39956,0.44579,0.001626,0.001622,0.001575
32,ENST00000518860.1,0.412568,0.42623,0.422131,0.389344,0.001169,0.001079,0.001133
33,ENST00000649108.1,0.36837,0.344262,0.381871,0.378978,0.001353,0.001278,0.001208
34,ENST00000649986.1,0.518929,0.457064,0.537396,0.562327,0.009241,0.008989,0.008905
35,ENST00000561002.2,0.509417,0.55426,0.468161,0.50583,0.005528,0.005719,0.005552
36,ENST00000671619.1,0.517409,0.534819,0.545265,0.472145,0.004634,0.004687,0.004775
37,ENST00000666762.1,0.48377,0.477513,0.471646,0.502151,0.000801,0.000813,0.000793
38,ENST00000653895.1,0.510015,0.49923,0.503852,0.526965,0.000733,0.000817,0.000782
39,ENST00000649111.1,0.484802,0.478723,0.481003,0.494681,0.000233,0.000222,0.000216
40,ENST00000648149.1,0.478062,0.473477,0.477407,0.483301,8.30E-05,7.00E-05,6.80E-05
41,ENST00000643648.1,0.45741,0.507585,0.423571,0.441074,0.005794,0.006049,0.006247
42,ENST00000647456.1,0.414862,0.432579,0.413386,0.398622,0.00085,0.000883,0.000887
43,ENST00000644461.1,0.416173,0.428571,0.42372,0.396226,0.000893,0.000859,0.000837
44,ENST00000646232.1,0.514286,0.495238,0.485714,0.561905,0.00556,0.005252,0.00569
45,ENST00000560203.1,0.469388,0.543367,0.436224,0.428571,0.011982,0.012848,0.013249
46,ENST00000557946.1,0.463654,0.430255,0.54224,0.418468,0.014029,0.01372,0.014422
47,ENST00000643127.1,0.485071,0.481645,0.497797,0.475771,0.000387,0.000395,0.000424
48,ENST00000645994.1,0.535088,0.605263,0.473684,0.526316,0.012667,0.011516,0.010338
49,ENST00000645416.2,0.39116,0.376243,0.39779,0.399448,0.000518,0.00049,0.000471
50,ENST00000409178.5,0.563868,0.558695,0.544369,0.58854,0.001546,0.001534,0.001495
51,ENST00000433505.5,0.530639,0.555411,0.520209,0.516297,0.001314,0.001473,0.001405
52,ENST00000401018.5,0.573392,0.564046,0.578889,0.57724,0.000211,0.000185,0.000201
53,ENST00000449572.2,0.52849,0.482906,0.594017,0.508547,0.010235,0.010519,0.010147
54,ENST00000667852.1,0.486088,0.493453,0.490998,0.473813,0.000321,0.000296,0.000277
55,ENST00000661136.1,0.432168,0.436364,0.448951,0.411189,0.001089,0.001075,0.001123
