,Seqname,0,1,2,3,4,5,6,7
0,ath-miR5020a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ath-miR403-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mtr-miR5280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mtr-miR2086-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gma-miR395a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,gma-miR169e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ath-miR164c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ath-miR824-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mtr-miR5562-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mtr-miR2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gma-miR164b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,gma-miR5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ath-miR834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ath-miR865-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,mtr-miR2586a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,mtr-miR2592bl-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gma-miR2118a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,gma-miR9729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ath-miR8177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ath-miR8170-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,mtr-miR5281a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,mtr-miR2629h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,gma-miR5368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ath-miR823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ath-miR780.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,mtr-miR5254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,mtr-miR319c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,gma-miR169l-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ath-miR158b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ath-miR10515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,mtr-miR2673a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,mtr-miR398a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,gma-miR9740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,gma-miR4380b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ath-miR399c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ath-miR864-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,mtr-miR2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,mtr-miR2592bm-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,gma-miR5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,gma-miR1514a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ath-miR851-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ath-miR866-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,mtr-miR5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,gma-miR156z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,gma-miR10413a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,ath-miR8181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ath-miR5645c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,mtr-miR169j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,mtr-miR2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,gma-miR398b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,gma-miR10420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,ath-miR402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,ath-miR1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,mtr-miR2086-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,gma-miR159b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,gma-miR172k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,ath-miR840-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,mtr-miR166d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,mtr-miR2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,gma-miR159c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,gma-miR10436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,ath-miR5660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,mtr-miR2592br-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,gma-miR167g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,gma-miR394b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,ath-miR831-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,ath-miR830-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,mtr-miR169d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,mtr-miR2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,gma-miR4387c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,gma-miR9735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,ath-miR858b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,mtr-miR168a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,mtr-miR2672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,gma-miR5225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,gma-miR9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ath-miR5650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,mtr-miR2668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,mtr-miR5274a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,gma-miR396f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,gma-miR4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,ath-miR5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,ath-miR2939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,mtr-miR2598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,gma-miR5037d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,gma-miR5030b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ath-miR162a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ath-miR395a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
