,Seqname,0,1,2,3,4
0,ENST00000448179.1,40.539024,9.010182,-0.497561,12467.0206,3.141343
1,ENST00000398216.2,73.343137,11.165876,-1.070588,5789.8501,2.715611
2,ENST00000417705.1,74.582031,8.481348,-1.064063,14022.4574,3.218622
3,ENST00000432961.1,54.9,7.785089,-0.220339,6272.0138,2.906682
4,ENST00000418300.1,102.235714,11.496147,-1.055102,11268.8088,2.991769
5,ENST00000444968.1,59.24,9.500077,1.54,1232.5788,2.116422
6,ENST00000413148.1,81.37561,8.382969,-0.309756,4707.5044,2.750166
7,ENST00000438002.1,45.941379,6.507974,-0.202069,15616.7296,3.380325
8,ENST00000451828.1,27.511321,5.461284,0.298113,6012.975,3.042189
9,ENST00000457856.1,59.966667,6.693041,0.648485,3625.151,2.734504
10,ENST00000569711.1,79.584706,6.724246,0.1,9185.4329,3.135774
11,ENST00000451424.1,62.069337,9.013148,0.322289,18266.8425,3.307001
12,ENST00000427154.1,29.69703,9.812233,-0.387129,11316.2098,3.06231
13,ENST00000437681.1,58.694118,11.999968,0.089412,9519.1724,2.899966
14,ENST00000454613.1,64.045082,10.743672,-0.136066,13100.3081,3.086485
15,ENST00000414763.1,66.847674,10.774037,-0.12093,9173.5518,2.930669
16,ENST00000515055.1,66.453279,9.458946,-0.295082,13562.5757,3.156802
17,ENST00000602618.1,48.953333,8.36524,-1.333333,1873.1637,2.352032
18,ENST00000466576.2,50.713793,6.551399,-0.768966,6559.3448,3.00096
19,ENST00000479395.2,46,7.933238,1.094118,2046.4491,2.413231
20,ENST00000450713.1,33.881481,4.783479,1.188889,3235.856,2.830887
21,ENST00000453015.1,51.828023,10.060243,-0.346512,9893.4711,2.993182
22,ENST00000414156.1,52.595455,5.548475,-0.136364,7254.0838,3.116741
23,ENST00000430643.1,143.733333,6.497629,-0.477778,2014.3135,2.492771
24,ENST00000445551.1,42.023438,7.958703,-0.279687,6313.9183,2.900004
25,ENST00000457061.1,21.259259,9.778516,-0.314815,3156.7826,2.510315
26,ENST00000443284.1,10.2,9.696126,0.084211,4419.2669,2.659704
27,ENST00000436033.1,6.868571,9.696126,0.182857,4049.8509,2.621879
28,ENST00000439156.2,52.647887,5.519089,-0.143662,7931.158,3.157771
29,ENST00000600103.1,16.40566,8.448405,-0.573585,5935.7075,2.847315
30,ENST00000430605.1,21.825,8.365949,0.666667,1497.8009,2.255358
