,Seqname,SLDLD: Structural logarithm distance to lncRNA of acguD,SLDPD: Structural logarithm distance to pcRNA of acguD,SLDRD: Structural logarithm distance acguD ratio,SLDLN: Structural logarithm distance to lncRNA of acguACGU,SLDPN: Structural logarithm distance to pcRNA of acguACGU,SLDRN: Structural logarithm distance acguACGU ratio,SDMFE: Secondary structural minimum free energy,SFPUS: Secondary structural UP frequency paired-unpaired,nMFE
0,ENST00000448179.1,-0.040962,-0.049291,0.831032,-0.040269,-0.042813,0.940576,-1286.5,0.12689,-0.422774
1,ENST00000398216.2,-0.654172,-0.691518,0.945993,-0.460991,-0.475981,0.968507,-178.6,0.126697,-0.40316
2,ENST00000417705.1,-0.105769,-0.126352,0.837098,-0.101094,-0.107539,0.940068,-638.7,0.122478,-0.459827
3,ENST00000432961.1,-0.313531,-0.350125,0.895484,-0.252819,-0.262779,0.962097,-263.1,0.125596,-0.417619
4,ENST00000418300.1,-0.606201,-0.653974,0.926949,-0.425803,-0.43756,0.973132,-150.1,0.129676,-0.373383
5,ENST00000444968.1,-0.633852,-0.635547,0.997333,-0.437405,-0.432638,1.011018,-108.1,0.127273,-0.277202
6,ENST00000413148.1,-0.391471,-0.394851,0.991439,-0.421543,-0.41957,1.004704,-152.5,0.105747,-0.349771
7,ENST00000438002.1,-0.042094,-0.055011,0.765191,-0.036558,-0.04117,0.887979,-994.1,0.115522,-0.394484
8,ENST00000451828.1,-0.585693,-0.611157,0.958334,-0.40481,-0.413799,0.978277,-116.1,0.124711,-0.267512
9,ENST00000457856.1,-0.413491,-0.443801,0.931703,-0.344094,-0.353783,0.972612,-135,0.118143,-0.284211
10,ENST00000569711.1,-0.051356,-0.060196,0.853148,-0.04061,-0.042751,0.949929,-789,0.117409,-0.319304
11,ENST00000451424.1,-0.014142,-0.01894,0.74666,-0.02331,-0.024779,0.940718,-1725,0.115038,-0.388251
12,ENST00000427154.1,-0.288545,-0.307935,0.937033,-0.265635,-0.269146,0.986955,-169.4,0.117293,-0.254354
13,ENST00000437681.1,-0.023041,-0.031999,0.720059,-0.037576,-0.039089,0.961292,-810.7,0.108687,-0.310138
14,ENST00000454613.1,-0.037187,-0.052065,0.71423,-0.04696,-0.051127,0.918494,-849.6,0.122535,-0.398686
15,ENST00000414763.1,-0.149589,-0.191257,0.78214,-0.15836,-0.172911,0.915848,-387.1,0.112867,-0.436415
16,ENST00000515055.1,-0.343319,-0.350201,0.980348,-0.244401,-0.24336,1.004276,-220,0.10961,-0.329835
17,ENST00000602618.1,-0.559997,-0.576477,0.971412,-0.490093,-0.483467,1.013705,-147.3,0.098291,-0.314073
18,ENST00000466576.2,-0.812714,-0.808577,1.005116,-0.587648,-0.576779,1.018844,-83.9,0.112022,-0.22861
19,ENST00000479395.2,-0.646066,-0.634521,1.018195,-0.502921,-0.481002,1.045569,-63.4,0.119792,-0.164675
20,ENST00000450713.1,-0.233203,-0.230626,1.011175,-0.233867,-0.227288,1.028944,-151.8,0.119205,-0.250909
21,ENST00000453015.1,-0.335788,-0.342323,0.980909,-0.251072,-0.247441,1.014675,-211.4,0.113003,-0.326739
22,ENST00000414156.1,-0.374016,-0.381932,0.979275,-0.275431,-0.2716,1.014103,-198.2,0.106796,-0.320194
23,ENST00000430643.1,-0.254014,-0.244489,1.038959,-0.269872,-0.257614,1.047586,-144.5,0.110553,-0.241639
24,ENST00000445551.1,-0.051158,-0.064201,0.796849,-0.043257,-0.047001,0.920346,-947.2,0.120016,-0.377521
25,ENST00000457061.1,-0.447525,-0.444346,1.007155,-0.310016,-0.298079,1.040046,-133.2,0.109162,-0.259144
26,ENST00000443284.1,-0.472866,-0.482557,0.979919,-0.433393,-0.437676,0.990213,-145.2,0.095672,-0.33
27,ENST00000436033.1,-0.63629,-0.647812,0.982213,-0.441752,-0.433812,1.018303,-132,0.118644,-0.318841
28,ENST00000439156.2,-0.027993,-0.03936,0.7112,-0.052341,-0.054,0.969266,-534.6,0.118531,-0.29733
29,ENST00000600103.1,-0.248642,-0.250598,0.992194,-0.204109,-0.197459,1.033675,-181.6,0.122682,-0.258689
30,ENST00000430605.1,-1.606976,-1.605974,1.000624,-1.14113,-1.11862,1.020123,-42.8,0.113208,-0.200939
31,ENST00000439024.1,-0.789014,-0.779808,1.011806,-0.650657,-0.633696,1.026766,-72.9,0.111111,-0.212536
32,ENST00000432294.1,-0.680706,-0.657003,1.036076,-0.545637,-0.517708,1.053948,-72.2,0.10705,-0.188021
33,ENST00000554749.1,-0.036768,-0.039423,0.932647,-0.029586,-0.030398,0.97328,-1597.4,0.108422,-0.37889
34,ENST00000566942.1,-0.03558,-0.034721,1.024745,-0.04673,-0.044054,1.060755,-756.07,0.099713,-0.217199
35,ENST00000562952.1,-0.019747,-0.021049,0.938163,-0.029297,-0.029082,1.007388,-1369.7,0.10361,-0.228755
36,ENST00000445680.1,-0.624353,-0.641001,0.974029,-0.463877,-0.459181,1.010227,-117.8,0.111111,-0.283855
37,ENST00000416099.1,-0.243036,-0.245173,0.991283,-0.21973,-0.211672,1.03807,-210.7,0.106648,-0.291425
38,ENST00000457043.1,-0.475731,-0.487429,0.976002,-0.372894,-0.367579,1.014461,-145.1,0.09833,-0.268704
39,ENST00000425109.2,-0.235941,-0.240433,0.981319,-0.217707,-0.21628,1.006599,-210.3,0.111717,-0.286122
40,ENST00000389897.3,-0.076429,-0.095569,0.799724,-0.124341,-0.127544,0.974887,-332.3,0.114026,-0.33498
41,ENST00000445097.2,-0.027805,-0.026279,1.058043,-0.042048,-0.038765,1.084681,-741.1,0.110994,-0.259398
42,ENST00000411804.1,-0.255888,-0.256846,0.996272,-0.262195,-0.255552,1.025994,-173.3,0.094901,-0.24512
43,ENST00000443642.1,-0.244621,-0.27755,0.881359,-0.224408,-0.232332,0.965896,-257.5,0.128319,-0.379234
44,ENST00000428641.1,-0.751414,-0.754826,0.99548,-0.471961,-0.463181,1.018957,-129.7,0.101852,-0.299538
45,ENST00000526176.1,-0.330412,-0.342223,0.965488,-0.29047,-0.290213,1.000886,-177,0.106457,-0.308362
46,ENST00000358073.2,-0.050687,-0.05905,0.858373,-0.051332,-0.053238,0.964199,-890.4,0.109781,-0.367327
47,ENST00000553157.1,-0.358404,-0.407808,0.878855,-0.255656,-0.272683,0.937558,-221.4,0.130909,-0.401815
48,ENST00000447832.1,-0.017526,-0.02533,0.691887,-0.023424,-0.02502,0.936188,-852.9,0.122662,-0.306688
49,ENST00000438597.1,-0.26261,-0.279299,0.940245,-0.261311,-0.265352,0.984771,-194.3,0.1232,-0.310383
50,ENST00000420350.1,-0.041113,-0.047721,0.861527,-0.087581,-0.087115,1.005341,-418.3,0.133888,-0.315344
51,ENST00000602806.1,-0.361625,-0.418346,0.864415,-0.25939,-0.275454,0.941681,-245.4,0.122896,-0.412437
52,ENST00000412855.2,-0.56506,-0.577206,0.978956,-0.412347,-0.417317,0.988089,-115.3,0.118483,-0.272577
53,ENST00000445817.1,-0.062793,-0.068824,0.912362,-0.054677,-0.054884,0.996212,-633.3,0.108629,-0.321309
54,ENST00000436377.1,-0.652185,-0.64884,1.005154,-0.495678,-0.482566,1.027172,-88.87,0.102138,-0.210592
55,ENST00000429227.1,-0.18261,-0.188735,0.96755,-0.161999,-0.160063,1.012093,-277.2,0.109573,-0.319355
56,ENST00000439562.1,-0.273073,-0.265648,1.027952,-0.261376,-0.250052,1.045286,-127.2,0.099567,-0.183285
57,ENST00000417765.1,-0.253144,-0.251948,1.004748,-0.177093,-0.170887,1.036311,-162.3,0.121685,-0.252804
58,ENST00000414894.1,-0.62187,-0.622894,0.998355,-0.49254,-0.482467,1.020879,-100.7,0.145604,-0.27589
59,ENST00000417273.1,-0.685607,-0.689084,0.994955,-0.544782,-0.535521,1.017294,-101.9,0.086247,-0.236977
60,ENST00000561542.1,-0.037299,-0.0389,0.958862,-0.048879,-0.047935,1.019702,-804.84,0.1,-0.248331
61,ENST00000562082.1,-0.049297,-0.050275,0.980553,-0.064782,-0.062343,1.03912,-529.3,0.102441,-0.230632
62,ENST00000580623.1,-0.26733,-0.261745,1.021337,-0.280605,-0.270499,1.03736,-135.3,0.128801,-0.241607
63,ENST00000445450.1,-0.758633,-0.774185,0.979913,-0.563107,-0.552645,1.01893,-87.3,0.108179,-0.229737
64,ENST00000486015.1,-0.244841,-0.300395,0.815065,-0.253895,-0.273942,0.92682,-288.2,0.108453,-0.458917
65,ENST00000484411.1,-0.096572,-0.127201,0.759205,-0.089934,-0.101518,0.885888,-509.3,0.126335,-0.452711
66,ENST00000527641.1,-0.245362,-0.295736,0.829667,-0.27961,-0.302129,0.925465,-227.8,0.134168,-0.406786
67,ENST00000420424.1,-0.062144,-0.065873,0.943391,-0.063192,-0.061649,1.025034,-547,0.099775,-0.245732
68,ENST00000439559.2,-0.013767,-0.023906,0.57588,-0.028216,-0.030659,0.920317,-1173,0.110164,-0.35686
69,ENST00000562983.1,-0.099296,-0.096123,1.033011,-0.127394,-0.119774,1.06362,-313.8,0.105478,-0.256373
70,ENST00000427300.1,-0.826804,-0.843874,0.979773,-0.572477,-0.570789,1.002957,-98.6,0.113402,-0.25347
71,ENST00000449197.1,-0.393123,-0.381479,1.030524,-0.323969,-0.309427,1.046997,-126.6,0.111111,-0.242065
72,ENST00000427846.1,-0.206509,-0.215404,0.958708,-0.185402,-0.18277,1.014403,-204,0.11631,-0.272363
73,ENST00000444375.1,-0.233726,-0.242389,0.96426,-0.201851,-0.198957,1.014545,-144.3,0.11039,-0.233874
74,ENST00000594818.1,-0.500086,-0.510527,0.979548,-0.371549,-0.379236,0.979732,-160.6,0.135135,-0.360899
75,ENST00000597488.1,-0.040524,-0.048991,0.82718,-0.056163,-0.057441,0.977748,-712.2,0.11874,-0.367492
76,ENST00000598368.1,-0.033733,-0.040864,0.825478,-0.045913,-0.047322,0.970206,-797,0.108891,-0.324908
77,ENST00000564352.1,-0.021029,-0.026466,0.794562,-0.024673,-0.025397,0.971523,-1516.2,0.109065,-0.357848
78,ENST00000424371.2,-0.491891,-0.505514,0.973053,-0.410933,-0.413841,0.992973,-139.2,0.130152,-0.301299
79,ENST00000423419.1,-0.521727,-0.532825,0.979171,-0.425541,-0.422867,1.006323,-133.24,0.104034,-0.282288
80,ENST00000421206.1,-0.646878,-0.631102,1.024998,-0.493951,-0.474147,1.041768,-94.4,0.120301,-0.236
81,ENST00000528844.1,-0.283026,-0.291714,0.970216,-0.248898,-0.249783,0.996456,-212.1,0.097629,-0.294011
82,ENST00000531977.1,-0.290422,-0.293732,0.988731,-0.281945,-0.275287,1.024184,-167,0.108844,-0.283531
