,Seqname,0,1,2,3,4
0,ath-miR5020a,0.4462,0.0,0.0,1.0,0.107885
1,ath-miR403-5p,0.4084,0.0,0.0,4.0,0.431541
2,mtr-miR5280,0.5574,1.0,0.310667,0.0,5.1e-05
3,mtr-miR2086-3p,1.0025,0.0,0.0,1.0,0.107885
4,gma-miR395a,0.7469,0.0,0.0,1.0,0.107885
5,gma-miR169e,0.7713,1.0,0.328459,1.0,0.107885
6,ath-miR164c-5p,0.752,0.0,0.0,0.0,0.0
7,ath-miR824-5p,0.4893,1.0,0.323515,1.0,0.108098
8,mtr-miR5562-3p,1.126,0.0,0.0,0.0,0.0
9,mtr-miR2604,0.5461,1.0,0.323515,1.0,0.104662
10,gma-miR164b,0.7663,0.0,0.0,0.0,0.0
11,gma-miR5044,0.7748,1.0,0.318929,1.0,0.103199
12,ath-miR834,1.2532,3.0,0.970546,9.0,0.94196
13,ath-miR865-5p,1.0176,0.0,0.0,3.0,0.323684
14,mtr-miR2586a,0.8916,0.0,0.0,0.0,0.0
15,mtr-miR2592bl-5p,0.4697,1.0,0.318929,1.0,0.101716
16,gma-miR2118a-3p,1.1713,0.0,0.0,0.0,0.0
17,gma-miR9729,0.9284,1.0,0.310667,1.0,0.098973
18,ath-miR8177,0.5483,2.0,0.637858,4.0,0.406863
19,ath-miR8170-3p,0.4451,0.0,0.0,1.0,0.111428
20,mtr-miR5281a,0.8629,1.0,0.310667,1.0,0.09777
21,mtr-miR2629h,0.9986,0.0,0.0,1.0,0.09901
22,gma-miR5368,0.6441,0.0,0.0,1.0,0.115344
23,ath-miR823,0.7895,1.0,0.323515,1.0,0.106286
24,ath-miR780.2,0.8164,0.0,0.0,1.0,0.107885
25,mtr-miR5254,0.9712,1.0,0.323515,1.0,0.104662
26,mtr-miR319c-5p,0.6159,0.0,0.0,0.0,0.0
27,gma-miR169l-3p,0.9592,0.0,0.0,0.0,0.0
28,ath-miR158b,0.7574,1.0,0.328459,1.0,0.107885
29,ath-miR10515,1.2597,0.0,0.0,0.0,0.0
30,mtr-miR2673a,0.8223,0.0,0.0,0.0,0.0
31,mtr-miR398a-3p,0.4413,0.0,0.0,0.0,0.0
32,gma-miR9740,0.8776,1.0,0.323515,1.0,0.108098
33,gma-miR4380b,0.9323,1.0,0.318929,1.0,0.101716
34,ath-miR399c-5p,0.8718,0.0,0.0,0.0,0.0
35,ath-miR864-5p,0.434,0.0,0.0,1.0,0.109671
36,mtr-miR2654,0.7979,0.0,0.0,0.0,0.0
37,mtr-miR2592bm-5p,0.934,0.0,0.0,0.0,0.0
38,gma-miR5043,0.9055,0.0,0.0,0.0,0.0
39,gma-miR1514a-5p,0.8039,0.0,0.0,1.0,0.109671
40,ath-miR851-5p,0.8642,0.0,0.0,0.0,0.0
41,ath-miR866-5p,0.8093,1.0,0.323515,1.0,0.104662
42,mtr-miR5251,1.1384,0.0,0.0,4.0,0.445712
43,gma-miR156z,0.7481,0.0,0.0,1.0,0.1197
44,gma-miR10413a,0.9219,1.0,0.318929,1.0,0.101716
45,ath-miR8181,0.7356,0.0,0.0,1.0,0.115344
46,ath-miR5645c,0.8228,0.0,0.0,1.0,0.109671
47,mtr-miR169j,0.8934,1.0,0.323515,1.0,0.106286
48,mtr-miR2640,1.1104,0.0,0.0,0.0,0.0
49,gma-miR398b-5p,0.8149,1.0,0.318929,1.0,0.101716
50,gma-miR10420,0.8246,0.0,0.0,1.0,0.1197
51,ath-miR402,1.1395,1.0,0.318929,1.0,0.101716
52,ath-miR1887,0.703,1.0,0.323515,0.0,7.9e-05
53,mtr-miR2086-5p,0.7311,0.0,0.0,0.0,0.0
54,gma-miR159b-5p,1.1289,0.0,0.0,0.0,0.0
55,gma-miR172k,1.1433,1.0,0.323515,3.0,0.32368
56,ath-miR840-3p,0.8371,0.0,0.0,4.0,0.445712
57,mtr-miR166d,0.9415,0.0,0.0,0.0,0.0
58,mtr-miR2675,0.8945,0.0,0.0,0.0,0.0
59,gma-miR159c,0.8623,0.0,0.0,1.0,0.107885
60,gma-miR10436,0.8984,1.0,0.310667,1.0,0.096514
61,ath-miR5660,0.97,0.0,0.0,1.0,0.111428
62,mtr-miR2592br-5p,0.8261,1.0,0.323515,1.0,0.104662
63,gma-miR167g,0.7753,1.0,0.318929,0.0,6.8e-05
64,gma-miR394b-3p,0.7591,0.0,0.0,0.0,0.0
65,ath-miR831-3p,1.0549,1.0,0.318929,1.0,0.101716
66,ath-miR830-3p,0.9041,2.0,0.647031,4.0,0.418649
67,mtr-miR169d-3p,0.9859,0.0,0.0,0.0,0.0
68,mtr-miR2626,0.9173,1.0,0.323515,1.0,0.104662
69,gma-miR4387c,0.9395,1.0,0.310667,3.0,0.297045
70,gma-miR9735,0.6544,0.0,0.0,1.0,0.09901
71,ath-miR858b,0.7128,0.0,0.0,0.0,0.0
72,mtr-miR168a,0.8401,0.0,0.0,0.0,0.0
73,mtr-miR2672,0.7148,0.0,0.0,1.0,0.104662
74,gma-miR5225,0.9796,0.0,0.0,4.0,0.418649
75,gma-miR9738,0.8029,1.0,0.318929,1.0,0.103199
76,ath-miR5650,0.503,0.0,0.0,1.0,0.107885
77,mtr-miR2668,0.8545,0.0,0.0,1.0,0.107885
78,mtr-miR5274a,0.9429,1.0,0.310667,1.0,0.096514
79,gma-miR396f,0.8707,0.0,0.0,1.0,0.09901
80,gma-miR4391,1.2299,0.0,0.0,1.0,0.101716
81,ath-miR5658,1.1145,0.0,0.0,36.0,3.883865
82,ath-miR2939,0.7172,1.0,0.323515,1.0,0.106286
83,mtr-miR2598,1.1282,0.0,0.0,4.0,0.431541
