,Seqname,0,1,2,3,4,5,6,7,8
0,ENST00000608007.1,-0.028967,-0.032162,0.900674,-0.038226,-0.037129,1.029534,-964.7,0.11189,-0.307425
1,ENST00000400991.6,-0.501692,-0.515523,0.97317,-0.420179,-0.410404,1.023819,-144.8,0.122881,-0.306131
2,ENST00000368242.7,-0.24696,-0.265499,0.930174,-0.199468,-0.202913,0.98302,-314.2,0.116628,-0.362399
3,ENST00000673141.1,-0.08416,-0.09814,0.857556,-0.082978,-0.08505,0.975632,-492.6,0.11693,-0.353118
4,ENST00000471156.5,-0.241684,-0.25579,0.944854,-0.184902,-0.182865,1.01114,-260.9,0.121887,-0.341492
5,ENST00000368243.6,-0.234613,-0.25004,0.938303,-0.199168,-0.196118,1.015549,-305.7,0.103373,-0.332283
6,ENST00000497824.5,-0.291952,-0.314617,0.927959,-0.243961,-0.242008,1.008073,-249.1,0.110497,-0.343586
7,ENST00000488498.2,-0.016452,-0.020508,0.802229,-0.026552,-0.027534,0.964328,-2088.3,0.108318,-0.437432
8,ENST00000465270.5,-0.396509,-0.419157,0.945968,-0.280448,-0.282223,0.99371,-214.7,0.138376,-0.395396
9,ENST00000462458.5,-0.06206,-0.065316,0.95015,-0.063722,-0.061483,1.036416,-655.2,0.110272,-0.329743
10,ENST00000486517.5,-0.274181,-0.297016,0.923121,-0.184712,-0.193739,0.953403,-293.9,0.129655,-0.404821
11,ENST00000465570.1,-0.449351,-0.45946,0.977997,-0.374543,-0.367519,1.019112,-167.5,0.121442,-0.317235
12,ENST00000310027.9,-0.302983,-0.319205,0.949182,-0.237756,-0.235924,1.007767,-222.6,0.114993,-0.323547
13,ENST00000497822.5,-0.435079,-0.467436,0.930778,-0.26776,-0.280642,0.954099,-223.4,0.134935,-0.412177
14,ENST00000492750.5,-0.523158,-0.547182,0.956096,-0.405484,-0.411578,0.985194,-156.2,0.126582,-0.328842
15,ENST00000482932.5,-0.216795,-0.243729,0.88949,-0.182257,-0.189691,0.96081,-339.3,0.123636,-0.410775
16,ENST00000489918.1,-0.558763,-0.597289,0.935498,-0.4132,-0.428192,0.964987,-146.1,0.133803,-0.342155
17,ENST00000489877.5,-0.382453,-0.406433,0.940999,-0.327459,-0.337145,0.971271,-195.5,0.119626,-0.364739
18,ENST00000476966.5,-0.059153,-0.066061,0.895425,-0.048831,-0.049746,0.981608,-1050.7,0.113872,-0.389581
19,ENST00000463309.5,-0.326037,-0.354762,0.919031,-0.23703,-0.245418,0.965819,-297.3,0.115497,-0.434015
20,ENST00000464203.1,-0.281432,-0.308229,0.91306,-0.200524,-0.208487,0.961806,-318.8,0.121569,-0.416188
21,ENST00000469813.1,-0.074524,-0.081819,0.910845,-0.07308,-0.072566,1.007091,-542.9,0.111817,-0.344698
22,ENST00000495000.1,-0.114125,-0.124184,0.919001,-0.120763,-0.119747,1.00849,-381.8,0.116514,-0.349954
23,ENST00000663987.1,-0.247265,-0.259546,0.952684,-0.178373,-0.177698,1.003798,-235.9,0.109114,-0.302436
24,ENST00000441085.6,-0.178482,-0.193993,0.920047,-0.153213,-0.154129,0.994058,-237.8,0.111724,-0.327548
25,ENST00000656222.1,-0.131055,-0.152874,0.857277,-0.15259,-0.155527,0.981117,-274.6,0.113088,-0.348477
26,ENST00000452465.2,-0.155084,-0.171366,0.904983,-0.142909,-0.145542,0.981906,-272.2,0.109813,-0.31762
27,ENST00000667036.1,-0.227535,-0.238015,0.955969,-0.17969,-0.18057,0.995129,-255.2,0.1,-0.326761
28,ENST00000521113.1,-0.325702,-0.332984,0.978129,-0.284118,-0.277994,1.022031,-159.8,0.102787,-0.277913
