,Seqname,FickS: Fickett score,SCCou: Stop codon count,SCFre: Stop codon frequency,SCCFS: Stop codon count frame score,SCFFS: Stop codon frequency frame score
0,ENST00000448179.1,0.4499,21.0,2.618151,273.0,4.24462
1,ENST00000398216.2,0.4983,3.0,0.49214,3.0,0.080884
2,ENST00000417705.1,0.482,11.0,1.519954,1.0,0.019097
3,ENST00000432961.1,0.5851,7.0,1.085725,7.0,0.168246
4,ENST00000418300.1,0.6167,4.0,0.666785,1.0,0.027973
5,ENST00000444968.1,0.4427,6.0,1.006978,3.0,0.084206
6,ENST00000413148.1,0.3844,12.0,1.973706,37.0,1.000258
7,ENST00000438002.1,0.4784,17.0,2.170468,336.0,5.477536
8,ENST00000451828.1,0.4345,3.0,0.493799,9.0,0.244486
9,ENST00000453554.1,0.4529,11.0,1.497806,13.0,0.241122
10,ENST00000457856.1,0.6024,3.0,0.486585,13.0,0.34229
11,ENST00000569711.1,0.4588,33.0,4.223847,73.0,1.196162
12,ENST00000451424.1,0.4923,57.0,6.786272,7.0,0.099359
13,ENST00000427154.1,0.5295,9.0,1.384021,13.0,0.307412
14,ENST00000437681.1,0.4263,44.0,5.591548,36.0,0.581438
15,ENST00000454613.1,0.5661,18.0,2.348393,67.0,1.140487
16,ENST00000414763.1,0.7511,11.0,1.620275,49.0,1.062853
17,ENST00000443076.1,0.7065,3.0,0.490172,4.0,0.107075
18,ENST00000515055.1,0.7305,10.0,1.537447,7.0,0.165223
19,ENST00000602618.1,0.6278,3.0,0.487588,63.0,1.666009
20,ENST00000466576.2,0.7659,4.0,0.677039,19.0,0.54512
21,ENST00000479395.2,0.3922,11.0,1.846928,37.0,1.042413
22,ENST00000450713.1,0.4252,11.0,1.716904,21.0,0.512105
23,ENST00000453015.1,0.6433,15.0,2.316999,100.0,2.385139
24,ENST00000418149.1,0.5247,4.0,0.663011,1.0,0.027496
25,ENST00000414156.1,0.6007,12.0,1.866333,37.0,0.894375
26,ENST00000430643.1,0.4002,15.0,2.345487,7.0,0.170455
27,ENST00000445551.1,0.4884,22.0,2.81041,28.0,0.456866
28,ENST00000457061.1,0.5274,10.0,1.601495,3.0,0.07752
29,ENST00000443284.1,0.6298,6.0,0.985376,3.0,0.081187
30,ENST00000436033.1,0.5711,6.0,0.995309,19.0,0.522925
31,ENST00000439156.2,0.4517,28.0,3.735831,1.0,0.017695
32,ENST00000600103.1,0.5553,20.0,3.05094,124.0,2.884015
33,ENST00000430605.1,0.6187,4.0,0.745438,3.0,0.104832
34,ENST00000439024.1,0.7758,5.0,0.85607,0.0,1e-06
35,ENST00000432294.1,0.4836,6.0,1.007854,9.0,0.254944
36,ENST00000554749.1,0.4766,43.0,5.151626,16.0,0.229462
37,ENST00000566942.1,0.3568,78.0,9.56426,148.0,2.226126
38,ENST00000562952.1,0.4126,96.0,11.038062,1369.0,18.10242
39,ENST00000445680.1,0.6136,4.0,0.663275,1.0,0.027518
40,ENST00000416099.1,0.6109,11.0,1.670516,75.0,1.730016
41,ENST00000457043.1,0.4317,10.0,1.588961,12.0,0.3036
42,ENST00000425109.2,0.5763,13.0,1.96933,43.0,0.986445
43,ENST00000389897.3,0.486,16.0,2.318595,79.0,1.658497
44,ENST00000445097.2,0.3494,55.0,6.911391,81.0,1.280316
45,ENST00000411804.1,0.3885,14.0,2.133352,4.0,0.092541
46,ENST00000443642.1,0.7752,3.0,0.459975,16.0,0.376583
47,ENST00000428641.1,0.6167,6.0,0.987972,13.0,0.352209
48,ENST00000526176.1,0.4273,15.0,2.36058,28.0,0.69319
49,ENST00000358073.2,0.4656,28.0,3.592698,129.0,2.123592
50,ENST00000553157.1,0.7275,6.0,0.950337,7.0,0.175409
51,ENST00000447832.1,0.465,35.0,4.413104,12.0,0.190949
52,ENST00000438597.1,0.4524,12.0,1.86308,7.0,0.168625
53,ENST00000420350.1,0.4643,18.0,2.50403,21.0,0.406387
54,ENST00000602806.1,0.6714,7.0,1.09542,7.0,0.171183
55,ENST00000412855.2,0.7423,7.0,1.157076,9.0,0.2461
56,ENST00000445817.1,0.5115,22.0,2.899772,67.0,1.165025
57,ENST00000436377.1,0.4342,4.0,0.661444,28.0,0.767658
58,ENST00000429227.1,0.4585,12.0,1.773222,3.0,0.065819
59,ENST00000439562.1,0.3378,16.0,2.445021,37.0,0.863039
60,ENST00000417765.1,0.492,10.0,1.546517,57.0,1.364071
61,ENST00000414894.1,0.4706,9.0,1.524743,48.0,1.377525
62,ENST00000417273.1,0.6643,5.0,0.824252,25.0,0.680955
63,ENST00000561542.1,0.3996,67.0,8.288032,481.0,7.358694
64,ENST00000562082.1,0.3671,44.0,5.685545,133.0,2.222113
65,ENST00000580623.1,0.4618,3.0,0.473955,57.0,1.424493
66,ENST00000445450.1,0.6986,6.0,1.009625,7.0,0.198055
