,Seqname,0,1,2,3,4
0,hsv1-miR-H1-5p,8.333333,4.529693,-0.966667,719.8073,2.203872
1,hsv1-miR-H2-5p,0,0,0,0,0
2,hsv1-miR-H2-3p,0,0,0,0,0
3,hsv1-miR-H3-3p,0,0,0,0,0
4,hsv1-miR-H4-5p,0,0,0,0,0
5,hsv1-miR-H4-3p,0,0,0,0,0
6,hsv1-miR-H5-3p,0,0,0,0,0
7,hsv1-miR-H6-3p,0,0,0,0,0
8,hsv1-miR-H7-5p,0,0,0,0,0
9,hsv1-miR-H7-3p,0,0,0,0,0
10,hsv1-miR-H8-5p,0,0,0,0,0
11,hsv1-miR-H8-3p,0,0,0,0,0
12,hsv1-miR-H11,0,0,0,0,0
13,hsv1-miR-H12,0,0,0,0,0
14,hsv1-miR-H13,0,0,0,0,0
15,hsv1-miR-H14-5p,0,0,0,0,0
16,hsv1-miR-H14-3p,0,0,0,0,0
17,hsv1-miR-H15,0,0,0,0,0
18,hsv1-miR-H16,0,0,0,0,0
19,hsv1-miR-H17,0,0,0,0,0
20,hsv1-miR-H18,0,0,0,0,0
21,hsv1-miR-H1-3p,0,0,0,0,0
22,hsv1-miR-H3-5p,0,0,0,0,0
23,hsv1-miR-H5-5p,0,0,0,0,0
24,hsv1-miR-H6-5p,0,0,0,0,0
25,hsv1-miR-H26,0,0,0,0,0
26,hsv2-miR-H3,0,0,0,0,0
27,hsv2-miR-H4-5p,0,5.275022,1.9,149.2113,1.466666
28,hsv2-miR-H4-3p,0,0,0,0,0
29,hsv2-miR-H2,-32.7,9.500077,-1.3,305.397,1.520441
30,hsv2-miR-H7-5p,0,0,0,0,0
31,hsv2-miR-H9-3p,0,0,0,0,0
32,hsv2-miR-H10,0,0,0,0,0
33,hsv2-miR-H11-3p,0,0,0,0,0
34,hsv2-miR-H12,0,0,0,0,0
35,hsv2-miR-H13,0,0,0,0,0
36,hsv2-miR-H20,0,0,0,0,0
37,hsv2-miR-H22,0,0,0,0,0
38,hsv2-miR-H23-5p,0,0,0,0,0
39,hsv2-miR-H23-3p,0,0,0,0,0
40,hsv2-miR-H24,0,0,0,0,0
41,hsv2-miR-H25,0,0,0,0,0
42,hsv2-miR-H7-3p,0,0,0,0,0
43,hsv2-miR-H9-5p,0,0,0,0,0
44,hsv2-miR-H5,0,0,0,0,0
45,hsv2-miR-H6-5p,-4.233333,4.050028,-0.666667,652.7379,2.209967
46,hsv2-miR-H6-3p,0,0,0,0,0
47,hcmv-miR-UL22A-5p,0,0,0,0,0
48,hcmv-miR-UL22A-3p,7.5,5.272749,3.1,464.6428,1.949983
49,hcmv-miR-UL112-3p,0,0,0,0,0
50,hcmv-miR-UL148D,0,0,0,0,0
51,hcmv-miR-US5-1,0,0,0,0,0
52,hcmv-miR-US5-2-3p,59.214286,5.275022,1.514286,737.9284,2.148883
53,hcmv-miR-US25-1-5p,0,0,0,0,0
54,hcmv-miR-US25-2-5p,0,5.275022,1.9,149.2113,1.466666
55,hcmv-miR-US25-2-3p,0,0,0,0,0
56,hcmv-miR-US33-5p,0,0,0,0,0
57,hcmv-miR-US4-5p,224.7,5.275022,0.55,236.2886,1.660807
58,hcmv-miR-UL70-5p,0,0,0,0,0
59,hcmv-miR-UL70-3p,32.68,9.500077,-0.42,619.7361,1.821087
60,hcmv-miR-UL36-3p,0,0,0,0,0
61,hcmv-miR-US33-3p,0,0,0,0,0
62,hcmv-miR-UL112-5p,-21.633333,5.275022,1.8,349.4462,1.827663
63,hcmv-miR-US5-2-5p,0,0,0,0,0
64,hcmv-miR-US4-3p,0,0,0,0,0
65,hcmv-miR-US22-5p,0,0,0,0,0
66,hcmv-miR-US22-3p,0,0,0,0,0
67,hcmv-miR-US29-5p,-4.233333,4.533899,-1.316667,725.792,2.207045
68,hcmv-miR-US29-3p,0,0,0,0,0
69,hcmv-miR-UL59,224.7,5.275022,0.15,246.3265,1.678489
70,hcmv-miR-UL69,0,0,0,0,0
71,ebv-miR-BHRF1-1,0,0,0,0,0
72,ebv-miR-BHRF1-2-5p,0,0,0,0,0
73,ebv-miR-BHRF1-2-3p,0,0,0,0,0
74,ebv-miR-BHRF1-3,0,0,0,0,0
75,ebv-miR-BART1-5p,0,0,0,0,0
76,ebv-miR-BART2-5p,0,0,0,0,0
77,ebv-miR-BART1-3p,0,5.275022,1.9,149.2113,1.466666
78,ebv-miR-BART3-5p,0,0,0,0,0
79,ebv-miR-BART3-3p,0,0,0,0,0
80,ebv-miR-BART4-5p,8,5.272749,3.24,577.8004,2.043686
81,ebv-miR-BART5-5p,0,0,0,0,0
82,ebv-miR-BART6-5p,0,0,0,0,0
