,Seqname,EipSP: Electron-ion interaction pseudopotential signal peak,EipAP: Electron-ion interaction pseudopotential average power,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EiPS2: Electron-ion interaction pseudopotential spectrum 0.5,EiPS3: Electron-ion interaction pseudopotential spectrum 0.75,EiPS4: Electron-ion interaction pseudopotential spectrum 1
0,ENST00000608007.1,0.993556,46.776594,0.02124,3.193986,3.601574,4.222856,5.063268,17.453643
1,ENST00000400991.6,0.467749,6.999812,0.066823,0.513052,0.614452,0.659845,0.886002,1.164289
2,ENST00000368242.7,0.411802,12.614565,0.032645,1.038752,1.134875,1.347213,1.747322,2.829411
3,ENST00000673141.1,1.727735,20.155014,0.085722,1.655918,1.838597,2.05995,2.361915,5.135295
4,ENST00000471156.5,0.309197,11.065717,0.027942,0.853433,0.914911,1.089657,1.369302,2.068147
5,ENST00000368243.6,0.465561,13.620166,0.034182,1.074001,1.161486,1.333148,1.597466,2.89459
6,ENST00000497824.5,0.711458,10.527667,0.06758,0.851589,0.988111,1.099931,1.311989,2.066375
7,ENST00000488498.2,3.099229,68.401275,0.04531,5.727693,6.236568,7.244934,9.590861,28.792526
8,ENST00000465270.5,0.441298,7.731718,0.057076,0.689389,0.82299,0.914221,1.15274,1.825006
9,ENST00000462458.5,0.831907,29.124038,0.028564,2.144938,2.415525,2.689079,3.224198,6.049299
10,ENST00000486517.5,0.45946,10.298445,0.044615,0.912864,1.020607,1.163597,1.654145,2.536189
11,ENST00000465570.1,0.247847,7.61726,0.032538,0.59627,0.651941,0.731377,0.96535,1.879179
12,ENST00000310027.9,0.635382,10.172092,0.062463,0.726778,0.780175,0.917913,1.185201,1.625692
13,ENST00000497822.5,0.53468,7.601266,0.070341,0.73303,0.793552,0.875007,1.1636,2.139716
14,ENST00000492750.5,0.198291,6.855579,0.028924,0.525652,0.577451,0.742425,0.986243,1.278362
15,ENST00000482932.5,0.528991,11.524315,0.045902,1.021321,1.136947,1.279793,1.787627,3.80444
16,ENST00000489918.1,0.319747,6.060083,0.052763,0.538932,0.58389,0.660788,0.862112,1.886477
17,ENST00000489877.5,0.627629,7.741541,0.081073,0.610647,0.697147,0.777953,1.021714,1.955273
18,ENST00000476966.5,1.344935,38.702294,0.034751,3.149515,3.548444,4.379313,5.253939,43.431068
19,ENST00000463309.5,0.740886,9.322514,0.079473,0.925953,1.035472,1.136991,1.467753,3.067119
20,ENST00000464203.1,0.710671,10.544893,0.067395,0.986736,1.140466,1.276302,1.546788,3.064765
21,ENST00000469813.1,1.681795,22.460924,0.074876,1.766486,2.121504,2.427027,3.202595,9.240706
22,ENST00000495000.1,1.287971,15.52176,0.082978,1.262776,1.414813,1.69733,2.188825,7.0667
23,ENST00000663987.1,0.345508,11.228961,0.030769,0.846072,1.007461,1.139144,1.347548,2.514086
24,ENST00000441085.6,0.238709,10.439316,0.022866,0.826766,0.927776,1.071868,1.285772,2.325566
25,ENST00000656222.1,0.271903,11.321037,0.024018,0.916152,1.08412,1.185398,1.361464,2.702771
26,ENST00000452465.2,0.364185,12.46584,0.029215,0.96625,1.078073,1.243585,1.558226,2.707758
27,ENST00000667036.1,0.457058,11.362183,0.040226,0.853848,0.968862,1.121567,1.450973,1.835244
28,ENST00000521113.1,0.989135,8.267698,0.119638,0.692661,0.856814,0.965342,1.081621,1.880157
29,ENST00000661636.1,1.053227,26.850215,0.039226,1.948477,2.246433,2.595383,3.411587,6.360705
30,ENST00000521889.5,0.556311,8.741055,0.063644,0.63519,0.683558,0.78058,0.986765,1.940704
