,Seqname,0,1,2,3,4
0,ENST00000608007.1,0.4096,52,6.458296,9,0.138838
1,ENST00000400991.6,0.5084,5,0.811529,9,0.23774
2,ENST00000368242.7,0.5542,10,1.477936,61,1.332576
3,ENST00000673141.1,0.6378,15,2.071432,16,0.305587
4,ENST00000471156.5,0.7386,11,1.656657,13,0.294825
5,ENST00000368243.6,0.5679,13,1.904634,57,1.224074
6,ENST00000497824.5,0.5972,7,1.062611,21,0.4847
7,ENST00000488498.2,0.4788,56,6.610673,439,6.119182
8,ENST00000465270.5,0.7027,7,1.111296,3,0.07581
9,ENST00000462458.5,0.4561,36,4.740033,13,0.225276
10,ENST00000486517.5,0.4932,11,1.669468,13,0.2994
11,ENST00000465570.1,0.5938,10,1.594645,4,0.101778
12,ENST00000310027.9,0.5099,8,1.224132,1,0.02331
13,ENST00000497822.5,0.6996,7,1.111621,13,0.328224
14,ENST00000492750.5,0.7262,5,0.810975,21,0.553693
15,ENST00000482932.5,0.5794,5,0.744291,57,1.26348
16,ENST00000489918.1,0.6871,2,0.330081,21,0.572447
17,ENST00000489877.5,0.6492,5,0.795419,9,0.227633
18,ENST00000476966.5,0.4986,27,3.417606,196,3.141071
19,ENST00000463309.5,0.5966,3,0.459356,31,0.727157
20,ENST00000464203.1,0.6188,12,1.806552,39,0.883513
21,ENST00000469813.1,0.4407,22,2.988056,37,0.682254
22,ENST00000495000.1,0.4378,11,1.57238,27,0.551639
23,ENST00000663987.1,0.5199,16,2.402195,12,0.270182
24,ENST00000441085.6,0.5555,13,1.973007,16,0.3687
25,ENST00000656222.1,0.4914,5,0.749539,49,1.102454
26,ENST00000452465.2,0.5086,16,2.368755,49,1.073784
27,ENST00000667036.1,0.5602,9,1.350975,21,0.47408
28,ENST00000521113.1,0.6857,5,0.786645,9,0.22326
29,ENST00000661636.1,0.4482,33,4.391016,61,1.079632
30,ENST00000521889.5,0.5365,10,1.563658,28,0.684453
31,ENST00000390159.3,0.3914,39,5.196195,108,1.916559
32,ENST00000518860.1,0.4626,14,2.12213,19,0.43633
33,ENST00000649108.1,0.3824,17,2.447786,49,1.01748
34,ENST00000649986.1,0.7086,10,1.43094,1,0.020403
35,ENST00000561002.2,0.574,11,1.567508,1,0.020312
36,ENST00000671619.1,0.5027,15,2.063185,1,0.019006
37,ENST00000666762.1,0.5169,39,4.970064,201,3.26383
38,ENST00000653895.1,0.6308,6,0.926359,27,0.643758
39,ENST00000649111.1,0.4849,34,4.316978,43,0.69287
40,ENST00000648149.1,0.4541,26,3.546237,37,0.687664
41,ENST00000643648.1,0.4511,11,1.628519,73,1.60208
42,ENST00000647456.1,0.4406,37,4.857385,63,1.086332
43,ENST00000644461.1,0.4017,31,4.118956,1,0.017542
44,ENST00000646232.1,0.5603,3,0.521219,4,0.120875
45,ENST00000560203.1,0.7028,5,0.836987,7,0.197041
46,ENST00000557946.1,0.7444,10,1.604001,4,0.102524
47,ENST00000643127.1,0.4559,34,4.460383,117,2.012701
48,ENST00000645994.1,0.7274,7,1.288251,28,0.947792
49,ENST00000645416.2,0.3704,41,5.465476,61,1.082836
50,ENST00000409178.5,0.4651,19,2.426679,25,0.408108
51,ENST00000433505.5,0.4185,10,1.505165,3,0.06814
52,ENST00000401018.5,0.4893,16,2.13146,1,0.017688
53,ENST00000449572.2,0.702,13,1.983111,21,0.48806
54,ENST00000667852.1,0.421,20,2.813311,39,0.771316
55,ENST00000661136.1,0.4086,30,4.128746,13,0.245794
56,ENST00000612390.4,0.3704,96,11.304923,511,7.085622
57,ENST00000416017.1,0.4111,5,0.783892,121,2.978376
58,ENST00000620678.1,0.4375,5,0.824567,21,0.572571
59,ENST00000649739.1,0.726,1,0.167757,1,0.028228
60,ENST00000647681.1,0.6778,4,0.588898,1,0.021733
61,ENST00000503940.5,0.75,2,0.327135,0,0
62,ENST00000515640.5,0.6228,12,1.64976,49,0.926313
63,ENST00000397835.4,0.6399,1,0.153256,25,0.587449
64,ENST00000408887.3,0.4962,18,2.377506,13,0.226764
65,ENST00000675823.1,0.439,26,3.386563,12,0.203773
66,ENST00000675704.1,0.4424,63,7.484324,4,0.056456
67,ENST00000674760.1,0.4968,31,4.003477,61,1.016825
68,ENST00000676093.1,0.4444,25,3.26709,79,1.350029
69,ENST00000675716.1,0.4106,70,8.232101,76,1.051585
70,ENST00000674714.1,0.5866,3,0.474491,4,0.100277
71,ENST00000674922.1,0.7715,3,0.469837,4,0.098331
72,ENST00000674683.1,0.7595,4,0.61193,67,1.569762
73,ENST00000676338.1,0.5285,5,0.8421,25,0.709448
74,ENST00000675285.1,0.6888,0,0,61,1.52513
75,ENST00000658000.1,0.512,40,4.852746,3,0.044101
76,ENST00000370940.6,0.5202,9,1.345622,16,0.35832
77,ENST00000359875.9,0.4661,13,1.911404,127,2.745977
78,ENST00000463058.5,0.5857,12,1.784378,1,0.021985
79,ENST00000525653.1,0.5934,10,1.529826,12,0.28047
80,ENST00000356020.2,0.4972,34,4.303653,156,2.500027
81,ENST00000649288.1,0.5036,25,3.147115,4,0.063293
82,ENST00000648587.1,0.4665,29,3.634542,91,1.430155
83,ENST00000442114.6,0.4841,37,4.600629,147,2.272221
84,ENST00000336600.6,0.455,54,6.303865,133,1.812198
85,ENST00000650606.1,0.4811,31,3.823232,91,1.383975
86,ENST00000574093.1,0.5399,1,0.160199,49,1.258513
87,ENST00000571868.1,0.5275,11,1.704885,36,0.864254
88,ENST00000514664.1,0.5299,33,4.081542,163,2.493887
89,ENST00000625191.3,0.4809,12,1.690725,1,0.019856
90,ENST00000511063.5,0.5887,23,3.131777,301,5.580647
91,ENST00000512899.4,0.9878,8,1.173394,43,0.925142
92,ENST00000513845.4,0.5669,9,1.35359,19,0.429698
93,ENST00000513142.1,0.8971,9,1.417515,57,1.414191
94,ENST00000649041.1,0.472,19,2.630644,13,0.248854
95,ENST00000650318.1,0.4712,31,3.878913,93,1.456699
96,ENST00000540508.1,0.39,9,1.500266,7,0.193914
97,ENST00000538604.1,0.5074,1,0.159037,27,0.683846
98,ENST00000647872.1,0.4508,88,9.803359,403,5.002706
99,ENST00000426261.6,0.4508,26,3.278455,52,0.827219
100,ENST00000468381.2,0.4788,24,3.099292,0,0
101,ENST00000535846.1,0.4572,4,0.609398,7,0.162502
102,ENST00000661785.1,0.4303,13,1.856089,31,0.63283
103,ENST00000653508.1,0.4796,22,2.861945,67,1.134556
104,ENST00000658783.1,0.4631,15,2.151855,13,0.268166
105,ENST00000657015.1,0.4594,18,2.462646,12,0.224842
106,ENST00000654263.1,0.4082,18,2.520569,7,0.137678
107,ENST00000667136.1,0.4163,50,6.034813,39,0.568301
108,ENST00000657905.1,0.4838,23,2.88294,343,5.389773
109,ENST00000671646.1,0.4608,35,4.416518,84,1.33749
110,ENST00000659175.1,0.4847,24,3.142896,57,0.978274
111,ENST00000663530.1,0.4981,28,3.574166,372,6.063444
112,ENST00000663437.1,0.4734,20,2.580011,361,6.009552
113,ENST00000659749.1,0.5066,27,3.447389,91,1.484434
114,ENST00000623100.2,0.5063,31,4.018082,37,0.621437
115,ENST00000589406.1,0.3602,47,6.032197,241,3.972511
116,ENST00000378485.1,0.3759,81,9.796548,279,4.079666
117,ENST00000473798.1,0.4886,16,2.227212,93,1.803374
118,ENST00000674356.1,0.4575,14,1.886798,75,1.362775
119,ENST00000445551.1,0.4884,22,2.81041,28,0.456866
120,ENST00000464612.5,0.6085,16,2.431888,91,2.101883
121,ENST00000481220.6,0.4731,14,2.11266,21,0.477585
122,ENST00000461448.6,0.4952,14,1.890488,373,6.804661
123,ENST00000481368.6,0.4706,20,2.668055,172,3.063005
124,ENST00000470977.6,0.5495,10,1.427022,313,6.378156
125,ENST00000648127.1,0.5094,30,3.981545,100,1.760787
126,ENST00000474814.1,0.4753,42,5.561653,484,8.485985
127,ENST00000488745.5,0.4931,22,3.047242,7,0.134586
128,ENST00000483436.5,0.5122,5,0.766108,109,2.562155
129,ENST00000650259.1,0.4741,9,1.508511,37,1.039112
130,ENST00000650239.1,0.6931,24,3.405455,336,6.767615
